node,year,capacity_limit
AL,2025,0.097
AT,2025,0.6546612825000001
BE,2025,0.6608
DE,2025,7.63487
DK,2025,1.605
EE,2025,1.822
EL,2025,2.6108
ES,2025,6.537978621200001
FI,2025,1.5846
FR,2025,5.277
HR,2025,0.3678
HU,2025,0.756
IE,2025,1.554
IT,2025,9.372456657642685
LT,2025,2.388
MD,2025,0.30569071349661053
NL,2025,0.3242174234
PL,2025,0.63
PT,2025,0.8387516216
RO,2025,1.2200000000000002
RS,2025,0.295
SE,2025,1.7650000000000001
UA,2025,2.465
UK,2025,0.40280000000000005
BA,2025,0.0
BG,2025,0.0
CY,2025,0.0
CZ,2025,0.0
LU,2025,0.0
LV,2025,0.0
ME,2025,0.0
MK,2025,0.0
MT,2025,0.0
NO,2025,0.0
SI,2025,0.0
SK,2025,0.0
AL,2030,0.1
AT,2030,0.156
BA,2030,0.1
BE,2030,0.18200000000000002
BG,2030,0.1
CY,2030,0.37089
CZ,2030,0.1
DE,2030,2.0609406999999997
DK,2030,0.9904700000000001
EE,2030,1.0802987000000002
EL,2030,0.5304026000000001
ES,2030,0.1
FI,2030,0.1
FR,2030,1.6314974000000002
HR,2030,0.39390000000000003
HU,2030,0.6435
IE,2030,0.2444
IT,2030,0.0195
LT,2030,0.1
LU,2030,0.1
LV,2030,0.1
ME,2030,0.1
MK,2030,0.1
MT,2030,0.1
NL,2030,0.1
NO,2030,0.1
PL,2030,0.1
PT,2030,0.1
RO,2030,0.1
RS,2030,0.1
SE,2030,0.1
SI,2030,0.1
SK,2030,0.17326139999999998
UK,2030,0.8637980000000001
