node,year,capacity_existing
AL,2025,0.3
AT,2025,5.0
BA,2025,0.2
BE,2025,7.4508298
BG,2025,1.7852370000000002
CH,2025,5.48743155984
CY,2025,0.518
CZ,2025,2.60198
DE,2025,74.492
DK,2025,5.133397
EE,2025,0.26
EL,2025,5.0341783454
ES,2025,25.864257807150004
FI,2025,0.698
FR,2025,18.185
HR,2025,0.4
HU,2025,3.777
IE,2025,0.242
IT,2025,35.22827578543
LT,2025,1.0
LU,2025,0.3
LV,2025,0.040476012310000004
ME,2025,0.02
MK,2025,0.203
MT,2025,0.23698721610999998
NL,2025,18.68191
NO,2025,0.33333333333
PL,2025,5.11397
PT,2025,6.2298940076600005
RO,2025,3.393
RS,2025,0.15505000000000002
SE,2025,3.26778670204
SI,2025,0.951
SK,2025,0.86121212121
TR,2025,10.75
UA,2025,0.527575
UK,2025,14.10026244358
