node,year,capacity_lower_limit
BE,2025,0.0
BG,2025,0.0
CH,2025,0.0
CZ,2025,0.0
DE,2025,0.0
DK,2025,0.0
EL,2025,0.0
ES,2025,0.0
FR,2025,0.0
HU,2025,0.0
IT,2025,0.0
NL,2025,0.0
PL,2025,0.0
PT,2025,0.0
RO,2025,0.0
SK,2025,0.0
UA,2025,0.0
UK,2025,0.0
AL,2025,0.0
AT,2025,0.0
BA,2025,0.0
CY,2025,0.0
EE,2025,0.0
FI,2025,0.0
HR,2025,0.0
IE,2025,0.0
LT,2025,0.0
LU,2025,0.0
LV,2025,0.0
ME,2025,0.0
MK,2025,0.0
MT,2025,0.0
NO,2025,0.0
RS,2025,0.0
SE,2025,0.0
SI,2025,0.0
AL,2030,0.42
AT,2030,8.4001799
BA,2030,0.31836000000000003
BE,2030,9.527
BG,2030,2.4207658999999997
CY,2030,0.6314
CZ,2030,7.98399
DE,2030,150.5014
DK,2030,12.421086999999998
EE,2030,0.8119999999999999
EL,2030,9.8000007
ES,2030,54.143688899999994
FI,2030,7.4866309
FR,2030,29.835533
HR,2030,0.504126
HU,2030,6.942383700000001
IE,2030,5.5908999999999995
IT,2030,52.83638010000001
LT,2030,3.50021
LU,2030,0.8652
LV,2030,0.151221
ME,2030,0.02205
MK,2030,0.44099999999999995
MT,2030,0.1971053
NL,2030,41.521961600000004
NO,2030,2.8
PL,2030,15.164386999999998
PT,2030,11.4317
RO,2030,5.8100000000000005
RS,2030,3.188395
SE,2030,5.1112369
SI,2030,1.9249999999999998
SK,2030,1.0499999999999998
UK,2030,24.5296954
