time,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0367459343515082,0.0,0.0,0.0,0.0,0.0,0.0075503852074939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011552176944548,0.0,0.0,0.0,0.0
7,0.0035513036132969,0.0,0.0887574431780622,0.0,0.0,0.0,0.0,0.0,0.0450087697271078,0.0,0.0,0.0,0.1021309262161989,0.1124644929836747,0.0,0.1179470582398026,0.0,0.0,0.0,0.0,0.0,0.0090314940914699,0.0,0.0484431015474969,0.0,0.0344509218467281,0.0274488025579766,0.0
8,0.0235344025838588,0.0016734609906164,0.209367805100733,0.0485994828516092,0.0,0.0013283249035616,0.0646654680197615,0.0,0.1114720446833134,0.1691664833155153,0.0,0.0859177004325022,0.2085834998276391,0.247305909113609,0.0,0.2406351581328777,0.0,0.0,0.0,0.0,0.0,0.0093061837244725,0.1256522652596323,0.1197974324485091,0.0175741958067488,0.0742378228337104,0.0496518634665571,0.0
9,0.0822922196653696,0.0153928709601708,0.3089225010890124,0.1739173856806523,0.0030603762781336,0.0168933487817832,0.154731012446296,0.008015841467709,0.1941973524811096,0.3077071770591988,0.0,0.1724139357011207,0.3199711262144323,0.3671508319278365,0.0435268756814528,0.3825480638192032,0.0,0.0011149497811181,0.0275884707701973,0.0241054065999094,0.045661548415532,0.0090773758858588,0.2434231589980371,0.1794826823623246,0.121303646394764,0.1956284281213036,0.054108893902827,0.047361780245913
10,0.1520074941617849,0.0459848758283628,0.3288481028120425,0.2937959345673573,0.0253668091810781,0.038193425809911,0.2686340228422997,0.0335869270053921,0.2557735256685065,0.4754031219465025,0.0,0.2755290032184813,0.3807206941805044,0.3937007985306316,0.0483638971121876,0.4647458208709296,0.0160011373968951,0.0308116134688795,0.0933340022142712,0.0835301944383627,0.0926088332954387,0.0101079195498185,0.4171387243306584,0.2243917543626625,0.2211797905814079,0.3161567436715782,0.0401734755357809,0.1025515725277179
11,0.2047467743911432,0.0385865566429429,0.2815920623301959,0.3795168245327645,0.0641373218747118,0.0590922706767024,0.3355286786392485,0.0529062714389523,0.2747019432582288,0.581486422399345,0.0,0.3359927642796877,0.3696724174805995,0.3312458904657312,0.0903356328157562,0.4969214729328576,0.0475263547204598,0.0517537713630913,0.1365724350059155,0.1431471037303316,0.1388077836943984,0.0092357190790503,0.5410040499285338,0.2363299856778517,0.269025750264085,0.3865601236414508,0.0214330064550264,0.1598391308316552
12,0.2086078968601656,0.012476047941386,0.2230448131349163,0.4066966437358265,0.0664965340824819,0.066124677146674,0.3201850876205693,0.0396703061914135,0.2397392179923246,0.6239502872268818,0.0,0.3495998510475291,0.2956391525500957,0.2017537577471115,0.1254809642802776,0.4803458097430982,0.0550865253561609,0.044720885340214,0.1099229344482237,0.14799511975388,0.1491011940656843,0.0071164915596063,0.6018522621765616,0.1956357524777741,0.2280386967547917,0.3357323465613619,0.0127886653695987,0.1982532687836473
13,0.1785347362316353,0.0019547183954968,0.1619625681981034,0.3555618846497991,0.0391539907933118,0.0466514820463091,0.2352710366826985,0.0167783840350108,0.1688695429835865,0.6088029590793794,0.0,0.3211070330440204,0.2037917682674553,0.0671894695026089,0.1389134446961968,0.4074902356458093,0.0237726274564197,0.0110729213018164,0.0327942960925255,0.1177563798245753,0.1126004518003576,0.0037095795420089,0.6051073844062969,0.1234686147773363,0.1344569488875183,0.2370695631500683,0.009537910781733,0.2001114030069314
