node,year_construction,capacity_existing
AL,1951.0,0.005
AL,2012.0,0.06442
AL,2013.0,0.016
AL,2025.0,0.316276
AT,1904.0,0.002
AT,1908.0,0.013
AT,1914.0,0.106
AT,1924.0,0.001
AT,1925.0,0.001
AT,1926.0,0.0021999999999999997
AT,1927.0,0.105
AT,1930.0,0.003
AT,1931.0,0.019
AT,1941.0,0.037899999999999996
AT,1943.0,0.079
AT,1946.0,0.043
AT,1947.0,0.069
AT,1949.0,0.07
AT,1950.0,0.08099999999999999
AT,1951.0,0.084
AT,1953.0,0.034
AT,1954.0,0.1
AT,1955.0,0.002
AT,1956.0,0.089
AT,1958.0,0.017
AT,1959.0,0.2365
AT,1960.0,0.027999999999999997
AT,1961.0,0.096
AT,1962.0,0.126
AT,1964.0,0.3024
AT,1965.0,0.08399999999999999
AT,1967.0,0.063
AT,1968.0,0.298
AT,1969.0,0.049199999999999994
AT,1972.0,0.03
AT,1974.0,0.274
AT,1975.0,0.095
AT,1976.0,0.328
AT,1978.0,0.013
AT,1979.0,0.20900000000000002
AT,1981.0,0.09
AT,1982.0,0.225
AT,1984.0,0.11099999999999999
AT,1985.0,0.348
AT,1986.0,0.034
AT,1987.0,0.015
AT,1988.0,0.044
AT,1989.0,0.077
AT,1990.0,0.013
AT,1991.0,0.067
AT,1992.0,0.09599999999999999
AT,1994.0,0.022
AT,1995.0,0.01
AT,1996.0,0.018
AT,1998.0,0.184
AT,2004.0,0.006
AT,2005.0,0.017
AT,2006.0,0.009
AT,2007.0,0.0086
AT,2009.0,0.016
AT,2012.0,0.02035
AT,2013.0,0.019
AT,2019.0,0.009
AT,2022.0,0.095
AT,2024.0,0.011
AT,2025.0,0.0597
BE,1931.0,0.00734
BE,1954.0,0.029699999999999997
BE,1965.0,0.0099
BE,1980.0,0.028999999999999998
BE,1988.0,0.005
BE,1993.0,0.0008
BG,1975.0,0.16
BG,2008.0,0.008898
BG,2025.0,0.0224
CH,1900.0,0.015
CH,1901.0,0.00165
CH,1902.0,0.00035
CH,1903.0,0.00291
CH,1904.0,0.0008900000000000001
CH,1905.0,0.03392
CH,1906.0,0.00114
CH,1908.0,0.03648
CH,1909.0,0.030699999999999998
CH,1912.0,0.00122
CH,1913.0,0.00038
CH,1914.0,0.326
CH,1915.0,0.02608
CH,1917.0,0.1032
CH,1922.0,0.04645
CH,1925.0,0.0215
CH,1927.0,0.026860000000000002
CH,1928.0,0.0060999999999999995
CH,1929.0,0.012
CH,1930.0,0.12035
CH,1932.0,0.0737
CH,1933.0,0.00294
CH,1935.0,0.04392
CH,1936.0,0.0025299999999999997
CH,1937.0,0.00044
CH,1940.0,0.0016
CH,1941.0,0.00604
CH,1942.0,0.00071
CH,1943.0,0.06871000000000001
CH,1944.0,0.0064800000000000005
CH,1945.0,0.00098
CH,1946.0,0.01279
CH,1947.0,0.0087
CH,1948.0,0.0053
CH,1949.0,0.026379999999999997
CH,1950.0,0.032562
CH,1951.0,0.021179999999999997
CH,1952.0,0.0368
CH,1953.0,0.0316
CH,1954.0,0.133
CH,1955.0,0.04362
CH,1956.0,0.013340000000000001
CH,1957.0,0.0683
CH,1958.0,0.15478999999999998
CH,1959.0,0.010669999999999999
CH,1960.0,0.08227
CH,1961.0,0.13312000000000002
CH,1962.0,0.24645999999999998
CH,1963.0,0.05433
CH,1964.0,0.14226
CH,1965.0,0.12799
CH,1966.0,0.09706999999999999
CH,1967.0,0.061560000000000004
CH,1968.0,0.07604
CH,1969.0,0.022350000000000002
CH,1970.0,0.88036
CH,1971.0,0.12648
CH,1972.0,0.0354
CH,1973.0,0.013659999999999999
CH,1974.0,0.14367
CH,1975.0,0.02
CH,1976.0,0.0031
CH,1977.0,0.0070999999999999995
CH,1978.0,0.00851
CH,1979.0,0.032119999999999996
CH,1980.0,0.01727
CH,1981.0,0.00638
CH,1982.0,0.00685
CH,1983.0,0.0086
CH,1984.0,0.0025
CH,1985.0,0.0007999999999999999
CH,1986.0,0.03715
CH,1987.0,0.005200000000000001
CH,1988.0,0.037380000000000004
CH,1989.0,0.08483
CH,1990.0,0.10207
CH,1991.0,0.03792
CH,1992.0,0.06426
CH,1993.0,0.05405
CH,1994.0,0.04612
CH,1995.0,0.00485
CH,1996.0,0.00853
CH,1997.0,0.01099
CH,1998.0,0.17469
CH,1999.0,0.07629999999999999
CH,2000.0,0.03768
CH,2001.0,0.00542
CH,2002.0,0.0804
CH,2003.0,0.15273
CH,2004.0,0.10242
CH,2005.0,0.060289999999999996
CH,2007.0,0.0098
CH,2008.0,0.00975
CH,2009.0,0.01068
CH,2010.0,0.017499999999999998
CH,2011.0,0.03876
CH,2012.0,0.062515
CH,2013.0,0.07001999999999999
CH,2014.0,0.028399999999999998
CH,2015.0,0.06796
CH,2016.0,0.02402
CH,2017.0,0.02615
CH,2018.0,0.02597
CH,2025.0,0.10710099999999999
CZ,1936.0,0.0195
CZ,1959.0,0.0015
CZ,1961.0,0.04
DE,1901.0,0.07166
DE,1904.0,0.0246
DE,1909.0,0.00103
DE,1910.0,0.0126
DE,1912.0,0.039029999999999995
DE,1914.0,0.017060000000000002
DE,1915.0,0.0044
DE,1918.0,0.00254
DE,1920.0,0.02778
DE,1921.0,0.0048
DE,1922.0,0.0554
DE,1923.0,0.0455
DE,1924.0,0.08402
DE,1925.0,0.0164
DE,1926.0,0.01073
DE,1927.0,0.061500000000000006
DE,1928.0,0.00123
DE,1929.0,0.0546
DE,1930.0,0.13335
DE,1931.0,0.0244
DE,1932.0,0.0034
DE,1933.0,0.03483
DE,1934.0,0.11482
DE,1935.0,0.0183
DE,1936.0,0.0045
DE,1938.0,0.13808
DE,1939.0,0.0177
DE,1940.0,0.0051
DE,1941.0,0.0264
DE,1942.0,0.07650000000000001
DE,1943.0,0.09570000000000001
DE,1944.0,0.08070000000000001
DE,1945.0,0.0033
DE,1949.0,0.0013
DE,1950.0,0.009
DE,1951.0,0.12535000000000002
DE,1952.0,0.012
DE,1953.0,0.011389999999999999
DE,1954.0,0.1024
DE,1955.0,0.05673
DE,1956.0,0.1516
DE,1957.0,0.044230000000000005
DE,1958.0,0.0121
DE,1959.0,0.011340000000000001
DE,1960.0,0.09047
DE,1962.0,0.0691
DE,1963.0,0.0202
DE,1964.0,0.018099999999999998
DE,1965.0,0.12796000000000002
DE,1966.0,0.1434
DE,1967.0,0.0189
DE,1968.0,0.00165
DE,1969.0,0.02019
DE,1970.0,0.06979
DE,1971.0,0.0295
DE,1975.0,0.0772
DE,1976.0,0.00111
DE,1977.0,0.0095
DE,1978.0,0.1578
DE,1979.0,0.0033
DE,1981.0,0.00739
DE,1982.0,0.07029
DE,1983.0,0.014790000000000001
DE,1984.0,0.02909
DE,1985.0,0.0412
DE,1987.0,0.004
DE,1988.0,0.01502
DE,1989.0,0.0066500000000000005
DE,1990.0,0.10442
DE,1991.0,0.0045
DE,1992.0,0.08913
DE,1993.0,0.0033
DE,1994.0,0.0341
DE,1996.0,0.00108
DE,1997.0,0.0042
DE,1999.0,0.00839
DE,2000.0,0.01337
DE,2001.0,0.01354
DE,2002.0,0.004
DE,2003.0,0.00103
DE,2004.0,0.005
DE,2005.0,0.0051199999999999996
DE,2006.0,0.00664
DE,2007.0,0.0061200000000000004
DE,2008.0,0.0017900000000000001
DE,2009.0,0.0168
DE,2010.0,0.10754
DE,2011.0,0.018090000000000002
DE,2012.0,0.01173
DE,2013.0,0.00863
DE,2014.0,0.0032199999999999998
DE,2016.0,0.0022299999999999998
DE,2018.0,0.00177
DE,2020.0,0.0016799999999999999
DE,2021.0,0.00412
DE,2022.0,0.1219
EL,1926.0,0.0040999999999999995
EL,1954.0,0.060300000000000006
EL,1970.0,0.019
EL,1988.0,0.0085
EL,1992.0,0.011
EL,2025.0,0.011
ES,1906.0,0.0015
ES,1912.0,0.03665
ES,1952.0,0.038079999999999996
ES,1959.0,0.08154
ES,1968.0,0.04954
ES,1970.0,0.5696639999999998
ES,1989.0,0.0015
ES,2005.0,0.01
ES,2007.0,0.030600000000000002
ES,2025.0,0.13706867
FI,1909.0,0.0023
FI,1911.0,0.001
FI,1916.0,0.0013
FI,1917.0,0.002
FI,1921.0,0.0016
FI,1922.0,0.03
FI,1929.0,0.192
FI,1933.0,0.0013
FI,1939.0,0.122
FI,1943.0,0.0265
FI,1946.0,0.037
FI,1948.0,0.039
FI,1950.0,0.06249999999999999
FI,1952.0,0.0008
FI,1954.0,0.0507
FI,1955.0,0.081
FI,1957.0,0.11329999999999998
FI,1959.0,0.032
FI,1960.0,0.1202
FI,1961.0,0.0954
FI,1963.0,0.023
FI,1964.0,0.0156
FI,1965.0,0.162
FI,1967.0,0.0385
FI,1971.0,0.0823
FI,1972.0,0.133
FI,1978.0,0.0016
