node,year,capacity_limit
AL,2025,0.401696
AT,2025,4.81485
BE,2025,0.08174
BG,2025,0.191298
CH,2025,5.658418
CZ,2025,0.061
DE,2025,3.49944
EL,2025,0.1139
ES,2025,0.9561426699999999
FI,2025,1.9331
FR,2025,9.477078217619999
HR,2025,0.2459
HU,2025,0.019700000000000002
IE,2025,0.216
IT,2025,9.277702
LT,2025,0.101
LV,2025,1.5361
MD,2025,0.064
ME,2025,0.31235999999999997
MK,2025,0.2076
NO,2025,1.12855
PL,2025,0.260514110999
PT,2025,2.90451
RO,2025,0.88081
RS,2025,1.9133999999999998
SE,2025,4.6162652558
SI,2025,0.976267
SK,2025,1.36655
UA,2025,0.352452229
UK,2025,9.271439453732
BA,2025,0.0
CY,2025,0.0
DK,2025,0.0
EE,2025,0.0
LU,2025,0.0
MT,2025,0.0
NL,2025,0.0
AL,2030,0.7847736
AT,2030,8.2913129
BA,2030,0.19422
BE,2030,0.19266260000000002
BG,2030,0.6961630000000001
CY,2030,0.1
CZ,2030,0.561119
DE,2030,5.11407
DK,2030,0.1
EE,2030,0.1
EL,2030,0.4979
ES,2030,4.452065800000001
FI,2030,0.1
FR,2030,17.6982
HR,2030,0.49930399999999997
HU,2030,0.0834639
IE,2030,0.2795
IT,2030,9.165261300000001
LT,2030,0.16406
LU,2030,0.0546
LV,2030,2.0696000000000003
ME,2030,0.1025089
MK,2030,0.29965
MT,2030,0.1
NL,2030,0.0481
NO,2030,9.708327200000001
PL,2030,0.47750300000000007
PT,2030,1.0023
RO,2030,4.3764162
RS,2030,2.7713660000000004
SE,2030,0.1
SI,2030,1.5348658
SK,2030,2.1166366
UK,2030,2.8853123000000003
