node,year,capacity_lower_limit
AL,2025,0.0
AT,2025,0.0
BE,2025,0.0
BG,2025,0.0
CH,2025,0.0
CZ,2025,0.0
DE,2025,0.0
EL,2025,0.0
ES,2025,0.0
FI,2025,0.0
FR,2025,0.0
HR,2025,0.0
HU,2025,0.0
IE,2025,0.0
IT,2025,0.0
LT,2025,0.0
LV,2025,0.0
MD,2025,0.0
ME,2025,0.0
MK,2025,0.0
NO,2025,0.0
PL,2025,0.0
PT,2025,0.0
RO,2025,0.0
RS,2025,0.0
SE,2025,0.0
SI,2025,0.0
SK,2025,0.0
UA,2025,0.0
UK,2025,0.0
BA,2025,0.0
CY,2025,0.0
DK,2025,0.0
EE,2025,0.0
LU,2025,0.0
MT,2025,0.0
NL,2025,0.0
AL,2030,0.42257039999999996
AT,2030,4.4645531
BA,2030,0.10457999999999999
BE,2030,0.1037414
BG,2030,0.374857
CY,2030,0.0
CZ,2030,0.302141
DE,2030,2.75373
DK,2030,0.0
EE,2030,0.0
EL,2030,0.2681
ES,2030,2.3972662
FI,2030,0.0
FR,2030,9.5298
HR,2030,0.268856
HU,2030,0.04494209999999999
IE,2030,0.1505
IT,2030,4.9351407
LT,2030,0.08834
LU,2030,0.0294
LV,2030,1.1144
ME,2030,0.05519709999999999
MK,2030,0.16135
MT,2030,0.0
NL,2030,0.025899999999999996
NO,2030,5.2275608
PL,2030,0.257117
PT,2030,0.5397
RO,2030,2.3565318
RS,2030,1.492274
SE,2030,0.0
SI,2030,0.8264661999999999
SK,2030,1.1397274
UK,2030,1.5536297
