node,year,capacity_limit
AL,2030,0.1
AT,2030,0.1
BA,2030,0.1
BE,2030,7.4879999999999995
BG,2030,0.1
CY,2030,0.1
CZ,2030,0.1
DE,2030,39.67769
DK,2030,10.72578
EE,2030,0.1
EL,2030,3.5100000000000002
ES,2030,3.6399999999999997
FI,2030,1.3
FR,2030,5.0375000000000005
HR,2030,0.663
HU,2030,0.1
IE,2030,6.53276
IT,2030,11.05
LT,2030,1.8199999999999998
LU,2030,0.1
LV,2030,0.65
ME,2030,0.1
MK,2030,0.1
MT,2030,0.1
NL,2030,21.50525
NO,2030,3.90455
PL,2030,13.0052
PT,2030,2.6
RO,2030,1.3
RS,2030,0.1
SE,2030,0.78
SI,2030,0.1
SK,2030,0.1
UK,2030,68.20771097400001
