year,opex_specific_variable
2025,1.0
2026,0.9860399996871798
2027,0.9720799993743596
2028,0.9581199990615394
2029,0.9441599987487193
2030,0.930199998435899
2031,0.9185414916268498
2032,0.9068829848178008
2033,0.8952244780087516
2034,0.8835659711997023
2035,0.8719074643906531
2036,0.8614609893803195
2037,0.8510145143699859
2038,0.8405680393596522
2039,0.8301215643493185
2040,0.8196750893389848
2041,0.8153780169309319
2042,0.8110809445228789
2043,0.806783872114826
2044,0.8024867997067732
2045,0.7981897272987202
2046,0.7945803971743977
2047,0.7909710670500752
2048,0.7873617369257528
2049,0.7837524068014304
2050,0.780143076677108
