node,year,capacity_limit
AT,2025,0.0
BA,2025,0.0
BE,2025,0.0
BG,2025,0.0
CH,2025,0.0
CZ,2025,0.0
DE,2025,0.0
DK,2025,0.0
EE,2025,0.0
EL,2025,0.0
ES,2025,0.0
FI,2025,0.0
FR,2025,0.0
HR,2025,0.0
HU,2025,0.0
IE,2025,0.0
IT,2025,0.0
LT,2025,0.0
LU,2025,0.0
LV,2025,0.0
ME,2025,0.0
MK,2025,0.0
NL,2025,0.0
NO,2025,0.0
PL,2025,0.0
PT,2025,0.0
RO,2025,0.0
RS,2025,0.0
SE,2025,0.0
SI,2025,0.0
UA,2025,0.0
UK,2025,0.0
AL,2025,0.0
CY,2025,0.0
MT,2025,0.0
SK,2025,0.0
AL,2030,0.36400000000000005
AT,2030,11.700001300000002
BA,2030,1.02258
BE,2030,6.822400000000001
BG,2030,1.2324
CY,2030,0.25675000000000003
CZ,2030,1.24579
DE,2030,149.50091
DK,2030,9.497295600000001
EE,2030,1.1193
EL,2030,9.23
ES,2030,72.3027422
FI,2030,33.7902123
FR,2030,40.72744
HR,2030,1.874535
HU,2030,0.43457700000000005
IE,2030,11.63864
IT,2030,23.934066
LT,2030,6.500026
LU,2030,0.5889000000000001
LV,2030,0.3081
ME,2030,0.33046
MK,2030,0.533
MT,2030,0.1
NL,2030,11.830065
NO,2030,7.505192500000001
PL,2030,17.898192
PT,2030,13.5252
RO,2030,7.800000000000001
RS,2030,8.439795
SE,2030,23.3377989
SI,2030,0.1591759
SK,2030,0.9295
UK,2030,41.8589275
