node,year,capacity_lower_limit
DE,2025,0.0
UK,2025,0.0
AL,2025,0.0
AT,2025,0.0
BA,2025,0.0
BE,2025,0.0
BG,2025,0.0
CY,2025,0.0
CZ,2025,0.0
DK,2025,0.0
EE,2025,0.0
EL,2025,0.0
ES,2025,0.0
FI,2025,0.0
FR,2025,0.0
HR,2025,0.0
HU,2025,0.0
IE,2025,0.0
IT,2025,0.0
LT,2025,0.0
LU,2025,0.0
LV,2025,0.0
ME,2025,0.0
MK,2025,0.0
MT,2025,0.0
NL,2025,0.0
NO,2025,0.0
PL,2025,0.0
PT,2025,0.0
RO,2025,0.0
RS,2025,0.0
SE,2025,0.0
SI,2025,0.0
SK,2025,0.0
AL,2030,0.0
AT,2030,0.047430599999999996
BA,2030,0.0
BE,2030,0.41605059999999994
BG,2030,1.1199999999999999
CY,2030,0.0
CZ,2030,0.44610999999999995
DE,2030,2.24028
DK,2030,0.11199999999999999
EE,2030,0.0
EL,2030,3.9199999999999995
ES,2030,1.75
FI,2030,0.7
FR,2030,0.32899999999999996
HR,2030,0.049
HU,2030,0.26611199999999996
IE,2030,1.575
IT,2030,10.43602
LT,2030,0.84
LU,2030,0.017499999999999998
LV,2030,0.055999999999999994
ME,2030,0.0
MK,2030,0.0
MT,2030,0.0
NL,2030,6.531699999999999
NO,2030,0.0
PL,2030,0.0
PT,2030,0.0
RO,2030,0.27999999999999997
RS,2030,0.0
SE,2030,0.17845519999999998
SI,2030,0.42475999999999997
SK,2030,0.1862
UK,2030,10.854579399999999
