node,year_construction,capacity_existing_energy
AT,1943.0,4.458
AT,1953.0,2.58
AT,1956.0,9.318
AT,1957.0,1.428
AT,1969.0,4.686
AT,1972.0,1.3860000000000001
AT,1976.0,1.77
AT,1979.0,5.784
AT,1981.0,1.734
AT,1988.0,2.16
AT,2009.0,0.8400000000000001
AT,2017.0,0.07200000000000001
AT,2025.0,6.6678
BA,1979.0,2.64
BE,1969.0,6.984
BE,1981.0,0.8639999999999999
BG,1995.0,5.184
CH,1925.0,7.842
CH,1942.0,0.049199999999999994
CH,1944.0,2.496
CH,1955.0,0.324
CH,1958.0,0.42599999999999993
CH,1959.0,0.6000000000000001
CH,1964.0,8.892
CH,1965.0,6.0
CH,1966.0,0.44399999999999995
CH,1967.0,1.578
CH,1969.0,0.32682
CH,1970.0,3.96
CH,1974.0,3.84
CH,1977.0,4.8414
CH,1990.0,0.014100000000000001
CH,1992.0,0.75
CH,1993.0,0.03
CH,1999.0,0.642
CH,2010.0,0.8273999999999999
CH,2012.0,0.648
CH,2016.0,4.055999999999999
CH,2017.0,1.1064
CH,2018.0,5.484
CH,2025.0,6.288
CZ,1943.0,0.27
CZ,1978.0,2.832
CZ,1996.0,3.8280000000000003
DE,1926.0,0.1365
DE,1931.0,5.790000000000001
DE,1932.0,0.4788
DE,1943.0,9.3
DE,1951.0,1.056
DE,1955.0,0.768
DE,1958.0,1.6746
DE,1960.0,0.5928
DE,1962.0,7.764
DE,1964.0,1.7400000000000002
DE,1965.0,1.9056000000000002
DE,1966.0,2.16
DE,1967.0,0.4788
DE,1975.0,5.46
DE,1976.0,0.984
DE,1979.0,6.2712
DE,1981.0,4.734
DE,1989.0,0.972
DE,2003.0,6.312
DE,2019.0,0.8280000000000001
EL,1985.0,1.8900000000000001
EL,1996.0,2.3040000000000003
ES,1962.0,7.358580000000001
ES,1964.0,1.482
ES,1966.0,1.71
ES,1967.0,0.78
ES,1968.0,0.324
ES,1969.0,0.534
ES,1970.0,8.25
ES,1973.0,2.6892
ES,1974.0,0.552
ES,1975.0,1.602
ES,1978.0,0.738
ES,1982.0,0.9744000000000002
ES,1983.0,4.3224
ES,1985.0,6.3498
ES,1988.0,0.39
ES,1989.0,10.8
ES,1994.0,1.284
ES,2025.0,2.710032
FR,1936.0,4.453799999999999
FR,1974.0,4.848000000000001
FR,1979.0,2.91
FR,1983.0,5.46
FR,2017.0,10.2
FR,2019.0,1.92
HR,1973.0,1.422
HR,2025.0,1.6836000000000002
IE,1974.0,2.3520000000000003
IT,1929.0,0.45599999999999996
IT,1932.0,0.0774
IT,1949.0,0.8340000000000001
IT,1957.0,2.262
IT,1959.0,0.8220000000000001
IT,1960.0,0.48
IT,1966.0,0.678
IT,1973.0,9.421800000000001
IT,1982.0,6.384
IT,1984.0,5.699999999999999
IT,1989.0,3.0
IT,1991.0,6.029999999999999
IT,2025.0,10.446000000000002
LT,1992.0,5.4
LU,1962.0,15.491999999999999
NO,1928.0,0.534
NO,1932.0,0.15000000000000002
NO,1955.0,0.0642
NO,1962.0,0.198
NO,1969.0,0.0186
NO,1970.0,0.008268000000000001
NO,1973.0,0.06
NO,1974.0,0.21000000000000002
NO,1975.0,0.34896000000000005
NO,1979.0,1.62
NO,1982.0,0.12
NO,1983.0,0.012
NO,1985.0,0.798
NO,1986.0,0.0318
NO,1987.0,0.0822
NO,1988.0,0.036000000000000004
NO,1994.0,0.2976
NO,1996.0,0.00516
NO,2004.0,0.0006000000000000001
NO,2006.0,0.00198
NO,2007.0,0.003
NO,2008.0,0.0228
NO,2009.0,0.03516
NO,2011.0,0.00147
NO,2016.0,0.00588
NO,2021.0,0.019799999999999998
PL,1936.0,0.51
PL,1953.0,3.24
PL,1968.0,1.1880000000000002
PL,1971.0,1.002
PT,1953.0,1.32
PT,1972.0,0.75
PT,1981.0,2.016
PT,1992.0,3.7800000000000002
PT,2004.0,3.12
PT,2015.0,5.826
PT,2016.0,0.9179999999999999
PT,2017.0,1.566
PT,2025.0,1.32
RS,1966.0,3.684
RS,2025.0,3.684
SE,1956.0,0.21599999999999997
SE,1987.0,0.336
SI,2009.0,1.08
SK,1954.0,0.157518
SK,1972.0,0.37079999999999996
SK,1982.0,4.4064
UA,1970.0,2.718
UA,2006.0,1.713358137
UA,2009.0,3.6763446125999995
UK,1965.0,2.64
UK,2016.0,0.0078
