node,year,capacity_limit
AT,2025,0.0
BA,2025,0.0
BE,2025,0.0
BG,2025,0.0
CH,2025,0.0
CZ,2025,0.0
DE,2025,0.0
EL,2025,0.0
ES,2025,0.0
FR,2025,0.0
HR,2025,0.0
IE,2025,0.0
IT,2025,0.0
LT,2025,0.0
LU,2025,0.0
NO,2025,0.0
PL,2025,0.0
PT,2025,0.0
RS,2025,0.0
SE,2025,0.0
SI,2025,0.0
SK,2025,0.0
UA,2025,0.0
UK,2025,0.0
AL,2025,0.0
CY,2025,0.0
DK,2025,0.0
EE,2025,0.0
FI,2025,0.0
HU,2025,0.0
LV,2025,0.0
ME,2025,0.0
MK,2025,0.0
MT,2025,0.0
NL,2025,0.0
RO,2025,0.0
AL,2030,0.1
AT,2030,7.874750000000001
BA,2030,0.5720000000000001
BE,2030,1.6965
BG,2030,1.8187
CY,2030,0.1
CZ,2030,1.7440799999999999
DE,2030,11.900122000000001
DK,2030,0.1
EE,2030,0.1
EL,2030,1.7927
ES,2030,12.3861465
FI,2030,0.1
FR,2030,4.9399999999999995
HR,2030,0.36582
HU,2030,0.1
IE,2030,0.7696
IT,2030,10.124475400000001
LT,2030,1.2194
LU,2030,1.703
LV,2030,0.1
ME,2030,0.1
MK,2030,0.1
MT,2030,0.1
NL,2030,0.1
NO,2030,0.9246899999999999
PL,2030,2.014493
PT,2030,4.99122
RO,2030,1.0529272
RS,2030,1.7082000000000002
SE,2030,0.1
SI,2030,0.23399999999999999
SK,2030,1.3470600000000001
UK,2030,3.5672000000000006
