node,year,capacity_lower_limit
AT,2025,0.0
BA,2025,0.0
BE,2025,0.0
BG,2025,0.0
CH,2025,0.0
CZ,2025,0.0
DE,2025,0.0
EL,2025,0.0
ES,2025,0.0
FR,2025,0.0
HR,2025,0.0
IE,2025,0.0
IT,2025,0.0
LT,2025,0.0
LU,2025,0.0
NO,2025,0.0
PL,2025,0.0
PT,2025,0.0
RS,2025,0.0
SE,2025,0.0
SI,2025,0.0
SK,2025,0.0
UA,2025,0.0
UK,2025,0.0
AL,2025,0.0
CY,2025,0.0
DK,2025,0.0
EE,2025,0.0
FI,2025,0.0
HU,2025,0.0
LV,2025,0.0
ME,2025,0.0
MK,2025,0.0
MT,2025,0.0
NL,2025,0.0
RO,2025,0.0
AL,2030,0.0
AT,2030,4.24025
BA,2030,0.308
BE,2030,0.9134999999999999
BG,2030,0.9793
CY,2030,0.0
CZ,2030,0.9391199999999998
DE,2030,6.407758
DK,2030,0.0
EE,2030,0.0
EL,2030,0.9652999999999999
ES,2030,6.6694635
FI,2030,0.0
FR,2030,2.6599999999999997
HR,2030,0.19698
HU,2030,0.0
IE,2030,0.41439999999999994
IT,2030,5.4516406
LT,2030,0.6566
LU,2030,0.9169999999999999
LV,2030,0.0
ME,2030,0.0
MK,2030,0.0
MT,2030,0.0
NL,2030,0.0
NO,2030,0.4979099999999999
PL,2030,1.0847269999999998
PT,2030,2.6875799999999996
RO,2030,0.5669607999999999
RS,2030,0.9198
SE,2030,0.0
SI,2030,0.126
SK,2030,0.72534
UK,2030,1.9208
