node,year_construction,capacity_existing
AT,2008,0.000596209966352
AT,2011,0.020085941312465
AT,2013,0.0100951274167344
AT,2014,0.0388286224400292
AT,2015,0.021022440040503
AT,2019,0.0402023981342226
BG,2001,0.1687348568194755
BG,2005,0.0065581681118387
BG,2006,0.013986127350434
BG,2007,0.1801525774255616
BG,2011,0.0904429402091917
BG,2014,0.0515926697649966
CH,2008,0.0008078129033591
CH,2011,0.0272147120713172
CH,2013,0.013678023932052
CH,2014,0.0526094228491798
CH,2015,0.028483586795296
CH,2019,0.0544707700166559
CZ,2001,0.3203247735494425
CZ,2005,0.7290382007527754
CZ,2007,0.5254668189562843
CZ,2008,0.1531744038007275
CZ,2010,0.0037528393396105
CZ,2012,0.0659534742088651
CZ,2022,1.274105699945366
DE,2003,1.5405076120162482
DE,2004,0.8535080149117089
DE,2007,1.1329944365871896
DE,2009,0.3110356870616275
DE,2010,0.5703381203120852
DE,2013,0.055120325537425
DE,2015,0.4136135731160975
DK,2000,0.0071271034998184
DK,2001,0.1239518438410728
DK,2002,0.0071271034998184
DK,2003,0.0071271034998184
DK,2004,0.0071271034998184
DK,2005,0.0071271034998184
DK,2006,0.0477439797279626
DK,2007,0.0071271034998184
DK,2008,0.0071271034998184
DK,2009,0.0786552244104311
DK,2010,0.0071271034998184
DK,2011,0.0071271034998184
DK,2012,0.1046644113268538
DK,2013,0.0412149807576831
DK,2014,0.0071271034998184
DK,2015,0.0143654471175843
DK,2016,0.0071271034998184
DK,2017,0.0071271034998184
DK,2018,0.0071271034998184
DK,2019,0.0071271034998184
DK,2020,0.0071271034998184
DK,2021,0.234640504497913
DK,2022,0.0809519174813763
EE,2010,0.0036430043369589
EE,2012,0.0056636844780728
EE,2017,0.0158737623183546
EE,2018,0.0137576243321138
EL,2006,0.0130205414059938
EL,2008,0.0203299132120131
EL,2009,0.0675412016452334
EL,2010,0.0070789676025389
EL,2013,0.0977567697871459
EL,2014,0.0029989874250276
EL,2018,0.0483391630750504
FI,2000,0.0125316471986514
FI,2001,0.2146678665635715
FI,2002,0.0125316471986514
FI,2003,0.127598123320591
FI,2004,0.0125316471986514
FI,2005,0.0125316471986514
FI,2006,0.2810226249607668
FI,2007,0.2548964809362966
FI,2008,0.0125316471986514
FI,2009,0.211417625732444
FI,2010,0.0125316471986514
FI,2011,0.0125316471986514
FI,2012,0.0125316471986514
FI,2013,0.0125316471986514
FI,2014,0.0913371300906364
FI,2015,0.0125316471986514
FI,2016,0.1393142630302514
FI,2017,0.0125316471986514
FI,2018,0.0125316471986514
FI,2019,0.0125316471986514
FI,2020,0.0125316471986514
FI,2021,0.1709066535377953
FI,2023,0.2272889927573348
FR,2008,0.052909969620761
FR,2010,0.0702175073011672
FR,2012,0.003601240454627
FR,2013,0.0633619723509466
FR,2014,0.0428590412219308
HU,2007,0.0093259205488682
HU,2011,0.0003019491321788
HU,2016,0.0753717814079372
HU,2018,0.001463450927235
HU,2020,0.0043439615924866
IT,2014,0.0062717323620624
IT,2015,0.0054565587684491
IT,2016,0.0007704402638998
IT,2018,0.0118983595223582
LT,2017,0.0128387902529084
LT,2018,0.0002701738133968
LV,2018,0.0026294442499156
NL,2014,0.0040047592162282
NL,2015,0.01456979618478
NL,2016,0.0031142263666654
NL,2017,0.0049236707574754
NL,2019,0.0108901073405418
NO,2000,0.0005697848597067
NO,2001,0.0028089777580722
NO,2007,0.0052417243183014
NO,2011,0.0074542141377152
NO,2014,0.0033461568353969
NO,2017,0.0023393053982079
NO,2018,0.000291985755925
NO,2019,0.0023835290801602
NO,2020,0.0004479929416277
PL,2000,0.4414806759385917
PL,2001,1.7644750513415255
PL,2002,0.4414806759385917
PL,2003,0.4414806759385917
PL,2004,0.8894168726081223
PL,2005,0.4414806759385917
PL,2006,0.4414806759385917
PL,2007,0.4414806759385917
PL,2008,0.4414806759385917
PL,2009,0.4414806759385917
PL,2010,0.4414806759385917
PL,2011,0.4414806759385917
PL,2012,0.4414806759385917
PL,2013,1.4953606370952712
PL,2014,0.4414806759385917
PL,2015,0.4414806759385917
PL,2016,0.4414806759385917
PL,2017,0.4414806759385917
PL,2018,0.4414806759385917
PL,2019,1.0941150306699186
PL,2020,0.4414806759385917
PL,2024,1.108830289678156
RO,2005,0.0845732463685856
RO,2009,0.0257674198317837
RO,2011,0.03522419685221
RO,2013,0.0784366930753995
SE,2017,0.0036750770902018
SE,2018,0.0843889296713882
SI,2000,0.0017823091095937
SI,2001,0.0017823091095937
SI,2002,0.0017823091095937
SI,2003,0.0017823091095937
SI,2004,0.0382744248943977
SI,2005,0.0017823091095937
SI,2006,0.0193717240167373
SI,2007,0.0017823091095937
SI,2008,0.0017823091095937
SI,2009,0.0123610449832799
SI,2010,0.0318938893065143
SI,2011,0.0017823091095937
SI,2012,0.0017823091095937
SI,2013,0.0223558745859441
SI,2014,0.0017823091095937
SI,2015,0.0306659445910631
SI,2016,0.0017823091095937
SI,2017,0.0140427097460946
SI,2018,0.0289098266558744
SI,2019,0.0017823091095937
SI,2020,0.0017823091095937
SI,2022,0.0525504238426145
SK,2003,0.041667007973527
SK,2004,0.0381136635336601
SK,2006,0.0222411118238071
SK,2007,0.0265121008490816
SK,2010,0.029422101359629
SK,2011,0.0782624865940052
SK,2016,0.0986582947771616
SK,2017,0.0120462811003311
SK,2018,0.0589563830042653
UK,2011,0.003404712504374
UK,2017,0.0002228759069654
