edge,capex_per_distance_transport
BE-NO,206.9429333923865
BE-UK,206.9429333923865
DE-NO,206.9429333923865
DE-SE,206.9429333923865
DE-UK,206.9429333923865
DK-NL,206.9429333923865
DK-NO,206.9429333923865
DK-SE,206.9429333923865
DK-UK,206.9429333923865
EE-FI,206.9429333923865
EL-IT,206.9429333923865
FI-EE,206.9429333923865
FR-NO,206.9429333923865
FR-UK,206.9429333923865
IT-EL,206.9429333923865
LT-SE,206.9429333923865
NL-DK,206.9429333923865
NL-NO,206.9429333923865
NL-UK,206.9429333923865
NO-BE,206.9429333923865
NO-DE,206.9429333923865
NO-DK,206.9429333923865
NO-FR,206.9429333923865
NO-NL,206.9429333923865
NO-UK,206.9429333923865
PL-SE,206.9429333923865
SE-DE,206.9429333923865
SE-DK,206.9429333923865
SE-LT,206.9429333923865
SE-PL,206.9429333923865
UK-BE,206.9429333923865
UK-DE,206.9429333923865
UK-DK,206.9429333923865
UK-FR,206.9429333923865
UK-NL,206.9429333923865
UK-NO,206.9429333923865
