time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0041825332272548,0.0067368069200996,0.0001823726676115,0.0035726669678644,7.718901679677138e-05,0.000676294396208,0.0559856081863964,0.0040417058316227,0.0001255134323884,0.0005010562223949,0.0036091613018617,0.0031576391155477,0.027021074104316,0.0003609758017627,0.0005980885727466,0.0031487443512475,0.0021086614554187,0.0048296982622522,2.8320905793373805e-05,0.0001915923411106,0.0030399018310747,0.0001067882569033,0.0001454294430366,0.0238924680848223,0.017551643495072,0.0017642063251679,0.0038536080650871,0.0005501393601239,0.0373709609330646,0.0003185046738813,0.0003452772044143,0.0263713008181799
1,0.0044567754519652,0.0071785289141231,0.0001943305609203,0.0038069212066669,8.225018105761034e-05,0.0007206379721459,0.0596564977900346,0.0043067142221518,0.0001337431537221,0.0005339097027305,0.0038458084176124,0.0033646806209774,0.0287928040760335,0.0003846444259106,0.0006373043139857,0.0033552026407606,0.0022469231206045,0.005146374095809,3.017786371542376e-05,0.0002041547541289,0.0032392234851438,0.0001137901974868,0.0001549650263373,0.0254590602062443,0.0187024775704707,0.0018798826010453,0.0041062831764394,0.0005862111457676,0.0398213169515331,0.0003393885319644,0.0003679164958522,0.0281004261620641
2,0.0045324529118565,0.0073004226105484,0.000197630355444,0.003871563935481,8.364681520378424e-05,0.0007328746333421,0.0606694840325373,0.0043798435947942,0.0001360141548665,0.0005429756587226,0.0039111114635949,0.0034218139644643,0.0292817150160412,0.0003911758101879,0.0006481259432511,0.0034121750451391,0.0022850765874262,0.0052337611592631,3.069029340714713e-05,0.0002076213665673,0.0032942265266966,0.0001157223911096,0.0001575963816056,0.0258913631186067,0.0190200515679635,0.0019118036034997,0.0041760091663926,0.0005961651968411,0.0404974955360054,0.0003451514568172,0.0003741638345746,0.0285775803056214
3,0.0040021253044995,0.0064462238508394,0.0001745062688662,0.0034185648026578,7.385957279162043e-05,0.0006471233506809,0.0535707445790299,0.0038673723084078,0.000120099579973,0.0004794438388574,0.0034534850028392,0.0030214386163061,0.0258555565615,0.0003454055980076,0.000572290829807,0.0030129275156527,0.00201770719103,0.00462137574963,2.7099321765914903e-05,0.0001833282641989,0.002908779770609,0.0001021820896463,0.0001391565403959,0.0228618987378553,0.0167945770542716,0.0016881096676778,0.0036873878850285,0.0005264098417213,0.0357590149981537,0.0003047664048753,0.0003303841384568,0.0252338103686216
4,0.0042549062356245,0.0068533781359447,0.0001855283768151,0.0036344870759947,7.852466700088196e-05,0.0006879967443635,0.0569543624483958,0.0041116420148128,0.0001276852704108,0.0005097263139894,0.0036716128944528,0.0032122777351883,0.0274886367789091,0.0003672219935567,0.0006084376762514,0.0032032290591757,0.0021451489535137,0.0049132695750823,2.881096027486966e-05,0.0001949075841351,0.0030925031682811,0.0001086360814131,0.0001479459003427,0.0243058945177333,0.0178553506439581,0.0017947334990599,0.0039202894740788,0.0005596587681839,0.0380176142222168,0.0003240159609832,0.0003512517534848,0.0268276200560994
5,0.0089462013379946,0.0144096478874751,0.0003900847917641,0.0076417320010381,0.0001651029287336,0.0014465553537768,0.11975004038266,0.0086449795265288,0.0002684661127024,0.001071730839576,0.0077197913114837,0.0067540109654929,0.0577965448620584,0.0007721067652661,0.0012792775332611,0.0067349855691697,0.0045103072489459,0.0103304506403719,6.057681111793448e-05,0.0004098051504346,0.0065021775921152,0.0002284140244397,0.000311065329834,0.0511046340422553,0.0375419698991076,0.0037735372629843,0.0082426490728961,0.0011767168871614,0.0799343657386701,0.0006812634317086,0.0007385283559691,0.0564067166584367
6,0.0382724335893892,0.0616454147390669,0.0016688082151267,0.0326918285725951,0.0007063211117927,0.0061884582762152,0.5122984934854351,0.0369837870075109,0.0011485155633339,0.0045849345251341,0.0330257714006396,0.0288941000065595,0.2472573935414167,0.0033031231671554,0.0054728328353395,0.0288127081185637,0.0192953889736311,0.044194342508585,0.0002591515541598,0.0017531731974318,0.0278167403883206,0.0009771701139935,0.0013307577963256,0.2186289620138025,0.1606069990484389,0.0161434388561422,0.0352625910511616,0.0050340716932148,0.3419644370455188,0.0029144894533296,0.0031594725392181,0.2413116177183458
7,0.1015295450109681,0.1635336539510022,0.0044270333214284,0.0867252528585579,0.0018737366398315,0.0164168121589658,1.3590312419485389,0.0981110087730656,0.0030467950858405,0.0121629662026772,0.0876111401725131,0.0766505955341372,0.6559272121597673,0.0087625625240997,0.0145183928896323,0.076434678212431,0.0511870262633508,0.1172392520187043,0.0006874801760719,0.0046508377013692,0.0737925637448205,0.0025922479384635,0.0035302493442224,0.5799813849735347,0.4260600648997091,0.0428254973164527,0.0935450006587732,0.0133544423657031,0.9071671291054012,0.0077315906093273,0.0083814845124038,0.6401541907592948
8,0.130781947756218,0.210650503605556,0.0057025375273329,0.1117122852000119,0.0024135922928925,0.0211467772249503,1.7505914447305082,0.1263784726138857,0.00392462899048,0.015667325312128,0.112853411838559,0.0987349463601516,0.8449110885239692,0.0112872070303634,0.0187013908137875,0.0984568195559391,0.0659348861835885,0.1510178907118306,0.0008855550023469,0.005990823786489,0.0950534666084631,0.0033391190162693,0.0045473747100181,0.7470839663567256,0.548815274831628,0.0551642573801481,0.1204969192730001,0.0172020861867955,1.1685375333062331,0.0099591944298803,0.0107963339095268,0.8245935892134831
9,0.0980538986329386,0.1579354297889681,0.0042754833235694,0.0837563996942009,0.0018095932817094,0.0158548177787789,1.3125077200200492,0.0947523886566248,0.0029424945858869,0.0117465931220743,0.084611960554573,0.0740266266715441,0.6334729498172366,0.0084625949757781,0.0140213868244893,0.0738181008165982,0.0494347481218985,0.1132258174898913,0.0006639457656333,0.0044916262402145,0.0712664334752769,0.002503507885927,0.0034093988238595,0.5601269652596472,0.411474811698469,0.041359458198291,0.090342688044378,0.012897281652199,0.8761122066569458,0.0074669161749564,0.0080945623530963,0.6182398840000891
