node,total_energy_demand
AT,0.0
BE,0.0
BG,0.0
CH,0.0
CY,0.0
CZ,1.0081452177392865e-05
DE,0.0005241753417484277
DK,0.0
EE,0.0
EL,0.0
ES,0.0
FI,7.075403221842677e-05
FR,0.0
HR,0.0
HU,8.673899428312065e-06
IE,0.0
IS,1.2693823251742603e-05
IT,0.0
LI,0.0
LT,0.0
LU,2.471632119530653e-05
LV,0.0
MT,4.304829087884019e-06
NL,0.00019142971409830085
NO,7.852521709640894e-05
PL,2.577621606348445e-05
PT,0.00010761586497404488
RO,7.792836627095822e-06
SE,0.00020554472668835516
SI,0.0
SK,5.123321502677957e-06
UK,0.0
