time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0025626349727738,0.004101455288388,0.0005506253372826,0.002188613999963,0.0002449872194989,0.0010086980079944,0.0314378252678506,0.0024915207468808,0.0003758149493028,0.0014950861760603,0.0019848693729436,0.001854124889706,0.0149315852932102,0.001104571235168,0.0009204180910994,0.0019672281670307,0.0006187629488059,0.0026282241968605,1.7387814908837843e-05,0.0005876085136374,0.0003474800275447,0.0003209926353325,0.0001046122599311,0.0044000278282055,0.0043663371757163,0.002664554851101,0.0025207944336439,0.0008626885407247,0.0101494801713632,0.0001750504444635,0.0005155558290525,0.0161312004312448
1,0.0027306629782597,0.0043703813582416,0.0005867289876958,0.0023321180296432,0.0002610506519812,0.0010748367738435,0.0334991547715424,0.0026548859027352,0.0004004565533681,0.0015931166606443,0.002115014183043,0.0019756969865707,0.0159106262109438,0.0011769962600093,0.0009807684795487,0.0020962162705857,0.0006593342768573,0.002800552786168,1.852790699761768e-05,0.000626137093635,0.0003702637546829,0.000342039625194,0.0001114715237639,0.0046885308369878,0.0046526311406037,0.0028392655851287,0.0026860790197926,0.0009192536919826,0.0108149658640316,0.0001865282309431,0.0005493600261358,0.0171888982553018
2,0.0027770305012012,0.0044445918190361,0.0005966918318893,0.0023717181330256,0.0002654833748002,0.0010930878429671,0.0340679810381877,0.0026999667069143,0.0004072564325818,0.0016201682865311,0.0021509277942922,0.0020092449476628,0.0161807936873855,0.0011969820295907,0.0009974222392172,0.0021318106873228,0.0006705299818754,0.0028481070602016,1.884251673144772e-05,0.000636769099959,0.0003765509506043,0.0003478475664502,0.0001133643455719,0.0047681435767791,0.0047316342921709,0.0028874772147599,0.002731689492987,0.0009348629110592,0.0109986074125509,0.0001896955394305,0.0005586883335168,0.0174807711962458
3,0.00245209917375,0.0039245445530398,0.0005268748569115,0.0020942110905316,0.0002344200266113,0.0009651891815436,0.0300817971278807,0.0023840523639598,0.000359604678957,0.0014305976527879,0.0018992547128663,0.0017741497163586,0.0142875315248772,0.0010569270465281,0.0008807170996525,0.0018823744365481,0.0005920734445733,0.0025148592952259,1.6637814992874077e-05,0.0005622628138955,0.0003324919457861,0.000307147051469,0.0001000999513651,0.0042102385695382,0.004178001117849,0.002549622875756,0.0024120633697749,0.0008254776354765,0.0097116960498098,0.0001674998799259,0.0004933180245617,0.015435402883867
4,0.0026069778607452,0.0041724253540841,0.0005601531545117,0.0022264849673244,0.0002492263877551,0.0010261521453338,0.031981813771375,0.0025346331005836,0.0003823179122187,0.0015209565944059,0.0020192148186187,0.0018862079811891,0.0151899559238023,0.0011236843273789,0.0009363446654005,0.0020012683558019,0.0006294697940692,0.0026737020165123,1.7688687228447408e-05,0.0005977762740747,0.000353492693452,0.0003265469731994,0.000106422431794,0.0044761642827261,0.0044418906596442,0.0027106613229597,0.0025644133283978,0.0008776161842331,0.0103251030232281,0.0001780794526253,0.0005244768164789,0.0164103287585982
5,0.0054813308529931,0.0087727802255344,0.001177756364739,0.0046813212067832,0.0005240137667267,0.0021575478253105,0.0672437250808124,0.0053292215574379,0.0008038468601713,0.0031979045286549,0.0042455230060725,0.0039658679723111,0.0319378140161657,0.0023626152202636,0.0019687220903473,0.0042077894672416,0.0013234988509924,0.0056216224830652,3.7191549845581335e-05,0.0012568612812601,0.0007432400696999,0.0006865850401345,0.0002237596903397,0.0094114099530399,0.0093393475583139,0.0056993316917953,0.0053918363130079,0.0018452418565411,0.021709162403617,0.0003744229717701,0.0011027446757925,0.0345037227537294
6,0.0234494913681068,0.0375305267443642,0.0050385186461787,0.0200269978539709,0.0022417651167538,0.0092301305034836,0.2876730475010112,0.0227987578676498,0.0034389093660666,0.0136808444248124,0.0181626246898841,0.0169662421915251,0.1366320541806592,0.0101074222117931,0.0084223216773334,0.0180011981464341,0.0056620145206339,0.0240496681238297,0.0001591078791739,0.0053769346453012,0.0031796295582746,0.0029372556417234,0.0009572585687448,0.0402626264267577,0.0399543387958134,0.0243821131938703,0.0230666278812712,0.0078940651727678,0.0928732145614713,0.0016018059263382,0.0047176137419442,0.1476091793363126
7,0.0622070761134608,0.0995614061352424,0.0133662392928583,0.0531278465818027,0.0059469798750551,0.0244857946705109,0.7631423164267714,0.0604808029181468,0.0091227776894622,0.0362926989362426,0.0481820163502787,0.0450082393174238,0.3624590597949915,0.0268130840439061,0.0223428302733471,0.0477537821887146,0.0150202562056267,0.0637992318041196,0.0004220831827289,0.0142639930856788,0.0084349572807033,0.0077919850115764,0.0025394263658599,0.1068091510958586,0.1059913221791481,0.0646811458486898,0.0611914115221579,0.0209414654389851,0.2463751147705024,0.0042492888913675,0.0125149391307555,0.3915793016520687
8,0.0801300013455081,0.1282467543246475,0.0172172820109345,0.06843489011313,0.0076604067440932,0.0315405719490055,0.9830167026425988,0.0779063592439098,0.0117512063611232,0.0467492477751089,0.0620640813906008,0.0579758847769366,0.4668897296521477,0.0345383932946257,0.0287801827657089,0.0615124656245787,0.0193478495560782,0.0821808843897788,0.0005436925847197,0.0183736940643708,0.0108652130992185,0.010036989494941,0.0032710786429189,0.1375826988783959,0.1365292394282704,0.0833168929919054,0.0788217063708457,0.026975060694738,0.3173600096884825,0.005473581879362,0.0161207076757204,0.5044000124844926
9,0.0600775501832678,0.0961531347735604,0.0129086747368359,0.0513091286162627,0.0057433977644417,0.0236475759672699,0.7370177747702201,0.0584103722510926,0.008810478946958,0.0350502961697076,0.0465326082829431,0.0434674787048535,0.3500510506955285,0.0258951955767517,0.0215779713634988,0.0461190338001201,0.0145060699254408,0.0616152018361226,0.0004076340695656,0.0137756958526012,0.0081462045957745,0.0075252431042802,0.0024524945466557,0.1031527687186242,0.1023629364221282,0.0624669254434717,0.0590966546925028,0.0202245792508733,0.2379409907409287,0.0041038235931345,0.0120865170112989,0.3781744234823566
10,0.0432250483288726,0.0691809816625529,0.0092876305318593,0.036916278333333,0.00413230308464,0.0170141360779157,0.5302751000415055,0.0420255345925223,0.0063390297560575,0.0252182510980427,0.0334796315056618,0.0312743089892973,0.2518573666490978,0.0186312703643239,0.0155250813686812,0.0331820698215872,0.01043693645424,0.0443313695221447,0.0002932876307992,0.0099114414149061,0.0058610926423446,0.0054143185911668,0.0017645392493886,0.0742171310167931,0.0736488565268447,0.0449441740386105,0.0425193062527634,0.0145513326173142,0.1711955762647084,0.0029526499100792,0.0086960982987392,0.2720917827358595
11,0.0511906151766462,0.0819297408966652,0.0109991668914273,0.043719257027489,0.0048938091494921,0.0201495227003808,0.6279948694898382,0.0497700535243046,0.0075071942168055,0.029865502464358,0.0396493005542223,0.0370375784014399,0.2982699623015952,0.0220646645485668,0.0183860630966473,0.039296903824787,0.0123602683700237,0.0525008106456177,0.0003473350481897,0.0117379344369044,0.0069411822442897,0.0064120761030833,0.0020897107851052,0.0878939582551644,0.087220961419896,0.0532265435572905,0.0503548180537095,0.017232870687683,0.2027437146590104,0.0034967679885106,0.0102986263465135,0.3222332023040286
12,0.0557823942572905,0.0892788080847373,0.0119857880574807,0.047640858069934,0.0053327820041796,0.0219569273682346,0.684325774960006,0.0542344087547866,0.0081805867369014,0.0325444268917271,0.0432058280196339,0.040359835364256,0.3250246666268884,0.0240438567256079,0.020035286096044,0.0428218214350577,0.0134689798308408,0.0572101137709569,0.0003784908724115,0.0127908227761315,0.0075638037016464,0.0069872369369986,0.0022771570627976,0.0957780135148717,0.0950446491145944,0.0580009446540148,0.0548716264442865,0.0187786527582851,0.2209297502143729,0.0038104267723346,0.01122240928708,0.3511374003161613
13,0.0486216701050173,0.0778181863984427,0.0104471857229993,0.0415252538984294,0.0046482186862265,0.0191383409269601,0.5964796333588192,0.0472723977865338,0.0071304538803498,0.0283667348659851,0.0376595437423376,0.0351788880111971,0.2833016102506283,0.0209573734747325,0.0174633786159901,0.0373248316576016,0.0117399818115674,0.0498661148464137,0.0003299044184312,0.0111488790266747,0.0065928466000273,0.0060902930722077,0.0019848409333951,0.0834830960276566,0.082843872802985,0.0505554276451356,0.0478278165471744,0.0163680579076378,0.1925692429364161,0.003321286508952,0.0097818010396457,0.3060622812452058
14,0.0576601251091107,0.0922840855488278,0.0123892501949268,0.0492445308809735,0.0055122925724979,0.0226960351186181,0.7073613516405505,0.0560600317655052,0.0084559592860075,0.0336399279945938,0.0446602101294571,0.0417184164909158,0.3359655531243897,0.0248532140895493,0.0207097081126765,0.0442632772260886,0.0139223687415832,0.0591359041048817,0.0003912315228931,0.0132213837598736,0.0078184142782771,0.0072224392896453,0.0023538100664592,0.0990020653559133,0.0982440146549068,0.0599533557088222,0.0567186992929125,0.019410774346276,0.2283666236864763,0.0039386922583231,0.0116001747887347,0.3629572861166964
15,0.0559499661548114,0.0895470041612657,0.0120217937054063,0.0477839725613895,0.0053488018328622,0.0220228866020003,0.6863815090345171,0.0543973304598688,0.0082051614519273,0.032642191274927,0.0433356195547878,0.0404810774565984,0.3260010499616832,0.0241160851544675,0.0200954726648206,0.0429504594035191,0.0135094410290016,0.0573819745784685,0.0003796278697479,0.0128292467712287,0.0075865255829072,0.0070082267953141,0.0022839977073243,0.0960657333892006,0.0953301659414247,0.0581751811399722,0.0550364623694159,0.0188350643648052,0.2215934294621923,0.0038218734026399,0.0112561217234864,0.352192227045006
16,0.0710407666782672,0.1136995831553554,0.0152643066720888,0.0606722448464336,0.0067914783355767,0.0279628899925634,0.8715120309577675,0.0690693547593471,0.0104182540280903,0.0414464289006553,0.0550240840026869,0.0513996160519887,0.4139299112910449,0.0306206651477022,0.0255156148070029,0.0545350386230287,0.0171532015844228,0.0728590157907841,0.0004820209335731,0.0162895456274444,0.0096327599616907,0.008898482676767,0.0029000365750136,0.1219765411938848,0.1210425768141928,0.0738661656808758,0.0698808730494054,0.0239152497288009,0.2813615128256321,0.0048527074336302,0.0142921179764039,0.4471853612596327
17,0.090521777798716,0.1448786222818782,0.0194501304170889,0.0773099689564347,0.0086538577997349,0.035630957165488,1.1105006618601294,0.0880097594180245,0.0132751787498639,0.0528119923661121,0.0701129525843485,0.0654945722118849,0.5274390072931592,0.0390175553580723,0.032512582872557,0.0694897997207061,0.0218570037313057,0.0928386326109871,0.0006142021529813,0.0207565134594847,0.0122742841555972,0.0113386511615231,0.0036952932622536,0.1554253124633944,0.1542352335832876,0.0941219661506401,0.089043814676253,0.0304733609049519,0.3585173068367806,0.0061834313531365,0.0182113452349446,0.5698138660314694
18,0.0913560342190155,0.14621383601433,0.0196293844769484,0.0780224642202647,0.008733612490875,0.0359593351039198,1.1207351306192783,0.0888208648628022,0.0133975239288033,0.05329871218947,0.0707591195318173,0.0660981757721688,0.5322999301434496,0.0393771444741217,0.0328122216076939,0.0701302236382658,0.0220584397407917,0.0936942413627259,0.000619862692378,0.0209478072568194,0.0123874050046393,0.0114431491371381,0.0037293493999466,0.1568577253915624,0.1556566786430538,0.0949894022136721,0.0898644500624338,0.0307542059966114,0.3618214328967229,0.0062404183835648,0.018379182544971,0.575065319191939
