year,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
2020,0.3373668073574978,0.3487565469017015,0.8773076410479912,0.3229501232539246,0.8954198428565185,0.9422966863639944,0.0,0.32810806177580243,0.9000084778184572,0.9032375325546861,0.9589291447039336,0.0,0.3254148864166407,0.8984280552707324,0.9970051742710383,0.2979261375045768,0.0,0.963974867181241,0.30906154529221536,0.8223873379702755,1.008492863276175,0.8689645365560793,0.0,0.9618267660543844,0.0,0.9196015073156627,0.0,0.9534608905434347,0.0,0.951506838477037,0.9541172916151387,0.33477613269501855
2021,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
2022,0.9969688531150684,0.9770473287254897,1.0833866298376145,0.9976170272789743,1.0480182280677581,1.0350426587961343,0.0,0.9973186706178792,1.0265513557323656,0.99993041066404,0.9827311287369286,0.0,0.9988962962569182,1.0273557569860385,0.9798154935087247,1.0364832918146416,0.0,0.9785892100098057,0.9985536586655596,1.1395850513502561,0.8714465500959893,1.0854314554120084,0.0,0.984089318211518,0.0,1.0608285802800077,0.0,1.027487332532738,0.0,0.9911148692456773,1.022071385457681,0.9985592806747856
2023,0.9913740875418504,0.9441947538055353,1.1911248207833245,0.9930129814570638,1.0857109159923586,1.069723361944543,0.0,0.9922140724203101,1.060467197901194,0.9998211259194654,0.9622783433651885,0.0,0.996684186587606,1.0520773890730097,0.9569056448284472,1.0631805428443415,0.0,0.9542442695448533,0.9955088547643484,1.3175436933885585,0.7489474803809439,1.198241431605305,0.0,0.9620115432928805,0.0,1.1183616297377568,0.0,1.0451882114682751,0.0,0.9787463168477227,1.040998405861037,0.9956192106394186
2024,0.9823743083211777,0.9024769100144314,1.3266540151652257,0.9852568693333025,1.1100937360800882,1.1032327417888013,0.0,0.9838201797346695,1.1026327352748506,0.9996543659591169,0.9384455814959816,0.0,0.9928049681030141,1.073345682060465,0.9319387474389844,1.0770146083049843,0.0,0.9269608589774564,0.9897947544734538,1.5368912954791947,0.634805566248433,1.3417533074763779,0.0,0.9324741392689955,0.0,1.1722631693709942,0.0,1.052768810273538,0.0,0.9619828852782888,1.0564550482688029,0.9901912628939517
2025,0.9692145436614868,0.8531735134106609,1.492552715035883,0.9734369629845206,1.118957876928478,1.134747316538361,0.0,0.9713398283261102,1.1536222563170146,0.9994063472926248,0.9111079466090408,0.0,0.9866595540976459,1.0903954138773497,0.9048538931454498,1.0760471397751032,0.0,0.8968002397284865,0.9801210003379696,1.7979498594904566,0.5306349435395968,1.5175074080104773,0.0,0.894327619917813,0.0,1.2222952174603416,0.0,1.050363620157424,0.0,0.9398759721492538,1.0680597328245147,0.9810695592341435
2026,0.9512497750973925,0.7977441903345723,1.6900048227057625,0.956705402122877,1.1111649172607376,1.1633795027668967,0.0,0.9540732892067049,1.2135465206268998,0.9990459128631477,0.8802232460516529,0.0,0.9776317884224618,1.1025493563349784,0.8749785005418129,1.0597271094869882,0.0,0.8638872888132859,0.9650502582570397,2.0973501303130426,0.4374035374069034,1.7244552341151573,0.0,0.8467660281103884,0.0,1.2679407197243107,0.0,1.0384908789793146,0.0,0.9115343199273664,1.0752361210331265,0.9668930255117962
2027,0.9279737578423276,0.7377569061768414,1.9182608249772282,0.934327227390704,1.086830497503641,1.1881178696202412,0.0,0.9314517275966294,1.2819087037738122,0.9985330243910672,0.8458408366422825,0.0,0.9651130616763517,1.1092477772975093,0.8412985790076797,1.0288404077169635,0.0,0.8284081239464284,0.9430973377903474,2.4272021046992736,0.35550479529054524,1.958289447604959,0.0,0.7895579470135039,0.0,1.3080639198904536,0.0,1.017939003563671,0.0,0.8762541790699548,1.077134147964912,0.9462327771246364
2028,0.8990492581931193,0.6748148743996193,2.174166154936645,0.9057329168893887,1.0473516166881707,1.2077829218014065,0.0,0.9030725129010174,1.3574906545135212,0.9978171370017641,0.8081072021863314,0.0,0.948529854929399,1.1100710869023762,0.8028069462372165,0.9851623876494677,0.0,0.7906059898830142,0.9128610703017388,2.7746446658569,0.2848476095878341,2.2110630862054643,0.0,0.7232685898748196,0.0,1.3407249041398912,0.0,0.9896459318306889,0.0,0.8336721765469977,1.0726474804800756,0.9177107591904404
2029,0.8643362192835355,0.6104866539781684,2.4518396791930326,0.8705712200572708,0.995257178147507,1.2210240826048568,0.0,0.8687330200223237,1.438292122070951,0.9968354848550084,0.767267701368437,0.0,0.9273744102396166,1.1047538077228838,0.7588425980764937,0.9309015786798268,0.0,0.7507752947426874,0.8731886800963323,3.1219975475320463,0.22495477153260302,2.4712368550633963,0.0,0.6494124064920618,0.0,1.3632306011743125,0.0,0.9545923357369488,0.0,0.7839109364893779,1.0605370521730608,0.8801505191157565
