node,year_construction,capacity_existing
AT,2009,0.0490252401568045
AT,2010,0.0061476376157559
AT,2012,0.002352737998414
AT,2015,0.0834896785338827
AT,2016,0.0257204731156656
AT,2020,0.0152440049827312
BG,2016,0.0022377008076977
BG,2019,0.0005701120131566
CH,2009,0.0664249573539593
CH,2010,0.0083295169008468
CH,2012,0.0031877563620256
CH,2015,0.1131212885112031
CH,2016,0.034849015004664
CH,2020,0.0206543074066088
CZ,2011,0.0363395505773395
CZ,2014,0.0019681205782354
CZ,2017,0.0064869584879885
CZ,2019,0.0047448352127306
DE,2009,0.0417956589027008
DE,2010,0.0250221737627698
DE,2012,0.0848338464299993
DE,2015,0.0615405785522086
DE,2016,0.0035601154013484
DE,2019,0.025311360000847
DK,2009,0.0831810031307789
DK,2015,0.0067865355619735
DK,2016,0.0041560812379908
DK,2018,0.0097127643071634
EE,2015,0.0022944396620352
EE,2017,0.0134254347929412
FI,2007,0.0222918665413838
FI,2009,0.1202993783609476
FI,2012,0.0148333024979645
FI,2014,0.0060439373570243
FI,2015,0.0550484199603034
FI,2016,0.0713006472030708
FI,2019,0.0619658313075929
FR,2006,0.0497194642894314
FR,2010,0.2070181299399724
FR,2013,0.122261930986669
FR,2017,0.0689165685952831
FR,2019,0.0234487987280628
FR,2020,0.0704089746936961
HR,2017,0.0065303032092957
HU,2017,0.0005304442352187
HU,2019,0.0012460109012966
IT,2011,0.2608024760777561
IT,2013,0.230135168507409
IT,2016,0.0496404443722867
IT,2018,0.1769821664288985
IT,2020,0.1007870362741188
LT,2012,0.0096629811152844
LT,2018,0.0065899753596067
LT,2020,0.002448157938918
LV,2009,0.0006507610801413
LV,2016,0.0001123722524864
LV,2018,0.0022205230289341
LV,2020,0.0007148748557172
NL,2007,0.0224167952711075
NL,2011,0.0573057878474285
NL,2013,0.0084710694717317
NL,2014,0.094209877952181
NL,2017,0.002405916546514
NL,2018,0.0058670061318033
NL,2019,0.0070738480012763
NO,2010,0.0042237112293979
NO,2016,0.0088959800686828
NO,2018,0.0096103165475948
NO,2019,0.0029750193669054
PL,2008,0.025633891757471
PL,2010,0.0271296587251537
PL,2012,0.04066558480838
PL,2014,0.0230943796782239
PL,2017,0.0515590543672033
PL,2020,0.0115752395103599
PL,2024,0.0355844017196571
RO,2009,0.0192675098997402
RO,2016,0.0546320176192613
RO,2018,0.0134888608627476
RO,2020,0.0006377614128907
SE,2016,0.048931853458705
SE,2018,0.0477320639658055
SI,2013,0.0013497393227931
SI,2014,0.0007006722685292
SI,2016,0.0016630480308687
SI,2017,0.0025009205831951
SK,2016,0.0162532465014795
SK,2017,0.0003333498414106
UK,2009,0.0019036783549984
UK,2011,0.0153079243977011
UK,2014,0.0191905330424741
UK,2017,0.0035188639352493
