time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.001568852167891,0.0026037681820114,2.5417255724548688e-05,0.0013034367061033,9.750001066465424e-06,8.880406927176635e-05,0.0173853871412001,0.0014467651674603,1.63167345913274e-05,6.357111872690078e-05,0.0014480317072048,0.0004511191478372,0.0094164187620714,4.610230746933854e-05,7.76972507281599e-05,0.0010679380556434,0.0011560487945724,0.0019006152626044,1.0009873844681933e-05,2.61542015623342e-05,0.0007117816366162,1.4090896652534813e-05,2.05445701098502e-05,0.0057593095045808,0.0087041144949476,0.0002262616666969,0.000569440044491,7.143345743695942e-05,0.0213917215936989,0.0001263764899359,4.608118045300753e-05,0.0099969537996649
1,0.001430772413774,0.0023746021218127,2.318020083014584e-05,0.0011887170253269,8.891871933936633e-06,8.098813587753201e-05,0.0158552429817838,0.0013194306851703,1.4880645999633093e-05,5.797601893202696e-05,0.0013205857526549,0.0004114146923852,0.0085876492872026,4.2044694260217e-05,7.085886436156243e-05,0.0009739453728696,0.0010543012006507,0.001733335965356,9.128872468322748e-06,2.38522856809234e-05,0.0006491354323526,1.2850711257829405e-05,1.87363760382434e-05,0.005252414045243,0.0079380372227439,0.0002063476455143,0.0005193217841877,6.514636777963157e-05,0.0195089669796881,0.0001152536862622,4.2025426700933584e-05,0.0091170895582606
2,0.0009648115949939,0.0016012635123282,1.56310859224782e-05,0.0008015865822971,5.996048749943528e-06,5.4612663620959554e-05,0.0106916530700512,0.0008897306179431,1.0034453881855471e-05,3.909492156733979e-05,0.0008905095136581,0.0002774289340099,0.0057909025406631,2.835196439329741e-05,4.778220021995565e-05,0.0006567597890406,0.0007109460688585,0.0011688390279935,6.155865127023611e-06,1.6084292351821883e-05,0.0004377309667323,8.665609642814537e-06,1.2634485174466955e-05,0.0035418560798167,0.0053528501669914,0.0001391462395244,0.0003501938352275,4.393009705836874e-05,0.0131554657939681,7.77189242685516e-05,2.8338971715758404e-05,0.0061479195668903
3,0.0006929143482432,0.0011500053158228,1.1226029797429532e-05,0.0005756884008389,4.306279312105164e-06,3.9222059949414416e-05,0.0076785974143724,0.000638992228579,7.2066060437074595e-06,2.807743215153061e-05,0.0006395516207127,0.000199245624732,0.0041589461409081,2.036198883899148e-05,3.431651557135852e-05,0.0004716758002667,0.0005105916372639,0.0008394440297832,4.421057224536587e-06,1.1551516389047743e-05,0.0003143723283312,6.22352103657975e-06,9.07391257057723e-06,0.0025437120675698,0.0038443429825568,9.993290541993284e-05,0.0002515043707543,3.1549988339071946e-05,0.0094480736485349,5.5816656884232944e-05,2.035265767761697e-05,0.0044153508331025
4,0.0006720943377161,0.0011154510843477,1.0888721067783671e-05,0.0005583906805707,4.176888456167919e-06,3.80435539722915e-05,0.0074478784526342,0.0006197924170014,6.990069015610693e-06,2.723378901663361e-05,0.000620335001069,0.0001932588876773,0.0040339822075524,1.9750171775231675e-05,3.328540657894361e-05,0.0004575033485751,0.000495249880682,0.0008142212391436,4.288217634493672e-06,1.120442775762747e-05,0.000304926377036,6.036522782285639e-06,8.801268547950476e-06,0.0024672811029653,0.0037288319362503,9.69302195207082e-05,0.0002439474141695,3.060200524273002e-05,0.009164187200922,5.413953273914913e-05,1.974112098743948e-05,0.0042826827031109
5,0.002878887969806,0.0047779880404112,4.6641381022695135e-05,0.0023918431126936,1.7891526907583664e-05,0.0001629579713938,0.0319026756730709,0.0026548548811549,2.994166810798785e-05,0.0001166547955732,0.0026571790173026,0.0008278163578685,0.0172793939719795,8.459903429409444e-05,0.0001425766461533,0.0019596964480234,0.0021213821386863,0.0034876826043445,1.8368400784039017e-05,4.799369741694873e-05,0.0013061393754759,2.585719272153899e-05,3.769986550969444e-05,0.0105684953537821,0.015972295554784,0.0004151965389815,0.0010449385398846,0.0001310824088246,0.03925441237228,0.0002319044228571,8.456026562334391e-05,0.0183446921370868
6,0.0120155381068649,0.0199417615328649,0.000194665890758,0.0099827719479299,7.467338972643471e-05,0.000680133348583,0.133151348465485,0.0110804971667107,0.0001249667433772,0.0004868790158768,0.0110901973519006,0.0034550351030597,0.0721185467831318,0.0003530887380911,0.0005950683538129,0.008179132913845,0.0088539561781996,0.0145564480718486,7.666370553407057e-05,0.000200310017705,0.0054513991525573,0.0001079194771525,0.0001573469254122,0.0441094478102079,0.0666631449036715,0.0017328947455731,0.0043612321761037,0.0005470951613578,0.1638350962832006,0.0009678933182588,0.0003529269303217,0.0765647533852187
7,0.0310604623646299,0.0515499454179325,0.000503216128965,0.0258057117064284,0.0001930325542317,0.001758161481301,0.3441995199073951,0.0286433584719251,0.0003230421138843,0.0012585942647156,0.028668433689892,0.0089313509584517,0.186428222209162,0.0009127430967564,0.0015382663717266,0.0211432603172921,0.0228876950998915,0.0376287772946287,0.0001981775696848,0.000517806336333,0.0140920012659142,0.0002789745102295,0.000406745683089,0.1140240105310642,0.1723258737954777,0.0044795756584542,0.0112738927432545,0.0014142544859906,0.4235177648184106,0.0025020281003961,0.0009123248196816,0.1979217759394428
8,0.032673484976551,0.0542270217159697,0.0005293489979859,0.02714584618384,0.0002030570629192,0.0018494657958169,0.3620743860991897,0.0301308567697351,0.0003398182400147,0.0013239552044333,0.0301572341863977,0.0093951711966008,0.1961097567076977,0.0009601433973914,0.0016181511593909,0.0222412657681177,0.0240762920144346,0.0395829036666912,0.0002084692677711,0.0005446968996252,0.0148238228473928,0.0002934621307893,0.0004278686778603,0.1199454712334001,0.1812750493675615,0.0047122076374657,0.0118593651584994,0.0014876991256143,0.4455117623057218,0.0026319626729798,0.000959703398477,0.2082001902216931
9,0.0287823117949826,0.047768979888814,0.0004663074024496,0.0239129743693596,0.0001788744512962,0.0016292079411657,0.3189539738770728,0.0265424920181876,0.0002993483720743,0.0011662818191551,0.0265657280773736,0.0082762749961284,0.1727545184619899,0.0008457973384671,0.0014254411867735,0.0195924936232686,0.0212089816597108,0.0348688692345829,0.0001836421021193,0.0004798274812137,0.0130584139247299,0.0002585129365434,0.0003769126465181,0.1056608425429205,0.1596865163080247,0.0041510181592681,0.010447001473135,0.0013105250364717,0.3924545685964664,0.002318515161172,0.0008454097402066,0.1834050697388453
