year,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
2020,1.0101638637661123,1.0576705931653347,0.7397899061673417,1.0091476988458832,0.6992677920810982,0.9756235392249889,0.9415003985316678,1.0038224528572648,0.7047424893042712,0.6801235826133308,0.9809077416101419,0.8672831461652064,0.9959820333285674,0.7027986513229467,0.946796868584745,1.0074682725426187,1.0003049298789837,0.9847705333355848,1.0086959575867307,0.707361410937191,1.12626983790312,0.7089717934868033,0.837141641133678,1.0044789663759903,1.0000610095238947,0.9348651422102512,0.8700219468366291,0.9216713621970521,1.007189008218584,0.9719710749741818,0.971103538369172,1.009247918522315
2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022,0.9667909682164898,0.9162708241727489,1.0379202615849523,0.9668323697504048,1.0855151038192277,1.027726098014157,0.9501952280437924,0.9686078553313432,1.01112805832667,0.9999931801066932,0.9846938356632929,0.9997510202616711,0.9808574697582565,1.0351099878203178,1.056808435192402,0.9608379366316949,0.9992550092801895,0.9813924581677295,0.9633765645089384,1.0764883340807514,0.8677760328741793,1.0332343951698495,1.0732008259163974,0.9888609317824114,0.9998218562351926,1.0846649590755861,1.0261027670699343,1.088989160851344,0.9894802553425347,0.9937064652244326,1.0333640495937744,0.966995008662778
2023,0.9276060206625905,0.8307877494529042,1.0918440651576253,0.9268690946458226,1.1744568537479931,1.0639442515920927,0.8981968428217164,0.9311280828514976,1.026643134843495,0.9999804335839695,0.960778412178233,0.999228658055798,0.9570057416167649,1.0698382041068275,1.1195341657007438,0.9115336378313467,0.997691969879062,0.9546806538570978,0.9168955854711788,1.188697582499552,0.7401499264327115,1.0826791722539568,1.1508049019579916,0.9731304572263133,0.9993866636023369,1.1970820411271161,1.0518978182371623,1.1922361335179867,0.9752190662903878,0.9779394058980251,1.075756423864158,0.9245383394831207
2024,0.8826088657806633,0.7454260073282706,1.166588641628583,0.8801492844446605,1.2610768769568739,1.1096521137587114,0.8445441153988317,0.8876345585331228,1.0477479073120022,0.9999575472241642,0.9317121048898107,0.9982357598185955,0.9281008820717299,1.103221238740519,1.1851818031341952,0.853357152268257,0.9947546757115001,0.9234545474955217,0.8602067763620331,1.3477128447900635,0.6204736373686826,1.1538577829477934,1.2299383851918446,0.9516585906311884,0.9984528185200597,1.340379488276876,1.0752262151533853,1.3086074681857007,0.9569085281686492,0.9553280294347518,1.1273402472880996,0.8720581675796084
2025,0.8322036833932154,0.6618708878101727,1.2675247860039809,0.8270298028534057,1.3386399519106835,1.1653196406023265,0.7898161126436107,0.8384534969633931,1.0757444751068894,0.9999179329266766,0.899104307474116,0.9964955380794583,0.8939425991592386,1.1342429735836055,1.2497149483031846,0.7871868835601528,0.989677755306822,0.889453618922804,0.7936578064423616,1.5650239037003058,0.5112168809086676,1.252971745846528,1.3071229239385371,0.9232936121809224,0.996636704904747,1.5155139547329393,1.093850164746999,1.4357925654237864,0.9343488927924584,0.9266378307887666,1.1873227352808473,0.8096073364887195
2026,0.7770299383924679,0.5815707068516603,1.4002324173481997,0.7681958224274013,1.4002095263155323,1.2306456814953064,0.7320939078250827,0.7841647873597823,1.1119409792873125,0.9998517087594254,0.8630296197235947,0.9936411908240759,0.8545031284201049,1.161879060715682,1.3083584051884496,0.7135173354083616,0.9814651983772726,0.8528662330191131,0.7184056679394164,1.850815103038371,0.4139533111045023,1.3863749631850166,1.3785023170272208,0.8870046877266808,0.9933677477161725,1.7203440852203584,1.1057815764990633,1.5702359999567974,0.9074548254153202,0.8911837942055535,1.2537557081234718,0.7380009943405714
2027,0.717943063329591,0.5057066414902104,1.569965486193755,0.7046478372042587,1.4396233878137497,1.304348805520587,0.6743907568756282,0.7255878741740256,1.1575161778122658,0.9997446096175343,0.8236597206320436,0.9892085520279994,0.8099501260550926,1.1851449939669818,1.356085579669058,0.6327672040559792,0.9688863442619591,0.8139393046430234,0.6364392731281515,2.211587256998877,0.3294180982270631,1.559726638326346,1.4401455064894453,0.8420346502346588,0.9878422711880852,1.9489193052953608,1.109598137135778,1.707192301989789,0.8762603995427223,0.8485733838730405,1.323469284429001,0.6588821980147143
2028,0.6559806371064796,0.43517927783122884,1.7809284979961109,0.6376627148813769,1.4524751840031973,1.384038470359605,0.617291936492903,0.663751145626833,1.213344805086949,0.9995767308544774,0.7812640370777753,0.9826332059574511,0.7606606895754682,1.2031441744033562,1.3882320968551618,0.5458397134241769,0.9505004863183737,0.7729722681248474,0.5504847018611967,2.6473630622068485,0.2576194165563825,1.776824553544575,1.4883943583689319,0.7880675030661203,0.9789825158193773,2.191191429290265,1.1046720179421547,1.8409215800989143,0.8409214177035429,0.7988375225656332,1.3921857936547988,0.5746820653171821
2029,0.5923151794439097,0.3706105884966885,2.035405229620768,0.5687291429282828,1.4368842287726082,1.466209541873948,0.5613510518081595,0.5998454417926306,1.2797949595237332,0.9993211104664458,0.7362061092467329,0.9732540292938857,0.7072237892327845,1.215112076723957,1.4011348126241494,0.454764329176178,0.9247240187905396,0.7303085169916536,0.4637826743189531,3.1489869526038348,0.19798370568253199,2.038206863584656,1.520213691249191,0.7253850185094843,0.9654115730265127,2.433324413258489,1.0912528539427853,1.9650265879752442,0.8017140707887345,0.7425261894386165,1.4548332168515872,0.4884539337713035
