year,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.5583295913792041,0.0,0.0,0.0,0.0,0.8844159433738281,0.0,0.0,0.0,0.0,0.8861847508523631,0.0,0.0,0.0,0.7152737748544591,0.0,0.8618136443017785,0.7192568291203214,0.8320368085887706,0.0,0.8901801886155676,0.0,0.8802370045130157,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.9950859456460994,0.9806893853829988,0.0,0.0,0.0,0.0,0.9898431617443871,0.0,0.0,1.020384491110905,0.0,0.9894623779370371,0.0,0.0,0.0,0.9424814509849259,0.0,1.0610122792271233,0.9903525344785169,0.9901733688182045,1.004207993358844,1.0145346854638972,1.0403547901245092,0.9802573769903975,0.0,0.9961637806061083,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.9928657961412382,0.9564307154765669,0.0,0.0,0.0,0.0,0.9791910760219273,0.0,0.0,1.0516242524326387,0.0,0.9780469896563103,0.0,0.0,0.0,0.8712362470239089,0.0,1.121755411495932,0.9805186069252411,0.9800473021148138,1.017886839714805,1.0261092419447184,1.0956267885056108,0.957228070318475,0.0,0.9959063026451874,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.9912549532251815,0.9241002593911578,0.0,0.0,0.0,0.0,0.9646068862301291,0.0,0.0,1.0914188096951651,0.0,0.9620745382695954,0.0,0.0,0.0,0.7873401901432953,0.0,1.1752467459291434,0.9671067440773099,0.966210927914604,1.0424822735185841,1.029415573464802,1.1641742540605735,0.927644729351329,0.0,0.9975419406626507,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.9981648151551586,0.8899964043112828,0.0,0.0,0.0,0.0,0.9521077283533677,0.0,0.0,1.146862105153894,0.0,0.9472105252094466,0.0,0.0,0.0,0.700147951421488,0.0,1.2257159667453648,0.9561498987511493,0.9546763810772064,1.0908703905936534,1.0296017168569804,1.254897419927848,0.897581804758305,0.0,1.0094413635060127,0.0
2026,inf,inf,inf,inf,inf,1.012010823827017,8.749173060830085,inf,inf,inf,0.0,1.1186957946151448,inf,inf,1.2130112136363091,inf,0.9294274795262563,0.0,inf,inf,0.6106677096257914,inf,1.3879895146430108,0.9439816295580558,0.9417621230695707,1.1669290356007838,1.1607827413473935,1.3648238752034536,0.8639494512801768,0.0,1.0303305080155243,inf
2027,inf,inf,inf,inf,inf,1.0344817884958633,17.05096384566721,inf,inf,inf,0.0,1.8452016417909278,inf,inf,1.286350950341511,inf,0.9077134410216886,0.0,inf,inf,0.9132874454195751,inf,1.9243668904839724,1.2821054386132689,0.926790283740863,1.2780164024801461,1.7182634516970052,1.4931706104066174,0.8268789191953455,0.0,1.0619155479432096,inf
2028,inf,inf,inf,inf,inf,4.023597121464935,24.041470590402742,inf,inf,inf,0.0,2.0091117755942554,inf,inf,4.317905520819763,inf,0.8809362205973921,0.0,inf,inf,0.8140599545746041,inf,2.1036028345130515,1.2617912446817547,0.9088850629926003,6.41866511548889,1.8529188795257283,4.593992819152754,0.7866107183056441,0.0,4.061703380496167,inf
2029,inf,inf,inf,inf,inf,7.090456313632852,32.08960363450019,inf,inf,inf,0.0,2.1732597280415518,inf,inf,7.485486202673843,inf,0.8479193202825069,0.0,inf,inf,1.1287554918378648,inf,2.282792887260288,1.6106362733544648,0.8869715278713707,11.761624101095308,1.9893559842178101,7.90681304305348,0.7434877501739255,0.0,7.142729782892396,inf
2030,inf,inf,inf,inf,inf,10.239967467776266,40.15879288330137,inf,inf,inf,0.0,2.33671893097641,inf,inf,10.812246630749895,inf,0.8075615684212335,0.0,inf,inf,1.0162344549746394,inf,2.4616333353465234,1.577824810431011,0.8598056058682384,17.348227204513105,2.1282986790771936,11.469887097205632,0.697945041379764,0.0,10.31051561742737,inf
2031,inf,inf,inf,inf,inf,15.599845719182131,48.24115929996485,inf,inf,inf,0.0,2.508904060360095,inf,inf,16.45270415805587,inf,0.764366598626846,0.0,inf,inf,2.3385092050554475,inf,2.6538558505499052,2.838157610134005,0.8318884683174599,26.906733944498992,2.2804667285270077,17.46072389411586,0.6550931372793173,0.0,15.694612280322296,inf
2032,inf,inf,inf,inf,inf,20.91954272265347,56.65029893987528,inf,inf,inf,0.0,4.355300028132834,inf,inf,22.223620575512804,inf,0.7093454678509706,0.0,inf,inf,3.5966437411459338,inf,3.9725544124578067,4.067085021501438,0.7928201133067383,38.150126007194686,3.719404017824561,23.748835973868676,0.6081623469301312,0.0,21.04815094860383,inf
2033,inf,inf,inf,inf,inf,26.258405436602978,66.18114830812895,inf,inf,inf,0.0,6.168568617052376,inf,inf,28.21749382909598,inf,0.6454625882116357,0.0,inf,inf,4.972946053638956,inf,5.348330985501271,5.448672227614247,0.7444609815315213,49.801386850021565,5.167362374652582,30.458036738573924,0.5601940709181997,0.0,26.435943079824117,inf
2034,inf,inf,inf,inf,inf,33.240505623844456,76.23640807880157,inf,inf,inf,0.0,8.727472894695124,inf,inf,36.08842925809791,inf,0.5757744916866829,0.0,inf,inf,6.264450370384643,inf,7.320535774236389,6.823552462130329,0.6886396191665971,62.31004047465423,7.225942558790023,39.29068679503266,0.5136527063006066,0.0,33.49012034206384,inf
2035,inf,inf,inf,inf,inf,40.202042462199984,86.24328699406314,inf,inf,inf,0.0,11.403985687069692,inf,inf,44.1929381072133,inf,0.4978760312111691,0.0,inf,inf,7.890458765303953,inf,9.498648370509867,8.575267073490034,0.6204086464252632,75.57142988597776,9.424278294171618,48.66249044022939,0.4653454975258906,0.0,40.55532006852372,inf
2036,inf,inf,inf,inf,inf,47.28458498735781,96.15190646694926,inf,inf,inf,0.0,14.031593868331717,inf,inf,52.66069605333498,inf,0.4169790068228938,0.0,inf,inf,9.36269464252019,inf,11.791322185737707,10.288087382669039,0.5437309813286711,90.11462225917565,11.639018480638745,58.7784565486556,0.4178895624940887,0.0,47.78234929670741,inf
2037,inf,inf,inf,inf,inf,54.543014159697485,109.96486499411802,inf,inf,inf,0.0,18.492947559498603,inf,inf,61.4916103366182,inf,0.33668903863587946,0.0,inf,inf,10.668898507925142,inf,15.470862615452628,11.961656570462788,0.4611780478647137,106.33188098471769,15.309674825057305,69.72007870454334,0.37187156924011006,0.0,55.23104696010696,inf
2038,inf,inf,inf,inf,inf,62.26404830890211,124.32893279788014,inf,inf,inf,inf,23.46304205328799,inf,inf,70.90975931365342,inf,0.2618131786555632,inf,inf,inf,11.846963948535162,inf,19.742961752202667,13.645658563159136,0.3778585231818742,125.07797565748548,19.45207741199497,81.8438911284973,0.3290271455990025,inf,63.18877124011853,inf
2039,inf,inf,inf,inf,inf,79.81237748151408,139.70011816792896,inf,inf,inf,inf,28.277810368135384,inf,inf,90.0919884418558,inf,0.19369816681559263,inf,inf,inf,12.814810802643764,inf,24.16019073450072,15.245687011005153,0.29516800038899726,155.59848105144454,23.550062592296864,104.35491649073542,0.2872584078684009,inf,80.99984317770284,inf
2040,inf,inf,inf,inf,inf,106.18682549721998,157.65052620125232,inf,inf,inf,inf,33.96398162953112,inf,inf,118.15100214187608,inf,0.13617811789603074,inf,inf,inf,13.617712613102102,inf,29.420336444424656,16.803555838494436,0.21930053853783527,197.360589061657,28.38463882939084,136.67880589510887,0.24829685662018655,inf,107.64650145206645,inf
2041,inf,inf,inf,inf,inf,138.78273572121964,175.23528425743186,inf,inf,inf,inf,39.68932365828651,inf,inf,152.6607784837025,inf,0.0908780148306523,inf,inf,inf,14.319884067874588,inf,35.0226529178999,18.38402205186191,0.15456149403568542,246.93216701532876,33.33155775654626,176.75680356920066,0.21321903321042984,inf,140.50299237406352,inf
2042,inf,inf,inf,inf,inf,171.2228015703192,191.16375865728966,inf,inf,inf,inf,45.173490048419566,inf,inf,187.2757713389294,inf,0.05686166036903418,inf,inf,inf,14.830796471802865,inf,40.70445028770268,19.849244920614133,0.10186836834190009,298.65909887958605,38.14147318922398,218.3135687514024,0.1805009713137127,inf,173.1473354818056,inf
2043,inf,inf,inf,inf,inf,206.27630246912278,205.9827986243326,inf,inf,inf,inf,50.534498335278045,inf,inf,224.85765025946478,inf,0.03330905442864707,inf,inf,inf,16.26258485804276,inf,46.539470832035576,22.19349978652818,0.06252999793900801,355.52886650966946,42.896368945838866,264.3909879848759,0.15115509204235195,inf,208.32038165340543,inf
2044,inf,inf,inf,inf,inf,242.6369831289156,220.5018214330354,inf,inf,inf,inf,55.974163049681515,inf,inf,264.29083624881116,inf,0.01823151218979665,inf,inf,inf,17.607889957922538,inf,52.68139182795279,24.540585834426984,0.03555016077382282,420.6698195741193,47.751870761867124,314.20561153038915,0.12565834886525257,inf,244.70200431046075,inf
2045,inf,inf,inf,inf,inf,280.67750301380016,233.08075720368052,inf,inf,inf,inf,61.07388912788959,inf,inf,305.8354585271652,inf,0.009188927451892481,inf,inf,inf,18.73723427510224,inf,58.69830079960184,26.696925839483697,0.018360668834137457,489.03003888079166,52.33713947259332,367.7915066197787,0.10288971793779778,inf,282.64201172980427,inf
