time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0011049955847123,0.0018867830730321,6.673909984529322e-05,0.0009228803565936,2.597057717702768e-05,0.000115807128541,0.0185158415577041,0.0010528391670004,4.26353892083026e-05,0.0001655229965922,0.001533824988007,0.0013818528222612,0.0067180865339547,0.0001209419523449,0.0001018880883342,0.0007637887177795,0.0006245051572244,0.0020230986444066,7.165476697998286e-06,6.793854441691227e-05,0.0003776796603925,3.687982519745311e-05,6.59265448425929e-05,0.0039943665220812,0.0041846417818299,0.0002943355830101,0.0018139272348061,9.282995907865088e-05,0.0106182662842478,0.0001339510770588,5.980587991744599e-05,0.0069303120462888
1,0.001007741348934,0.0017207211915314,6.086517578461045e-05,0.0008416546711365,2.368482267174392e-05,0.0001056145685527,0.0168862024483708,0.000960175386257,3.888291068989649e-05,0.0001509547822391,0.0013988280892952,0.0012602314854464,0.006126806006872,0.0001102974599039,9.292058809896216e-05,0.0006965652020737,0.0005695404382284,0.0018450391885244,6.534819915389578e-06,6.195905335959603e-05,0.0003444388517878,3.363391248536591e-05,6.012413637609785e-05,0.0036428094037559,0.0038163379224041,0.0002684301562518,0.001654277631297,8.465969409982616e-05,0.0096837183212941,0.0001221616094707,5.454217096974184e-05,0.0063203528653724
2,0.0006795494020196,0.0011603325178476,4.104316435165241e-05,0.0005675523080231,1.5971367157406966e-05,7.121898588415999e-05,0.0113868591264136,0.0006474742851974,2.6219881456738625e-05,0.0001017932152046,0.0009432706047186,0.0008498108698699,0.0041314840982406,7.437679619008503e-05,6.265906439659371e-05,0.0004697142446696,0.0003840577392537,0.0012441637713793,4.406619784438407e-06,4.1780797924741874e-05,0.0002322651700382,2.268032877800391e-05,4.054345985162328e-05,0.0024564526945456,0.0025734680390142,0.0001810102883621,0.0011155276860591,5.708850248286558e-05,0.0065300138785843,8.237713849232426e-05,3.677937767121437e-05,0.0042619983934969
3,0.0004880429852239,0.0008333347718057,2.9476633183230467e-05,0.0004076082207638,1.1470415075698849e-05,5.114849100333888e-05,0.0081778847922797,0.000465007079786,1.883075635168356e-05,7.31064797884473e-05,0.0006774439068486,0.0006103224174348,0.0029671747583294,5.341638670583556e-05,4.50008737386363e-05,0.0003373422763517,0.0002758249584308,0.000893541219059,3.1647734041887416e-06,3.0006391417057244e-05,0.0001668096338722,1.628869855492444e-05,2.911775232011848e-05,0.0017641903628262,0.0018482291653941,0.0001299990864916,0.0008011565610773,4.100017318960986e-05,0.0046897656850058,5.916212193625994e-05,2.6414440539554443e-05,0.0030609083207193
4,0.0004733787484163,0.000808295546156,2.859094822847032e-05,0.0003953608088452,1.1125763296974672e-05,4.961163132676923e-05,0.0079321637332543,0.0004510350032648,1.8264948259430725e-05,7.090984800755106e-05,0.0006570887369667,0.0005919840482149,0.0028780200022465,5.181138352419935e-05,4.364873163429157e-05,0.0003272061465939,0.000267537240688,0.00086669296915,3.0696813978564284e-06,2.9104788806625773e-05,0.0001617975016483,1.5799271721369806e-05,2.8242850665439915e-05,0.0017111817016275,0.0017926953887052,0.0001260930014811,0.000777084194734,3.976824021032861e-05,0.004548852206769,5.738447653948372e-05,2.562076534507533e-05,0.0029689371505145
5,0.0020276980588895,0.0034623001464107,0.0001224681302627,0.0016935114796312,4.765674149169251e-05,0.0002125093466408,0.0339770914062386,0.0019319895615739,7.82371415177889e-05,0.0003037393665053,0.0028146121069503,0.0025357388971826,0.0123278782402533,0.0002219318931233,0.0001869675153435,0.0014015738360134,0.0011459845745899,0.0037124430639902,1.3148851807703e-05,0.000124669144876,0.0006930528274096,6.767551925062698e-05,0.0001209770689187,0.0073297752093965,0.0076789356768092,0.0005401140951049,0.003328607628727,0.0001703455927197,0.019484818067346,0.0002458040038315,0.0001097454761779,0.0127173180401588
6,0.008462949427464,0.0144505099826463,0.0005111419761665,0.0070681637949576,0.0001989036737268,0.0008869446047948,0.1418092822068372,0.0080634934192042,0.0003265362755128,0.0012677089108977,0.0117472716485677,0.0105833459543096,0.0514525373429292,0.0009262712362967,0.0007803413432261,0.0058497114208092,0.004782965322125,0.0154945248209662,5.48790128737172e-05,0.0005203282922849,0.0028925761422983,0.0002824555137213,0.0005049187731148,0.0305920877321223,0.0320493694831351,0.0022542598252704,0.0138925210794031,0.0007109668671125,0.0813232666394102,0.001025905629477,0.0004580417733868,0.0530779318720569
7,0.0218769330052166,0.0373549247211206,0.0013213146155004,0.0182713777433646,0.0005141709024625,0.0022927736795243,0.3665804921732219,0.0208443293714444,0.0008441043260857,0.0032770588021979,0.0303669869532481,0.0273582103258346,0.1330060780874801,0.0023944339919322,0.002017201619043,0.0151216483035564,0.012364083327597,0.0400537288283811,0.0001418636018471,0.0013450614692434,0.0074773806720609,0.0007301544696206,0.001305227482119,0.0790813013289978,0.0828484105986306,0.0058273172487302,0.0359125096436665,0.0018378668871959,0.2102226500683311,0.0026519913557452,0.00118404928162,0.1372077630349732
8,0.0230130393259352,0.0392948294635044,0.0013899327296561,0.0192202414500607,0.0005408726714937,0.0024118413143095,0.3856176403013815,0.0219268108300836,0.000887940098677,0.0034472420366419,0.0319439962081806,0.0287789686957267,0.1399133098266432,0.0025187810195585,0.0021219583282679,0.0159069412060514,0.0130061711931596,0.042133787055895,0.0001492308198525,0.0014149127978825,0.0078656937615566,0.0007680726324562,0.0013730101640908,0.0831881277415074,0.0871508693994209,0.0061299397396222,0.0377775073190403,0.0019333104389353,0.2211398696550024,0.0027897137751097,0.0012455389736426,0.1443331954161266
9,0.0202723545928642,0.0346151025628561,0.0012244019034922,0.0169312512144792,0.0004764586906934,0.0021246086469899,0.3396933986308859,0.0193154879693426,0.000782192924744,0.0030367007132115,0.0281396998055593,0.0253516039300037,0.123250657546587,0.0022188126151907,0.0018692486052222,0.0140125408056596,0.0114572312934816,0.0371159610618978,0.0001314585202496,0.0012464070282246,0.0069289471414344,0.000676600797387,0.0012094946917632,0.0732810299242726,0.0767718380227319,0.0053999087332399,0.0332784823925027,0.0017030673002854,0.1948037279549468,0.0024574792603724,0.0010972043881426,0.1271441670765915
