year,opex_specific_variable
2025,1.0
2026,0.997089155077756
2027,0.994178310155512
2028,0.9912674652332678
2029,0.988356620311024
2030,0.9854457753887798
2031,0.9831769990751604
2032,0.9809082227615408
2033,0.9786394464479212
2034,0.976370670134302
2035,0.9741018938206824
2036,0.9721196754359542
2037,0.9701374570512264
2038,0.9681552386664982
2039,0.9661730202817704
2040,0.9641908018970424
2041,0.962841775436684
2042,0.9614927489763256
2043,0.9601437225159676
2044,0.9587946960556092
2045,0.9574456695952512
2046,0.9564083860379096
2047,0.9553711024805684
2048,0.9543338189232272
2049,0.953296535365886
2050,0.9522592518085446
