year,opex_specific_fixed
2025,125.08271255978536
2026,123.61847970225088
2027,122.15424684471635
2028,120.69001398718189
2029,119.22578112964736
2030,117.76154827211288
2031,117.05471434769854
2032,116.34788042328418
2033,115.64104649886984
2034,114.93421257445549
2035,114.22737865004116
2036,112.47141339107556
2037,110.71544813210996
2038,108.95948287314438
2039,107.2035176141788
2040,105.4475523552132
2041,104.8900353524451
2042,104.332518349677
2043,103.77500134690888
2044,103.21748434414076
2045,102.65996734137264
2046,101.90425568554026
2047,101.14854402970788
2048,100.39283237387548
2049,99.6371207180431
2050,98.88140906221072
