year,capex_specific_conversion
2025,1115.1122275171956
2026,1106.9460774200136
2027,1098.7799273228318
2028,1090.6137772256498
2029,1082.447627128468
2030,1074.281477031286
2031,1065.8556228278078
2032,1057.4297686243294
2033,1049.0039144208513
2034,1040.578060217373
2035,1032.1522060138948
2036,1024.4516924085865
2037,1016.7511788032784
2038,1009.0506651979704
2039,1001.350151592662
2040,993.649637987354
2041,988.2477762665236
2042,982.8459145456936
2043,977.4440528248634
2044,972.0421911040332
2045,966.640329383203
2046,962.2075310614366
2047,957.7747327396704
2048,953.341934417904
2049,948.9091360961376
2050,944.4763377743712
