node,total_energy_demand
AT,0.0
BE,0.0
BG,0.0
CH,0.0
CY,0.0
CZ,1.0081335597439247e-05
DE,0.0005241753417484277
DK,0.0
EE,0.0
EL,0.0
ES,0.0
FI,7.075411837216601e-05
FR,0.0
HR,0.0
HU,8.673884331197946e-06
IE,0.0
IS,1.2693810913924109e-05
IT,0.0
LI,0.0
LT,0.0
LU,2.4716319411100503e-05
LV,0.0
MT,4.304801094489007e-06
NL,0.00019142970002746206
NO,7.852521713171328e-05
PL,2.577623206150975e-05
PT,0.00010761543901187375
RO,7.792960029538116e-06
SE,0.0002055447800194992
SI,0.0
SK,5.123318614271667e-06
UK,0.0
