time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0051608826002153,0.0044605031803246,0.0107651428659213,0.0042772087578197,0.0021395135150046,0.0117844616099108,0.0641676275145297,0.0050332434133413,0.0038464024092014,0.010375379216729,0.0117898275518458,0.0141681286083489,0.0397119129745554,0.0091210716693559,0.0103628266423694,0.0030540801987547,0.000488639626757,0.0154529490937359,2.8481993204548147e-05,0.0171669464762464,3.766013799783427e-05,0.006181649530447,0.001099686427014,0.0035092309714008,0.0049969307905023,0.0551347469773316,0.019901023744514,0.0148028108940048,0.0102767536067468,0.0011129514195883,0.0059299278596414,0.0271582213387663
1,0.0068372852277514,0.0059094024928796,0.0142619698980801,0.0056665687870189,0.0028344888430721,0.0156123925932909,0.0850111125733879,0.0066681851736522,0.005095824185445,0.013745599841372,0.0156195015470043,0.0187703429709296,0.052611480822165,0.0120838572424698,0.0137289698309866,0.0040461330057076,0.0006473637864926,0.0204725099848979,3.773376115671488e-05,0.0227432628563843,4.989323051001498e-05,0.0081896265216144,0.0014568961057684,0.0046491297981716,0.0066200771698569,0.0730440934711803,0.0263654468055167,0.0196111882588751,0.0136149378057387,0.0014744699482291,0.0078561384354423,0.0359799902372902
2,0.0044261051575878,0.0038254418209489,0.009232462361968,0.0036682438275723,0.0018349016121962,0.0101066562352814,0.0550318015527775,0.0043166385203677,0.0032987732642502,0.0088981910693293,0.0101112582045788,0.012150950130926,0.0340579541233942,0.0078224647770092,0.0088874256599182,0.0026192574345386,0.0004190698645423,0.0132528451007338,2.4426887179292005e-05,0.0147228131745096,3.2298299329794385e-05,0.00530154103253,0.0009431192575729,0.0030096063996952,0.0042854958845661,0.0472849717504683,0.0170676278962818,0.0126952699218575,0.0088136072190798,0.0009544956550995,0.0050856580776682,0.0232915865075887
3,0.001672874114797,0.0014458496515738,0.0034894668678842,0.0013864356872294,0.0006935125355032,0.0038198739074624,0.0207996134367631,0.0016315005149119,0.0012467919780189,0.0033631269430823,0.0038216132505283,0.0045925275655434,0.0128724166795491,0.0029565494658292,0.0033590580892938,0.0009899647220802,0.0001583900751843,0.0050089956580505,9.232294717908526e-06,0.0055645792812688,1.220734414955168e-05,0.0020037505766553,0.0003564578194568,0.0011374995537886,0.0016197299610177,0.0178716506824655,0.0064508166643375,0.004798256633426,0.0033311579480914,0.0003607576000233,0.0019221562642393,0.008803200731529
4,0.0009288487475582,0.0008027953963438,0.0019374960143211,0.0007698063113429,0.0003850667807698,0.0021209516384962,0.0115488037740224,0.0009058764174257,0.0006922703609345,0.0018673468740595,0.0021219173935486,0.0025499608366521,0.0071472969813376,0.0016415982793556,0.0018650876785157,0.0005496692692519,8.794470645420821e-05,0.0027812011091278,5.126151041471584e-06,0.0030896840655114,6.77802126533526e-06,0.0011125650143562,0.0001979200922718,0.0006315866965356,0.0008993409201363,0.0099230780166743,0.0035817596353474,0.0026641901055187,0.0018495963686895,0.000200307507893,0.0010672604847296,0.004887900351651
5,0.0026783652871607,0.0023148863880284,0.0055868321752186,0.0022197612986596,0.0011103524675722,0.0061158323776917,0.0333013477359866,0.0026121238331523,0.0019961838877765,0.0053845548693659,0.0061186171634977,0.0073528942214354,0.0206094611013545,0.0047336015238727,0.0053780404062336,0.0015849890459062,0.000253591394267,0.0080196829967022,1.4781421670980349e-05,0.0089092035394499,1.954464267776056e-05,0.0032081170610336,0.0005707089622138,0.0018212005865115,0.0025932785161723,0.0286135151406682,0.0103281192976648,0.0076822779981959,0.0053333707152853,0.00057759315207,0.0030774799903349,0.0140944181314536
6,0.0014955422592281,0.0012925833661317,0.0031195683625785,0.0012394675377024,0.0006199972221312,0.0034149508340178,0.0185947648990091,0.0014585544389868,0.0011146266626405,0.0030066210135236,0.0034165057992333,0.004105699879141,0.0115078851136355,0.0026431424986108,0.0030029834757474,0.0008850242011161,0.0001416000455654,0.0044780205615255,8.253631745599854e-06,0.0049747099296665,1.0913313134031676e-05,0.0017913443921657,0.0003186717565384,0.0010169197057308,0.0014480316144612,0.0159771787974815,0.0057670023361085,0.0042896207804501,0.0029780408695838,0.0003225157418602,0.001718399428016,0.0078700235684304
7,0.0055264517983452,0.0047764612629244,0.0115276877540929,0.0045801832482227,0.002291065158523,0.0126192095619272,0.06871291752663,0.0053897713371757,0.0041188608922441,0.0111103153418782,0.012624955598362,0.0151717227250099,0.0425248915495194,0.0097671593862344,0.0110968736105859,0.0032704148329191,0.0005232522328489,0.0165475529912752,3.04995045923274e-05,0.018382960740434,4.03277798559833e-05,0.0066195243741552,0.0011775823057734,0.0037578060411406,0.0053508865232132,0.0590401962585754,0.0213107053543885,0.0158513624941445,0.011004703623521,0.0011917869191595,0.0063499720924876,0.0290819638391346
8,0.0121264693460746,0.0104807954906817,0.0252947383387989,0.0100501105927691,0.0050271914835135,0.0276898204323836,0.1507739718847325,0.0118265569460287,0.0090378496317474,0.0243789149592965,0.0277024287274037,0.0332906966830084,0.0933106471633033,0.0214316822469819,0.0243494203127452,0.0071761388079447,0.0011481511815244,0.0363096253117287,6.692382762119884e-05,0.0403369861971318,8.848961396266176e-05,0.0145249542270182,0.0025839211585483,0.0082456015955899,0.0117412335736825,0.129549511375494,0.0467612176225983,0.0347820027013204,0.0241471754432424,0.0026150897663792,0.0139334865728925,0.063813375360392
9,0.0257222179287445,0.0222314754595231,0.0536542627068752,0.0213179225954067,0.0106634924987728,0.0587346221924133,0.3198161684263763,0.0250860548467004,0.0191707521126323,0.0517116520524866,0.0587613664411275,0.0706149935848611,0.1979270909701029,0.0454600911117566,0.0516490890999344,0.0152217600223949,0.0024354157886753,0.0770186332497241,0.0001419563460369,0.0855613220914335,0.0001877008937902,0.0308097952808779,0.0054809179204653,0.0174902649025392,0.0249050700674319,0.2747956283946327,0.099188164005154,0.0737782967118251,0.0512200947686202,0.005547031617724,0.0295551959854821,0.135358569831384
