year,opex_specific_variable
2025,1.0
2026,1.0001115194525616
2027,1.0002230389051232
2028,1.0003345583576846
2029,1.0004460778102464
2030,1.0005575972628078
2031,0.9932733493863106
2032,0.9859891015098136
2033,0.9787048536333164
2034,0.9714206057568192
2035,0.964136357880322
2036,0.9615714104714064
2037,0.9590064630624902
2038,0.9564415156535742
2039,0.9538765682446582
2040,0.9513116208357422
2041,0.9509770624780576
2042,0.950642504120373
2043,0.9503079457626882
2044,0.9499733874050036
2045,0.9496388290473188
2046,0.9493042706896342
2047,0.9489697123319494
2048,0.9486351539742648
2049,0.94830059561658
2050,0.9479660372588952
