node,year_construction,capacity_existing
AT,2010,2.7886491132462936
AT,2011,0.4186902487209983
AT,2012,1.0221543741956562
AT,2013,0.3827513424164264
AT,2015,0.1455247629416238
AT,2017,0.3976593287550413
AT,2020,0.1979731227884464
BE,2010,0.7923554589283931
BE,2012,0.4600480419466813
BE,2013,0.1903257783393123
BE,2015,0.1215084825394187
BE,2016,0.3006040661749976
BG,2010,0.0825423448025788
BG,2012,0.2510656883864341
BG,2013,0.0764649828126982
BG,2015,0.1006736986785599
BG,2016,0.0580593627754956
BG,2017,0.2395148218727262
BG,2018,0.7353673554278509
BG,2019,0.2039232002442858
BG,2020,1.0609818509455218
BG,2022,0.3302318790995194
BG,2024,0.2978006533373543
CH,2010,3.778378195192387
CH,2011,0.5672890500251985
CH,2012,1.3849307111591025
CH,2013,0.5185949424391116
CH,2015,0.1971734588433379
CH,2017,0.5387939736648331
CH,2020,0.2682364471115735
CZ,2010,0.1001170043614454
CZ,2011,0.8787449105025578
CZ,2012,1.158921642273484
CZ,2013,0.3493647379175079
CZ,2014,0.9122772497903158
CZ,2016,0.179339026781335
CZ,2017,0.2770529677217164
CZ,2018,0.6933126584961555
CZ,2019,0.6284028059347102
CZ,2020,0.562828615989644
CZ,2021,0.0009873299414839
CZ,2022,0.3766851052971763
CZ,2023,0.0322752622164177
CZ,2024,0.2913562558517502
DE,2010,3.726750741086324
DE,2011,0.9644062626108147
DE,2012,3.839786210396499
DE,2017,5.810960975127305
DE,2018,3.552896894252083
DE,2019,0.8548703395019858
DE,2020,1.4205014773727702
DE,2022,0.7447526983277596
DE,2023,3.848287085523017
DE,2024,1.0824214731738917
DK,2010,0.0390406608586518
DK,2011,0.0982341902577187
DK,2012,0.1515573757979877
DK,2013,0.1881028611745345
DK,2014,0.3970716571679256
DK,2015,0.4356026885122487
DK,2016,0.1903668195489988
DK,2017,0.2297863971280284
DK,2019,0.0914545614298893
DK,2020,0.4978702395742272
DK,2021,0.1928789550282577
DK,2022,0.1634622124434405
DK,2023,0.2946183840681878
DK,2024,0.2346558848431314
EE,2013,0.1003161817662623
EE,2014,0.251175338144367
EE,2015,0.4581246276032724
EE,2016,0.0920566192506674
EE,2017,0.1366627177316282
EE,2019,0.009456901216193
EE,2020,0.1310289578843149
EE,2023,0.0915081233097641
EL,2010,0.2974170255114257
EL,2011,0.4167463546560435
EL,2012,1.3215849769880408
EL,2013,1.016316468657105
EL,2018,0.2686113382767039
ES,2010,0.4591500238953329
ES,2011,1.1509574645169465
ES,2012,0.3744236746302782
ES,2013,0.9980146005921484
ES,2014,0.7397367177824866
ES,2019,0.497074055207904
ES,2020,0.0764983370531907
FI,2010,0.7254705586788442
FI,2012,0.3259729835660524
FI,2013,0.318035340575723
FI,2014,0.0203222271024097
FI,2015,0.0327991666657459
FI,2016,0.2034282035146126
FI,2017,0.2044852775001073
FI,2019,0.2064799716778176
FI,2020,0.1862125935907366
FI,2021,0.1918008767253318
FI,2022,0.18514923452682
FI,2024,0.3659541335422165
FR,2010,5.4598507734596655
FR,2011,3.3343695060632337
FR,2012,2.3048837275966787
FR,2013,2.246339835844477
FR,2015,0.7309675218367054
FR,2016,1.686392677662777
FR,2018,0.3464030963408068
FR,2019,0.808744836789703
FR,2023,1.139553641556094
HR,2010,0.3186649774523064
HR,2011,1.997224121509744
HR,2012,0.2803080994389295
HR,2013,0.1467888774409717
HR,2015,0.2329651301583045
HR,2016,0.0862019469507269
HR,2020,0.0400298889810163
HR,2021,0.0824076933195921
HR,2023,0.2980632952105207
HU,2010,0.5612781521096358
HU,2011,1.445408126804255
HU,2012,1.9095759523640448
HU,2013,0.3842850718591219
IE,2011,0.0134561719732663
IE,2012,0.0317839459009847
IE,2013,0.0261497592761985
IE,2014,0.0231186404645355
IE,2016,0.0247096113272195
IT,2012,15.9605458084399
IT,2013,0.1044059469522559
IT,2015,1.7366129679018354
IT,2017,1.3676684272204982
IT,2019,1.762160712928103
IT,2020,0.027859032916373
LT,2011,0.0630161534881009
LT,2012,0.0085005199562304
LT,2013,0.3983324158055678
LT,2014,0.0143174289267808
LT,2015,0.1528953335839765
LT,2016,0.2023451465575808
LT,2017,0.0940493324673493
LT,2018,0.2259666774491343
LT,2019,0.2427194852907976
LT,2020,0.2850881964077948
LU,2012,0.0094533590285381
LU,2013,0.0024178247481567
LU,2014,0.0163308730303588
LU,2016,0.0105355196935821
LU,2018,0.0088744724834746
LV,2011,0.1487397668524819
LV,2012,0.2008901364449418
LV,2013,0.1715075316110293
LV,2014,0.1152618891995834
LV,2015,0.2583257899263581
LV,2016,0.0400084582893402
LV,2017,0.1513933021567523
LV,2018,0.1240198940988844
LV,2019,0.1462547738217985
LV,2020,0.0556216867968108
LV,2023,0.0091552002941064
LV,2024,0.058863976092314
NL,2010,0.0211973665472549
NL,2011,0.3626953316700915
NL,2012,0.0580005080500537
NL,2014,0.5296291406029838
NL,2017,0.3665901821072348
NL,2018,0.0712290846965591
NL,2019,0.226712417439793
NL,2020,0.2178671709487881
NL,2022,0.0338342357916711
NL,2024,0.0544957757325415
NO,2010,0.1622819188033557
NO,2013,0.1458768950891913
NO,2014,0.1559792652344249
NO,2015,0.0386293352869725
NO,2017,0.2204963910697055
NO,2018,0.0573323589417628
NO,2019,0.0643405967712738
NO,2020,0.1570452622011786
NO,2022,0.2339246524791692
NO,2023,0.1063902375362356
PL,2010,0.0041488259038136
PL,2011,1.1996504827609626
PL,2013,4.089220137350247
PL,2014,0.2361328631735834
PL,2015,0.2942806179796611
PL,2017,0.1845583257268774
PL,2018,8.462409599527165
PL,2020,0.9904662249034432
PT,2010,0.0574280113464476
PT,2011,0.1995952689581747
PT,2012,0.2046544719055856
PT,2013,0.0565542100570611
PT,2016,0.0257343766068909
PT,2017,0.0664421145612803
PT,2018,0.014582903116214
PT,2020,0.0202276844008327
PT,2023,0.0600639157218495
RO,2010,0.1931076963139226
RO,2012,0.1199032081103229
RO,2014,0.3071714011553955
RO,2016,1.0077921388610516
RO,2017,0.850946228004023
RO,2019,0.3996356188106431
RO,2022,0.4713703309807527
RO,2023,0.375071405328146
RO,2024,0.5645619204156803
SE,2011,1.083033122141811
SE,2014,0.0109175789953756
SE,2017,0.1425546510296114
SE,2019,0.0080006431812088
SE,2020,0.5532008327140008
SE,2023,0.0273165917019254
SE,2024,0.1746452090955805
SI,2011,0.1753836134035771
SI,2012,0.1138431814654273
SI,2013,0.1158312529122315
SI,2015,0.0394686657730133
SI,2020,0.6774512786356495
SI,2021,0.0707569979637464
SI,2023,0.212422331679715
SK,2011,0.0718305794099893
SK,2014,0.0204165237089513
SK,2015,0.0733084692464692
SK,2018,0.06751003868518
SK,2019,1.137004951142044
SK,2020,0.0215509428331542
UK,2010,0.7111114368471567
UK,2011,0.3721176915395013
UK,2012,0.6435523572817186
UK,2013,1.8526918554662168
UK,2014,1.5105151255893097
UK,2016,0.0981969775232991
UK,2017,0.585762130819623
UK,2018,0.4366080578514807
UK,2019,0.2828314706480882
UK,2022,0.0433269528786296
