year,capex_specific_storage
2025,222.46624453444176
2026,209.6035965147184
2027,196.740948494995
2028,183.8783004752716
2029,171.0156524555482
2030,158.1530044358248
2031,151.78012699953462
2032,145.40724956324442
2033,139.03437212695422
2034,132.66149469066403
2035,126.28861725437385
2036,121.84507699603316
2037,117.40153673769248
2038,112.9579964793518
2039,108.51445622101112
2040,104.07091596267044
2041,101.32292658799328
2042,98.5749372133161
2043,95.82694783863894
2044,93.07895846396175
2045,90.3309690892846
2046,87.58297971460742
2047,84.83499033993024
2048,82.08700096525308
2049,79.33901159057591
2050,76.59102221589873
