year,AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,DE,EL,HU,IS,IE,IT,LV,LI,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,CH,UK
2020,1.0562759040223404,1.0826024064755797,0.9414990044194071,0.9565568533221463,0.9439923990598584,0.9581793791512628,1.0374620330280646,0.9583008969211696,1.0280067089472529,1.0482261626085507,1.0471804873810957,0.9765546513544876,0.9976514098133148,1.0519583210321706,1.0870409325315726,1.027938343533502,0.922250254888882,1.0675230894210548,0.8738512000819182,1.1663201306913145,0.994491407979642,1.078041015095176,1.031691064560364,0.9372748624553998,1.0223617410815669,0.9720981950149912,0.964440728816258,1.0234475369923992,1.0288294987613456,1.051567772712884,1.056983364699676,1.0723512029567954
2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022,0.9408728423027434,0.9173018999334128,1.0735797515252958,1.0397692235680691,1.0462625240181491,1.0244298916392165,0.9573055469565948,1.0456004053061712,0.9707767445168364,0.9486939933900046,0.9536182120146328,1.0207967771698718,0.9819389913040232,0.9369224991388256,0.9132705123429528,0.9707634111621896,1.0963808552529135,0.9294326826711956,1.1541761498116876,0.840658383032156,1.0012659736748022,0.9207308887907611,0.9574286462948848,1.049665889385018,0.9758548810423348,1.0138971850751988,1.0168708730948612,0.9734262361415424,0.9692911563628184,0.9408693959800256,0.9399049097356098,0.9260343040984044
2023,0.8796668017205498,0.8357284598891298,1.1581024033182596,1.065059719020412,1.073108871361496,1.0481388340132043,0.910163895791086,1.0858208548194592,0.9356001113012716,0.8949253470763995,0.9044982139488492,1.0271582518236824,0.9610165814322228,0.8694511505212781,0.8286808933061113,0.9360942309603224,1.205958046334119,0.8569588743474422,1.3292347745674356,0.6966267201492452,0.995010955088522,0.8426006383575749,0.9097254037692624,1.0971465975051344,0.9463486604134892,1.0207464814038336,1.030355055018874,0.9392157582467122,0.9327373659113088,0.8801509773204521,0.8775009024302013,0.8514740515612873
2024,0.8166329809905062,0.755539902110857,1.254603433835772,1.073949901637803,1.077484621866645,1.0699889783607246,0.8586273775189666,1.1202122761816604,0.8942657225023882,0.8388364423059916,0.8527678575845686,1.0180156808158696,0.9376882452623152,0.7986174993834191,0.7473126354489064,0.8958647333280169,1.3293964191355407,0.7830168166186271,1.5240338665741069,0.5688558629726816,0.9806978854396056,0.7659840010755883,0.8566229876630724,1.1403692987658585,0.911388330356882,1.0198641722926876,1.0393052764909867,0.8973975754389162,0.890301847735023,0.8183995449799139,0.8130287112178424,0.7766589808551654
2025,0.7520471380655315,0.6768810055610801,1.3683540059176011,1.072813900743256,1.0629898623048937,1.088745266772071,0.8028107721477876,1.1561068433742334,0.8466325603279075,0.7806067286627844,0.7985623504234447,1.001936832123959,0.9120405329507284,0.7258178500232484,0.6698237988818775,0.849994770387379,1.4720136047636303,0.7080419909731195,1.7418943509021378,0.4576105811800891,0.9579987000468946,0.69119206215551,0.7981658419920177,1.1774642923983851,0.8709592171680891,1.0109845170575598,1.042712494327369,0.848131916691061,0.8420037737359141,0.7562064625939624,0.7467665334293454,0.7018463266412631
2026,0.6861947031339207,0.5997885690549009,1.5023931290033887,1.0669161936902642,1.0337342005883965,1.1031326079173227,0.742880840136666,1.1988789991763011,0.7955504828217461,0.7204429100465344,0.74201537086129,0.9857582100879444,0.8837566147286217,0.6526762739212667,0.5961045997875534,0.7984372006464763,1.6354337766614946,0.6324526235993052,1.9812417078207245,0.3625443117259168,0.928584138767308,0.6185078101649454,0.7347825559422659,1.2068605939353798,0.8274013329175507,0.994231522857932,1.039741909923211,0.7916881806019636,0.78790732745008,0.6941806195285647,0.6790139120266621,0.6272312448238689
2027,0.6193560750394177,0.5242027309161242,1.6544116081200937,1.0559654252332706,0.991204643586842,1.11189553729101,0.6790442387384344,1.2474729544469694,0.7427895859742969,0.6585677263394328,0.6832546609424882,0.969443348987702,0.8521845820432022,0.5808369394117221,0.5252038579721293,0.7458420332567233,1.8136513775707364,0.5566344085040207,2.231462192536257,0.2828041214405237,0.8937588617607034,0.5482235062358558,0.6673171433911768,1.2273058443513956,0.7822780586255573,0.970048390376402,1.0297405168555398,0.733566061838693,0.7326476612377063,0.6329294337410607,0.6100749577095218,0.5529758847625565
2028,0.5528585531145513,0.4515738471322988,1.8202553780429227,1.0398159812375367,0.9378320662187268,1.113854762127151,0.6130625386137403,1.300177175437149,0.6886429761216211,0.596196214931582,0.6223957442667892,0.9529463200065972,0.8164881532479752,0.5117289490281733,0.4570144163203034,0.6938218286815475,1.997650872793428,0.4822790793781379,2.478756872022099,0.2171534384634016,0.8541580658363686,0.4806658536210587,0.5970051877162921,1.2378185128361443,0.736022165216248,0.9390984412325794,1.0122233955991915,0.6758721670441147,0.6778965817934235,0.5730404611072106,0.5414095985360384,0.4803678434562653
2029,0.4898648649173084,0.386050931621693,1.9938981517803367,1.0184686415775654,0.8766512284844186,1.1086172255803408,0.5493869205846267,1.3546426647199536,0.6334847929982617,0.5362672673986095,0.5597805420694777,0.9362168273080556,0.7764827863789836,0.4463732412110357,0.3939028903190015,0.6426555606086523,2.1759020865982626,0.4133849379406299,2.707196599703153,0.1640999891494938,0.8105966491378485,0.4162057866220269,0.5253914079509124,1.2380907625021458,0.6890812910843958,0.9024670065773474,0.9874703583391924,0.6191595629982796,0.6240358609147005,0.5150642661187566,0.4764956323975761,0.4126862650545121
