node,total_energy_demand
AT,0.0019890697070073
BE,0.0029288583952022
BG,0.0005726824750282
HR,0.0009850437705205
CY,0.0002438551016514
CZ,0.000627712025397
DK,0.0019533904451895
EE,0.0003306196015632
FI,0.0016601048333806
FR,0.0128243471702357
DE,0.0651701608385461
EL,0.0012246592610158
HU,0.0006150641207724
IS,3.3234102148306283e-06
IE,0.0015777167807711
IT,0.0005468183711171
LV,0.0003352512666634
LI,1.3759508161942863e-05
LT,0.0008080544237658
LU,0.0002928133661412
MT,8.499007603186368e-05
NL,0.0026121845174285
NO,2.9671422564585137e-05
PL,0.0019572369004381
PT,0.0020933521362339
RO,0.0006377960724901
SK,0.0003237363904222
SI,3.558977405588886e-05
ES,0.0004033142872466
SE,6.76297947151966e-05
CH,0.0017186531504807
UK,0.0125423538681644
