time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.008008013748102,0.0096998860420883,0.0052620696168195,0.0068727774725169,0.002131337020728,0.0085554114448461,0.0783276529412484,0.0078395856694572,0.0027966712266261,0.0099760346584685,0.0137423531241343,0.0159133630377679,0.0539729192900666,0.0083233050877371,0.0086361875484149,0.0062133152474915,0.001213830486039,0.018224731485314,5.385413170125331e-05,0.0079709628739959,0.0002203766962267,0.0030604165957101,0.0010471481472089,0.007926022831636,0.0096540564633657,0.0297876561462179,0.0217341882437517,0.0094799510237151,0.0181341508494671,0.001250588625506,0.0044640049735026,0.0499827056988047
1,0.0110874223343536,0.013429888674857,0.0072855504535412,0.0095156413119154,0.0029509232162913,0.0118453168185,0.1084478368714252,0.0108542267755496,0.0038721056176118,0.0138122277208633,0.0190268495719321,0.0220327015299446,0.0747277127151264,0.0115239560805309,0.0119571546353373,0.0086025889081104,0.0016805979190805,0.025232885614833,7.456324644337898e-05,0.0110361238848263,0.0003051205430678,0.0042372718607963,0.0014498194084011,0.0109739025594088,0.0133664357499887,0.0412422274027564,0.0300918719339028,0.0131253796528295,0.02510747302233,0.0017314910655355,0.0061805973367128,0.0692030989117243
2,0.0069579991319238,0.0084280323165788,0.0045721045165078,0.0059716155830792,0.0018518750849519,0.0074336217792583,0.068057293395633,0.006811655424,0.0024299703496079,0.008667972193494,0.0119404491695561,0.0138267952186048,0.0468959641405072,0.007231949319385,0.007503806481257,0.0053986223623382,0.0010546724486036,0.0158350959230577,4.679275203750081e-05,0.0069258063862598,0.0001914807977703,0.0026591332989811,0.0009098455782499,0.0068867589038796,0.0083882119342719,0.0258818843382424,0.0188843910225475,0.0082369352836493,0.0157563922637713,0.0010866108431354,0.0038786824932583,0.0434289492754577
3,0.0034537478239802,0.0041834294201429,0.0022694593266689,0.0029641358003452,0.0009192167782245,0.0036898330335529,0.0337816554033058,0.0033811070757979,0.0012061664061999,0.0043025285766777,0.0059268906987199,0.0068632178581018,0.0232777887770373,0.0035897287066857,0.0037246706725363,0.002679718678157,0.0005235086416818,0.0078600797513548,2.322655729950933e-05,0.0034377682840037,9.504548306121456e-05,0.0013199162102353,0.0004516208074274,0.0034183862526545,0.0041636637438134,0.0128470124843199,0.0093736608994491,0.0040885744267553,0.0078210135504476,0.0005393619291749,0.0019252648594822,0.0215568637210203
4,0.0014437876362607,0.0017488201171014,0.0009487135378243,0.0012391126506174,0.0003842648297102,0.0015424795281002,0.0141219159271175,0.001413421257631,0.0005042198311217,0.0017986077386816,0.0024776480358137,0.0028690656045269,0.009730931541216,0.0015006324110456,0.0015570428821736,0.0011202163253834,0.0002188449599846,0.0032857888135999,9.70951498806513e-06,0.0014371076285048,3.973234304294631e-05,0.0005517712358749,0.0001887933257647,0.0014290052601057,0.0017405573716546,0.0053705014763853,0.003918518781006,0.0017091674054182,0.0032694577724412,0.0002254721897776,0.0008048281873238,0.009011524553376
5,0.0042671106844218,0.005168633405216,0.0028039204464932,0.0036621942852659,0.0011356937262261,0.0045587943195752,0.0417372865812704,0.0041773629296665,0.0014902204276035,0.0053157805940833,0.0073226824640492,0.0084795160921941,0.0287597434041202,0.0044351152716244,0.0046018362754742,0.0033107964986369,0.0006467957222578,0.009711140476018,2.8696446835789284e-05,0.0042473679385003,0.0001174288387416,0.0016307584833295,0.0005579781938045,0.0042234214093178,0.0051442128820774,0.0158725034451316,0.011581172284342,0.0050514399167556,0.0096628741254369,0.0006663824830443,0.0023786676592881,0.0266335378825033
6,0.002658345952232,0.0032199810849736,0.0017468003809997,0.0022814921089499,0.0007075201566977,0.0028400604818488,0.0260017035052614,0.0026024344471833,0.0009283849739628,0.0033116515765163,0.0045619213391516,0.0052826113376586,0.0179168887614488,0.0027630102900888,0.0028668749747697,0.0020625765586411,0.0004029440334093,0.006049894855136,1.787745594879011e-05,0.0026460465176525,7.315640517220501e-05,0.0010159380746915,0.0003476120453939,0.0026311281891558,0.0032047674653519,0.0098883315680554,0.0072148966223392,0.0031469712994966,0.0060198256426909,0.0004151462915894,0.0014818742731138,0.0165922946133198
7,0.0084909651427934,0.0102848717376342,0.0055794172064149,0.0072872644564513,0.0022598747854093,0.0090713755802008,0.0830514771529453,0.0083123794173157,0.0029653343073698,0.0105776744662098,0.0145711339949485,0.0168730742864084,0.05722794575064,0.0088252712340262,0.0091570231703958,0.0065880310457936,0.0012870347966947,0.0193238379261335,5.71019942590796e-05,0.008451679785595,0.000233667286896,0.0032449857672585,0.0011103000940026,0.0084040294761428,0.0102362782452049,0.0315841053698242,0.0230449448002443,0.0100516727655259,0.019227794506906,0.0013260097648637,0.0047332224718334,0.0529970883143956
8,0.0187571745314326,0.0227200478357795,0.0123253482453907,0.0160981100461088,0.0049922317494241,0.0200393444251055,0.1834668999169363,0.0183626653601811,0.0065506443863555,0.0233668708754233,0.0321887204655538,0.0372738780514965,0.1264207953357538,0.0194956815909624,0.0202285463321287,0.0145534513528568,0.0028431557430335,0.0426877975002917,0.0001261425591081,0.0186703902508345,0.0005161884437031,0.0071684152937717,0.0024527356190066,0.0185651271675643,0.0226127011910506,0.0697716416070513,0.0509079997875486,0.0222048939343295,0.0424756304325027,0.0029292543511431,0.0104560410397669,0.1170745160830824
9,0.0407650571580839,0.0493775886718912,0.0267867383157663,0.0349860995890956,0.0108496411477455,0.0435516031229018,0.3987294914379159,0.0399076684885641,0.0142365467882474,0.0507833322788539,0.0699559002036787,0.0810074975165595,0.2747509193986697,0.0423700580841525,0.0439627965327245,0.0316290854602016,0.0061790439802047,0.0927735945590305,0.000274146227274,0.0405764484658165,0.0011218348145473,0.0155791512572318,0.0053305420565833,0.0403476797032847,0.0491442916952719,0.15163504254644,0.1106385995217712,0.0482580022329726,0.0923124908554322,0.006366162497172,0.0227241640215636,0.254438605978965
