node,year_construction,capacity_existing
BA,1956.0,0.73
BA,1966.0,0.74
BA,1983.0,0.845641963
BA,1985.0,0.269
BA,1988.0,0.866
BA,2016.0,0.3
BA,2025.0,1.8800000000000001
BG,1951.0,0.105
BG,1959.0,0.2
BG,1966.0,1.465
BG,1969.0,0.03
BG,1973.0,1.2
BG,1978.0,0.908
BG,1979.0,1.57
BG,2011.0,0.69
CZ,1930.0,0.081
CZ,1951.0,0.197
CZ,1957.0,0.217
CZ,1958.0,0.276
CZ,1959.0,0.36
CZ,1960.0,0.209325752
CZ,1969.0,0.77
CZ,1970.0,0.24403867474
CZ,1971.0,1.047
CZ,1974.0,0.8320000000000001
CZ,1979.0,0.82
CZ,1995.0,0.038729874819999996
CZ,1999.0,0.07
CZ,2000.0,0.456
CZ,2001.0,0.03
CZ,2019.0,0.51
CZ,2025.0,0.0135
DE,1948.0,4.355
DE,1979.0,2.47
DE,1981.0,2.0
DE,1983.0,0.00714
DE,1992.0,0.030920000000000003
DE,1994.0,0.031
DE,1995.0,1.01
DE,1999.0,0.891
ES,1997.0,0.26
FI,1977.0,0.12
FI,2025.0,0.295
FR,1972.0,0.977
HU,1961.0,0.22
HU,1969.0,0.882
IE,1958.0,0.091
IE,2004.0,0.09221398767
IE,2005.0,0.264
ME,1982.0,0.225
MK,1970.0,0.675
MK,2025.0,0.2545
PL,1963.0,1.948
PL,1982.0,5.102
RO,1976.0,1.65
RO,1986.0,0.313
RO,1993.0,0.05
RO,2013.0,0.1
RS,1962.0,1.228
RS,1967.0,1.01
RS,1970.0,3.066
RS,1983.0,2.8905
RS,1991.0,3.0655
SE,1985.0,0.12
SI,1956.0,0.8714221835
SI,1966.0,0.134
SK,1986.0,0.04057415458
