edge,year_construction,capacity_existing
AT-CH,2010,1.2
AT-CZ,2010,0.9
AT-DE,2010,4.82
AT-HU,2010,0.4
AT-IT,2010,0.295
AT-SI,2010,0.95
AT-SK,2010,0.0
BE-DE,2010,0.5
BE-FR,2010,0.7
BE-LU,2010,0.0
BE-NL,2010,1.401
BE-NO,2010,0.0
BE-UK,2010,0.75
BG-EL,2010,0.75
BG-RO,2010,1.2
CH-AT,2010,1.2
CH-DE,2010,4.0
CH-FR,2010,1.2
CH-IT,2010,3.71
CZ-AT,2010,0.9
CZ-DE,2010,2.7
CZ-PL,2010,0.8
CZ-SK,2010,1.5
DE-AT,2010,4.82
DE-BE,2010,0.5
DE-CH,2010,0.8
DE-CZ,2010,2.5
DE-DK,2010,2.35
DE-FR,2010,1.2
DE-LU,2010,4.82
DE-NL,2010,1.468
DE-NO,2010,1.444
DE-PL,2010,0.1
DE-SE,2010,0.6
DE-UK,2010,0.0
DK-DE,2010,1.149
DK-NL,2010,0.7
DK-NO,2010,1.11
DK-SE,2010,2.415
DK-UK,2010,0.0
EE-FI,2010,1.016
EE-LV,2010,1.344
EL-BG,2010,0.75
EL-IT,2010,0.5
ES-FR,2010,2.8
ES-PT,2010,2.9
FI-EE,2010,1.016
FI-NO,2010,0.0
FI-SE,2010,2.3
FR-BE,2010,1.8
FR-CH,2010,3.2
FR-DE,2010,1.5
FR-ES,2010,3.45
FR-IT,2010,2.995
FR-LU,2010,0.0
FR-NO,2010,0.0
FR-UK,2010,3.015
HR-HU,2010,1.0
HR-SI,2010,1.1
HU-AT,2010,0.5
HU-HR,2010,1.2
HU-RO,2010,0.7
HU-SI,2010,0.0
HU-SK,2010,1.0
IE-UK,2010,0.9
IT-AT,2010,0.145
IT-CH,2010,1.91
IT-EL,2010,0.5
IT-FR,2010,1.16
IT-SI,2010,0.68
LT-LV,2010,1.234
LT-PL,2010,0.5
LT-SE,2010,0.7
LU-BE,2010,0.0
LU-DE,2010,4.82
LU-FR,2010,0.0
LV-EE,2010,1.159
LV-LT,2010,1.152
NL-BE,2010,1.2
NL-DE,2010,1.468
NL-DK,2010,0.7
NL-NO,2010,0.7
NL-UK,2010,1.061
NO-BE,2010,0.0
NO-DE,2010,1.444
NO-DK,2010,1.632
NO-FI,2010,0.0
NO-FR,2010,0.0
NO-NL,2010,0.7
NO-SE,2010,3.695
NO-UK,2010,1.05
PL-CZ,2010,0.9
PL-DE,2010,1.2
PL-LT,2010,0.35
PL-SE,2010,0.27
PL-SK,2010,0.5
PT-ES,2010,4.4
RO-BG,2010,1.2
RO-HU,2010,0.7
SE-DE,2010,0.615
SE-DK,2010,1.9
SE-FI,2010,2.7
SE-LT,2010,0.7
SE-NO,2010,3.995
SE-PL,2010,0.6
SI-AT,2010,0.95
SI-HR,2010,1.1
SI-HU,2010,0.0
SI-IT,2010,0.62
SK-AT,2010,0.0
SK-CZ,2010,1.0
SK-HU,2010,1.0
SK-PL,2010,0.5
UK-BE,2010,0.75
UK-DE,2010,0.0
UK-DK,2010,0.0
UK-FR,2010,3.015
UK-IE,2010,0.98
UK-NL,2010,1.061
UK-NO,2010,1.05
