year,demand_yearly_variation
2025,1.0
2026,1.0108474576271185
2027,1.0216949152542372
2028,1.0325423728813556
2029,1.0433898305084743
2030,1.054237288135593
2031,1.065084745762712
2032,1.0759322033898304
2033,1.086779661016949
2034,1.0976271186440676
2035,1.108474576271186
2036,1.1193220338983054
2037,1.130169491525424
2038,1.1410169491525424
2039,1.151864406779661
2040,1.16271186440678
2041,1.173559322033899
2042,1.1844067796610172
2043,1.1952542372881358
2044,1.2061016949152543
2045,1.216949152542373
2046,1.2277966101694917
2047,1.23864406779661
2048,1.2494915254237289
2049,1.2603389830508471
2050,1.2711864406779656
2024,1.0
