time,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.3910580616878885,0.3281173284529904,0.3947824205917604,0.3898321755949659,0.380295005992043,0.3388459500316303,0.32554049324073,0.388613951160908,0.3425797860369917,0.3604535203091612,0.3910580616878885,0.3435261606437452,0.375699300236627,0.3973049894810245,0.3156255442583043,0.3615013493496506,0.3960396881478369,0.3425797860369917,0.3850045371682009,0.3221670197398736,0.3625552880691461,0.3826352807287308,0.335192627932899,0.4024481219996484,0.3512894564173374,0.3826352807287308,0.4090673282608335,0.3172358771067471
1,0.3922916821937563,0.3298580022906306,0.4011499033798762,0.3973049894810245,0.3768377819565421,0.3397717576907115,0.3238449714112091,0.3779831844169411,0.3435261606437452,0.3712133425772068,0.3838162526327817,0.3463968501834275,0.380295005992043,0.4063936880826195,0.3164286618747213,0.3646817099723602,0.3898321755949659,0.3502999096289496,0.3779831844169411,0.3230038163775942,0.3679185267531548,0.3814615540438622,0.3360985530366607,0.4104173842476829,0.3473644382033722,0.3850045371682009,0.4173035753153045,0.3180472212317939
2,0.3910580616878885,0.3307352834243958,0.3998600335542376,0.4011499033798762,0.3745676769471113,0.3397717576907115,0.3238449714112091,0.3734428500750847,0.3425797860369917,0.3734428500750847,0.380295005992043,0.3483374469767463,0.3874033170240029,0.4104173842476829,0.31886272617344,0.3679185267531548,0.388613951160908,0.3532854173524995,0.3768377819565421,0.3230038163775942,0.3723247587988936,0.380295005992043,0.3397717576907115,0.413144407475023,0.3463968501834275,0.3862002022262638,0.4215473363166451,0.31886272617344
3,0.3910580616878885,0.3316172432982334,0.4011499033798762,0.4024481219996484,0.3734428500750847,0.3407026383566094,0.324690518810667,0.3712133425772068,0.3425797860369917,0.375699300236627,0.3791355711473497,0.3483374469767463,0.3898321755949659,0.4159079124445806,0.31886272617344,0.3679185267531548,0.3862002022262638,0.3542919276100554,0.3734428500750847,0.3238449714112091,0.3734428500750847,0.3791355711473497,0.3416386336528348,0.4145215541227917,0.3483374469767463,0.3862002022262638,0.4258782979457619,0.3213345475453524
4,0.3898321755949659,0.3316172432982334,0.4050699314358504,0.4050699314358504,0.3701085420326703,0.3397717576907115,0.326394929389209,0.3690102980520917,0.3425797860369917,0.3779831844169411,0.3779831844169411,0.3483374469767463,0.393533110292572,0.4201231913525994,0.3180472212317939,0.3690102980520917,0.380295005992043,0.3542919276100554,0.3646817099723602,0.3238449714112091,0.3734428500750847,0.375699300236627,0.3435261606437452,0.4173035753153045,0.3502999096289496,0.3874033170240029,0.4258782979457619,0.3221670197398736
5,0.3898321755949659,0.3316172432982334,0.4050699314358504,0.4063936880826195,0.3668332223748929,0.3407026383566094,0.3289853629388758,0.3668332223748929,0.3435261606437452,0.3779831844169411,0.3779831844169411,0.3493159219885907,0.3947824205917604,0.4244247897378547,0.3180472212317939,0.3690102980520917,0.3791355711473497,0.3522846097973453,0.3625552880691461,0.3238449714112091,0.3723247587988936,0.3734428500750847,0.3463968501834275,0.4187086364396716,0.3542919276100554,0.3898321755949659,0.4258782979457619,0.3238449714112091
6,0.388613951160908,0.3325039195303038,0.4050699314358504,0.4090673282608335,0.3636153902729841,0.3407026383566094,0.333395350143127,0.3646817099723602,0.3425797860369917,0.380295005992043,0.3779831844169411,0.3502999096289496,0.393533110292572,0.4244247897378547,0.31886272617344,0.3701085420326703,0.3768377819565421,0.3512894564173374,0.3615013493496506,0.3230038163775942,0.3723247587988936,0.3701085420326703,0.3493159219885907,0.4187086364396716,0.3583759803963895,0.3922916821937563,0.4244247897378547,0.324690518810667
7,0.388613951160908,0.333395350143127,0.3898321755949659,0.4077261252259769,0.3625552880691461,0.3416386336528348,0.335192627932899,0.3604535203091612,0.3370093883899295,0.3814615540438622,0.3791355711473497,0.3502999096289496,0.3922916821937563,0.4244247897378547,0.3196824238564835,0.3701085420326703,0.3723247587988936,0.3493159219885907,0.3573461653962063,0.3221670197398736,0.3712133425772068,0.3679185267531548,0.3522846097973453,0.4104173842476829,0.3615013493496506,0.3973049894810245,0.4201231913525994,0.326394929389209
8,0.3862002022262638,0.333395350143127,0.3850045371682009,0.4050699314358504,0.3583759803963895,0.3425797860369917,0.335192627932899,0.356322251806634,0.335192627932899,0.3791355711473497,0.3779831844169411,0.3493159219885907,0.3838162526327817,0.4090673282608335,0.3196824238564835,0.3636153902729841,0.3712133425772068,0.3493159219885907,0.3573461653962063,0.3213345475453524,0.3734428500750847,0.3625552880691461,0.3553041892481072,0.4024481219996484,0.3646817099723602,0.3922916821937563,0.4104173842476829,0.3289853629388758
9,0.3768377819565421,0.3325039195303038,0.3734428500750847,0.3973049894810245,0.3553041892481072,0.3425797860369917,0.335192627932899,0.3532854173524995,0.3281173284529904,0.3573461653962063,0.3791355711473497,0.3444777558278503,0.3701085420326703,0.3898321755949659,0.32050634686357,0.3542919276100554,0.3679185267531548,0.3483374469767463,0.3522846097973453,0.32050634686357,0.3712133425772068,0.3583759803963895,0.3553041892481072,0.3922916821937563,0.3657543022416813,0.3745676769471113,0.4011499033798762,0.3298580022906306
