node,year_construction,capacity_existing
BE,2005.0,0.019
BE,2025.0,0.10525999999999999
CZ,1999.0,0.003
CZ,2023.0,0.002
DE,1952.0,0.006472
DE,1966.0,0.005690000000000001
DE,1968.0,0.0017800000000000003
DE,1969.0,0.002008
DE,1976.0,0.010876000000000002
DE,1977.0,0.007320000000000001
DE,1979.0,0.0022800000000000003
DE,1982.0,0.01166
DE,1984.0,0.027494000000000005
DE,1985.0,0.00845
DE,1986.0,0.0145
DE,1987.0,0.00272
DE,1988.0,0.017946
DE,1989.0,0.00022000000000000003
DE,1990.0,0.0026420000000000003
DE,1991.0,0.015064000000000001
DE,1994.0,0.010272
DE,1995.0,0.002536
DE,1996.0,0.013886000000000003
DE,1997.0,0.012536
DE,1998.0,0.013000000000000001
DE,1999.0,0.018454
DE,2000.0,0.044336
DE,2001.0,0.01362
DE,2002.0,0.01201
DE,2003.0,0.035622
DE,2004.0,0.076502
DE,2005.0,0.083942
DE,2006.0,0.04352
DE,2007.0,0.044256000000000004
DE,2008.0,0.037534000000000005
DE,2009.0,0.04222
DE,2010.0,0.024052
DE,2011.0,0.009600000000000001
DE,2012.0,0.0198
DE,2013.0,0.017076
DE,2014.0,0.008876
DE,2015.0,0.000718
DE,2016.0,0.012982
DE,2017.0,0.012542
DE,2018.0,0.011994000000000001
DE,2019.0,0.01218
DE,2020.0,0.018238
DE,2021.0,0.002424
DE,2022.0,0.006824
DE,2023.0,0.013408
DE,2024.0,0.0145
DE,2025.0,0.00395
DK,1966.0,0.0016600000000000002
DK,1982.0,0.0282
DK,2002.0,0.117
DK,2006.0,0.0035800000000000003
DK,2009.0,0.087
DK,2016.0,0.0886
DK,2025.0,0.061200000000000004
EL,2001.0,0.0094
ES,2000.0,0.0032668
ES,2001.0,0.003
ES,2002.0,0.0032
ES,2003.0,0.0032868000000000003
ES,2004.0,0.0032400000000000003
ES,2005.0,0.003
ES,2008.0,0.0033200000000000005
ES,2010.0,0.014960000000000001
ES,2012.0,0.014160000000000002
ES,2025.0,0.0510972
FI,1990.0,0.025
FI,2001.0,0.0452268955
FI,2002.0,0.053
FI,2010.0,0.047235
FI,2025.0,0.603628
FR,2007.0,0.0068000000000000005
FR,2016.0,0.03
HU,1957.0,0.006
HU,1961.0,0.009980000000000001
HU,2001.0,0.008
IT,1965.0,0.0082
IT,1998.0,0.017
IT,2000.0,0.004
IT,2001.0,0.0148
IT,2002.0,0.00572
IT,2003.0,0.013000000000000001
IT,2004.0,0.0044
IT,2005.0,0.0114
IT,2006.0,0.0134
IT,2007.0,0.0023000000000000004
IT,2008.0,0.04184
IT,2009.0,0.032600000000000004
IT,2010.0,0.002
IT,2011.0,0.0058000000000000005
IT,2012.0,0.01014
IT,2013.0,0.016739999999999998
IT,2016.0,0.01244
IT,2017.0,0.009200000000000002
IT,2019.0,0.006
IT,2025.0,0.086
NL,1994.0,0.047676685680000004
NL,1999.0,0.005
PL,2008.0,0.002
PL,2025.0,0.0608
PT,1987.0,0.014
PT,1992.0,0.006
PT,1996.0,0.0008
PT,1998.0,0.01132
PT,1999.0,0.007600000000000001
PT,2001.0,0.0018
PT,2002.0,0.0077599999999999995
PT,2003.0,0.0016
PT,2004.0,0.04098000000000001
PT,2005.0,0.00986
PT,2007.0,0.0028399999999999996
PT,2008.0,0.002
PT,2009.0,0.0037400000000000003
PT,2010.0,0.00218
PT,2011.0,0.00206
PT,2012.0,0.0018400000000000003
PT,2016.0,0.00056
SE,1959.0,0.015
SE,1968.0,0.004
SE,1969.0,0.09959339282
SE,1970.0,0.026
SE,1997.0,0.007
SE,2007.0,0.0007400000000000001
SE,2010.0,0.004
SE,2013.0,0.10380000000000002
SE,2014.0,0.01
SE,2016.0,0.050497901740000004
SE,2025.0,0.1392
UK,1918.0,0.007
UK,1970.0,0.01
UK,1971.0,0.0016
UK,1992.0,0.00286
UK,1993.0,0.0033399999999999997
UK,1994.0,0.007
UK,1998.0,0.0083
UK,2000.0,0.0025
UK,2007.0,0.00666
UK,2008.0,0.0088
UK,2010.0,0.0074
UK,2011.0,0.01642
UK,2014.0,0.0411
UK,2015.0,0.0228
UK,2016.0,0.011260000000000001
UK,2020.0,0.009980000000000001
UK,2025.0,0.54476
