time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0099574347383084,0.0160035683133708,0.0006229494532236,0.0085527581322043,0.0002711776571365,0.0012283978721083,0.074411459155617,0.0097073984836627,0.0004289966869052,0.0017121543614489,0.009553900872643,0.0052925992115955,0.0636615675015875,0.0012474973124935,0.0011228906100493,0.0076497493781843,0.003342847086012,0.012854659879164,6.820592354826307e-05,0.0006632124610856,0.0050930644729616,0.0003657789531759,0.0002609146582275,0.0420896485881987,0.0284287504940722,0.0032860815054324,0.0066025721646777,0.0010594934587927,0.0584113082651803,0.0008453013099398,0.0006283717603482,0.0626203168035083
1,0.009314927910868,0.014970932682309,0.0005827534301147,0.0080008885354851,0.0002536798275511,0.0011491350860208,0.0696100347120951,0.0090810253296974,0.0004013155313134,0.0016016770250893,0.0089374322036849,0.0049510924663618,0.0595537834346765,0.0011670021285876,0.0010504357155522,0.0071561467252056,0.003127148752827,0.0120252086245138,6.380491337813937e-05,0.0006204184538448,0.0047644327738873,0.0003421769431275,0.0002440790521004,0.039373799848719,0.0265943758013845,0.0030740459904374,0.0061765389738044,0.0009911292868154,0.0546422989423553,0.0007907579584488,0.0005878258610473,0.0585797197883004
2,0.0059138458771134,0.0095047207414797,0.000369977524575,0.0050795907527763,0.0001610558252973,0.0007295609644796,0.044193902596664,0.0057653461969723,0.000254786534366,0.0010168700350585,0.0056741820329147,0.0031433413172462,0.0378094065785261,0.0007409043626283,0.0006668988729739,0.0045432824828949,0.0019853589781891,0.0076345443707125,4.050835685809716e-05,0.0003938902319441,0.0030248351233898,0.0002172407262537,0.0001549605010114,0.0249975722978987,0.0168841928990053,0.0019516451850792,0.0039213507495261,0.0006292465065329,0.0346912115056977,0.0005020350921783,0.000373197901055,0.0371909946772975
3,0.0043134744543978,0.006932607133578,0.0002698563057132,0.003704980719178,0.000117471811506,0.0005321313149852,0.0322343993827416,0.0042051609152753,0.0001858376478098,0.0007416904347545,0.0041386670801314,0.0022927081217769,0.0275776394585407,0.0005404050270767,0.0004864264832082,0.0033138051508785,0.0014480923942184,0.0055685272829783,2.954621512428026e-05,0.0002872978918681,0.0022062714018302,0.0001584522732959,0.0001130259693003,0.0182328710909149,0.0123150883987075,0.0014235020365456,0.0028601770550487,0.000458963386576,0.025303272647169,0.0003661772035187,0.0002722052021791,0.0271265786778449
4,0.0038616356490885,0.0062064127494381,0.0002415887102823,0.0033168819650193,0.0001051665750824,0.0004763902690668,0.0288578284395403,0.0037646680123547,0.0001663710526889,0.0006639979565697,0.0037051394427641,0.0020525456936418,0.0246888666611283,0.0004837973052972,0.0004354730433844,0.0029666822511766,0.0012964039249117,0.0049852210083096,2.645123295055829e-05,0.0002572032807601,0.0019751632673252,0.0001418543111145,0.0001011864372763,0.0163229678845384,0.0110250761618952,0.0012743894206374,0.0025605719461767,0.000410886721126,0.0226527410156079,0.0003278199414279,0.0002436915585603,0.0242850547435998
5,0.0184747787389984,0.0296926258011507,0.0011558050458125,0.0158685764208671,0.00050313633443,0.0022791391043065,0.1380611854032177,0.0180108676411395,0.0007959498684782,0.0031766889591639,0.0177260719608179,0.009819757995726,0.1181161016546558,0.0023145757347668,0.0020833835334064,0.0141931562581101,0.0062022360071093,0.0238502187836563,0.0001265475877431,0.001230508037212,0.0094495461646786,0.0006786572450542,0.0004840946194676,0.0780920955351665,0.0527460022593528,0.0060969145494488,0.012250249492613,0.0019657580231288,0.1083749002042627,0.0015683511947955,0.0011658654606698,0.116184190799661
6,0.0787025946395467,0.1264906457190076,0.0049237318231537,0.0676001675149632,0.0021433617980757,0.0097091371749278,0.5881409278969137,0.0767263324282699,0.0033907480428987,0.0135327013644416,0.0755131022564721,0.0418321888404911,0.5031748309551773,0.0098600972920642,0.0088752180486075,0.0604628742470311,0.0264215378826665,0.1016019800568588,0.0005390929786748,0.0052419667169803,0.0402550856945584,0.0028910812308647,0.0020622440539828,0.3326724842708531,0.2246980758644529,0.0259728682608967,0.0521860875126617,0.0083741331379071,0.4616772931560311,0.0066811792487606,0.004966589210709,0.4949448868216955
7,0.1956858456637945,0.3145058824229127,0.0122423489345982,0.1680808111570531,0.0053292469954882,0.0241407634328086,1.4623514684885006,0.1907720744744419,0.0084307436272767,0.0336476595561399,0.187755503378655,0.1040114025047116,1.2510920734336772,0.0245161101201529,0.0220673099438027,0.1503346710801922,0.0656944158955286,0.2526227944529799,0.0013403988255602,0.0130336070195878,0.1000900989666985,0.0071883738793564,0.0051275561309892,0.8271556574693406,0.5586884802965395,0.0645788453763889,0.1297552985841281,0.0208214142405052,1.1479127460635628,0.0166120598350408,0.0123489093874667,1.2306291702104468
8,0.2049070282147874,0.3293261477586359,0.0128192375388605,0.1760011788144106,0.005580373791287,0.0252783336325293,1.5312609483688844,0.1997617084379674,0.0088280203222979,0.0352332173164794,0.196602989336238,0.1089126672161541,1.3100465080689396,0.0256713675486671,0.0231071740827285,0.1574187984020817,0.0687900930483581,0.264526981474228,0.0014035616068013,0.0136477815870831,0.1048065825273163,0.0075271071564695,0.0053691787734645,0.8661331997117973,0.5850152105129007,0.0676219541926041,0.1358696769191792,0.0218025688101179,1.20200512534709,0.0173948596117304,0.0129308193737574,1.2886193441680671
9,0.1769131320037156,0.2843344162388965,0.0110679047110193,0.1519563289345305,0.0048179967947863,0.0218248696188103,1.322063828903694,0.1724707532097402,0.0076219578128529,0.0304197414814495,0.169743570573422,0.0940332854366081,1.1310711635038069,0.0221642082041844,0.0199503285677713,0.1359126278108013,0.0593921590588653,0.2283879533065096,0.0012118104585417,0.0117832551011507,0.090488163978825,0.0064987722167477,0.0046356547229107,0.7478042038304064,0.5050918656297279,0.0583836084718642,0.1173074945136033,0.0188239552714674,1.037790129808374,0.0150184165057062,0.011164242508987,1.112571326242555
