node,year_construction,capacity_existing
BE,1975.0,4.098
CH,1969.0,0.73
CH,1970.0,1.06
CH,1984.0,1.285
CZ,1985.0,1.878
CZ,2002.0,2.25
ES,1983.0,2.0171
ES,1984.0,1.9875
ES,1985.0,1.0639
ES,1988.0,2.0904
FI,1977.0,1.014
FI,1979.0,3.38
FR,1964.0,3.816
FR,1972.0,3.58
FR,1980.0,12.68
FR,1981.0,3.64
FR,1983.0,3.824
FR,1985.0,5.32
FR,1986.0,5.33
FR,1987.0,2.726
FR,1988.0,2.62
FR,1990.0,2.764
FR,1991.0,2.726
FR,2002.0,3.122
HU,1982.0,2.0
NL,1973.0,0.485
RO,1996.0,1.413
SE,1980.0,3.32
SI,1981.0,0.696
SK,1988.0,1.411
UA,1981.0,2.657
UA,1983.0,2.85
UA,1985.0,6.0
UA,1987.0,2.0
UK,1983.0,1.332
UK,1988.0,1.19
UK,1989.0,2.61
UK,1995.0,1.198
UK,2025.0,3.2
