node,year,capacity_lower_limit
BE,2025,0.0
CZ,2025,0.0
DE,2025,0.0
DK,2025,0.0
EL,2025,0.0
ES,2025,0.0
FI,2025,0.0
FR,2025,0.0
HU,2025,0.0
IT,2025,0.0
NL,2025,0.0
PL,2025,0.0
PT,2025,0.0
SE,2025,0.0
UK,2025,0.0
AL,2025,0.0
AT,2025,0.0
BA,2025,0.0
BG,2025,0.0
CY,2025,0.0
EE,2025,0.0
HR,2025,0.0
IE,2025,0.0
LT,2025,0.0
LU,2025,0.0
LV,2025,0.0
ME,2025,0.0
MK,2025,0.0
MT,2025,0.0
NO,2025,0.0
RO,2025,0.0
RS,2025,0.0
SI,2025,0.0
SK,2025,0.0
AL,2030,0.0
AT,2030,0.5324515
BA,2030,0.0
BE,2030,0.43023749999999994
BG,2030,0.21139999999999998
CY,2030,0.008469999999999998
CZ,2030,0.45835999999999993
DE,2030,9.147310199999998
DK,2030,0.005082
EE,2030,0.11735499999999999
EL,2030,0.3016979
ES,2030,1.2109999999999999
FI,2030,1.837374
FR,2030,1.6982
HR,2030,0.1386
HU,2030,0.1562708
IE,2030,0.049
IT,2030,3.1143209999999995
LT,2030,0.146923
LU,2030,0.08490999999999999
LV,2030,0.11131259999999998
ME,2030,0.0343
MK,2030,0.021699999999999997
MT,2030,0.0
NL,2030,0.2905
NO,2030,0.0
PL,2030,1.5085378
PT,2030,1.1319
RO,2030,0.0959
RS,2030,0.091693
SE,2030,3.1208904999999993
SI,2030,0.0428421
SK,2030,0.28080429999999995
UK,2030,2.0343162
