year,opex_specific_variable
2025,1.0
2026,0.9600000000000002
2027,0.92
2028,0.8799999999999998
2029,0.84
2030,0.7999999999999998
2031,0.7999999999999999
2032,0.8
2033,0.8
2034,0.8000000000000002
2035,0.8000000000000003
2036,0.8000000000000003
2037,0.8000000000000003
2038,0.8000000000000004
2039,0.8000000000000004
2040,0.8000000000000004
2041,0.8000000000000004
2042,0.8000000000000004
2043,0.8000000000000004
2044,0.8000000000000004
2045,0.8000000000000004
2046,0.8000000000000004
2047,0.8000000000000004
2048,0.8000000000000004
2049,0.8000000000000004
2050,0.8000000000000004
