node,year,capacity_lower_limit
AT,2025,0.0
BA,2025,0.0
BE,2025,0.0
BG,2025,0.0
CH,2025,0.0
CZ,2025,0.0
DE,2025,0.0
DK,2025,0.0
EE,2025,0.0
EL,2025,0.0
ES,2025,0.0
FI,2025,0.0
FR,2025,0.0
HR,2025,0.0
HU,2025,0.0
IE,2025,0.0
IT,2025,0.0
LT,2025,0.0
LU,2025,0.0
LV,2025,0.0
ME,2025,0.0
MK,2025,0.0
NL,2025,0.0
NO,2025,0.0
PL,2025,0.0
PT,2025,0.0
RO,2025,0.0
RS,2025,0.0
SE,2025,0.0
SI,2025,0.0
UA,2025,0.0
UK,2025,0.0
AL,2025,0.0
CY,2025,0.0
MT,2025,0.0
SK,2025,0.0
AL,2030,0.196
AT,2030,6.3000007
BA,2030,0.55062
BE,2030,3.6736
BG,2030,0.6636
CY,2030,0.13824999999999998
CZ,2030,0.6708099999999999
DE,2030,80.50048999999999
DK,2030,5.1139284
EE,2030,0.6026999999999999
EL,2030,4.97
ES,2030,38.9322458
FI,2030,18.1947297
FR,2030,21.930159999999997
HR,2030,1.009365
HU,2030,0.23400300000000002
IE,2030,6.266959999999999
IT,2030,12.887574
LT,2030,3.5000139999999997
LU,2030,0.3171
LV,2030,0.1659
ME,2030,0.17794
MK,2030,0.287
MT,2030,0.0
NL,2030,6.370035
NO,2030,4.0412574999999995
PL,2030,9.637488
PT,2030,7.282799999999999
RO,2030,4.199999999999999
RS,2030,4.544504999999999
SE,2030,12.566507099999999
SI,2030,0.0857101
SK,2030,0.5005
UK,2030,22.539422499999997
