node,year,capacity_limit
AL,2030,0.1
AT,2030,0.9888385000000001
BA,2030,0.1
BE,2030,0.7990125
BG,2030,0.3926
CY,2030,0.01573
CZ,2030,0.85124
DE,2030,16.987861799999997
DK,2030,0.009438
EE,2030,0.217945
EL,2030,0.5602961000000001
ES,2030,2.249
FI,2030,3.4122660000000002
FR,2030,3.1538000000000004
HR,2030,0.2574
HU,2030,0.2902172
IE,2030,0.09100000000000001
IT,2030,5.783739
LT,2030,0.272857
LU,2030,0.15769
LV,2030,0.2067234
ME,2030,0.0637
MK,2030,0.0403
MT,2030,0.1
NL,2030,0.5395
NO,2030,0.1
PL,2030,2.8015702000000005
PT,2030,2.1021
RO,2030,0.1781
RS,2030,0.170287
SE,2030,5.795939499999999
SI,2030,0.0795639
SK,2030,0.5214937
UK,2030,3.7780158000000004
