node,year_construction,capacity_existing
AT,1990,0.0524374162024891
AT,1991,0.1464275872226736
AT,1993,0.2394409871380977
AT,1994,0.0831524805493961
AT,1995,0.0575809983418688
AT,1996,0.3869004505475246
AT,1997,0.0524374162024891
AT,1998,0.1512719873542533
AT,1999,0.1174004138975419
AT,2000,0.1200209266655075
AT,2001,0.0524374162024891
AT,2002,0.1415449092987168
AT,2003,0.123406930408211
AT,2004,0.311850315029135
AT,2005,0.0524374162024891
AT,2006,0.0787560262540294
AT,2007,0.3536577511426301
AT,2008,0.2640453503124556
AT,2009,0.3609758140646079
AT,2010,0.2263894821918032
AT,2011,0.3653708986909693
AT,2012,0.2717266288826119
AT,2013,0.0984746973626183
AT,2014,0.0908115822263965
AT,2015,0.0860298099009845
AT,2016,0.1355187197556474
AT,2017,0.1339655712178525
AT,2018,0.0524374162024891
AT,2019,0.0524374162024891
AT,2020,0.1014929400552694
AT,2021,0.0524374162024891
AT,2022,0.0524374162024891
AT,2023,0.0524374162024891
AT,2024,0.0524374162024891
BE,2006,0.0479347627483562
BE,2007,0.0452005563318019
BE,2009,0.0011688980236097
BE,2010,0.0161731360222797
BE,2011,0.0252691171943831
BE,2014,0.1079513016328031
BE,2015,0.0028139378464666
BE,2018,0.0206316606504933
BE,2019,0.0087903021516542
BE,2020,0.0290596654057421
BG,1991,0.5209432277495352
BG,1992,0.1168195512929681
BG,1995,0.3712503754884078
BG,1996,0.0658459837731113
BG,1997,0.1579671933378867
BG,1999,0.0697598977846709
BG,2001,0.1092173581435527
BG,2003,0.104004262128599
BG,2005,0.1558890349628408
BG,2009,0.0968478139554682
BG,2011,0.0225244922583764
BG,2014,0.0502131054329435
BG,2015,0.0030780685478606
BG,2016,0.0523887111882728
BG,2018,0.0378508239303325
CH,1990,0.0710481605773162
CH,1991,0.1983967076061167
CH,1993,0.3244218143259919
CH,1994,0.1126644144261866
CH,1995,0.0780172692071175
CH,1996,0.5242166248578755
CH,1997,0.0710481605773162
CH,1998,0.2049604505090881
CH,1999,0.1590674000074018
CH,2000,0.162617968006678
CH,2001,0.0710481605773162
CH,2002,0.1917811016073584
CH,2003,0.1672057100246683
CH,2004,0.4225301867033044
CH,2005,0.0710481605773162
CH,2006,0.1067075993622666
CH,2007,0.4791756442683259
CH,2008,0.3577585969577682
CH,2009,0.4890909861606085
CH,2010,0.306738154711277
CH,2011,0.4950459454415691
CH,2012,0.3681660646175823
CH,2013,0.1334246920939973
CH,2014,0.1230418343151489
CH,2015,0.1165629466691948
CH,2016,0.1836161363338587
CH,2017,0.1815117544877442
CH,2018,0.0710481605773162
CH,2019,0.0710481605773162
CH,2020,0.1375141497183163
CH,2021,0.0710481605773162
CH,2022,0.0710481605773162
CH,2023,0.0710481605773162
CH,2024,0.0710481605773162
CZ,1990,0.0062825026910728
CZ,1992,1.2205372222676192
CZ,1995,0.5339327973578989
CZ,1996,0.4700371956232617
CZ,1997,0.1830019493337619
CZ,1998,0.340305844255185
CZ,1999,1.1479283183840343
CZ,2000,0.0062825026910728
CZ,2001,0.1702004459639779
CZ,2002,0.0062825026910728
CZ,2003,0.0062825026910728
CZ,2004,0.0062825026910728
CZ,2005,0.2361549997370463
CZ,2006,0.0062825026910728
CZ,2007,0.2608587215893762
CZ,2008,0.0062825026910728
CZ,2009,0.0062825026910728
CZ,2010,0.2354466801173617
CZ,2011,0.0062825026910728
CZ,2012,0.0651720083347078
CZ,2013,0.0062825026910728
CZ,2014,0.0062825026910728
CZ,2015,0.0062825026910728
CZ,2016,0.0062825026910728
CZ,2017,0.0062825026910728
CZ,2018,0.0062825026910728
CZ,2019,0.0062825026910728
CZ,2020,0.0062825026910728
CZ,2021,0.0062825026910728
CZ,2022,0.0062825026910728
CZ,2023,0.0062825026910728
CZ,2024,0.0062825026910728
DE,1995,0.1419092595199096
DE,1997,0.0705018089591433
DE,1998,1.11932228236979
DE,1999,1.0921058312472738
DE,2002,0.4857278445388715
DE,2003,4.748825647628234
DE,2004,2.344484537504844
DE,2007,2.391403622877778
DE,2009,0.450410050139272
DE,2010,2.139375518483241
DE,2015,1.0611086613928222
DE,2017,0.7831930932298867
DE,2019,1.0675810076472274
DK,1990,0.202170995974191
DK,1991,0.4537451543041116
DK,1992,0.3032932588154993
DK,1994,0.3934205413329496
DK,1995,0.2837922952797413
DK,1996,0.3042140815920893
DK,1997,0.2656228955857642
DK,1998,0.550877722160255
DK,1999,0.202170995974191
DK,2000,0.2270806406636092
DK,2001,0.5158709296359725
DK,2002,0.2523034892499902
DK,2003,0.2316250381555019
DK,2004,0.2312550238986571
DK,2005,0.202170995974191
DK,2006,0.202170995974191
DK,2007,0.202170995974191
DK,2008,0.4640491313738729
DK,2009,0.4086408249151295
DK,2010,0.7326762263152032
DK,2011,0.202170995974191
DK,2012,0.5597934908522583
DK,2013,0.202170995974191
DK,2014,0.2982594209485348
DK,2015,0.2124943330946356
DK,2016,0.202170995974191
DK,2017,0.3689304692768888
DK,2018,0.3267750677820136
DK,2019,0.2520190230194363
DK,2020,0.202170995974191
DK,2021,0.202170995974191
DK,2022,0.202170995974191
DK,2023,0.202170995974191
DK,2024,0.202170995974191
EE,1990,0.0258855030919859
EE,1992,0.0933452341667111
EE,1994,0.2135015468325611
EE,1996,0.0258855030919859
EE,1997,0.0433128795186617
EE,1998,0.0432155948685426
EE,1999,0.0788627220573142
EE,2000,0.0258855030919859
EE,2001,0.0258855030919859
EE,2002,0.0932609720597133
EE,2003,0.0258855030919859
EE,2004,0.0700137319229184
EE,2005,0.1553910670091904
EE,2006,0.0258855030919859
EE,2007,0.0258855030919859
EE,2008,0.0258855030919859
EE,2009,0.0258855030919859
EE,2010,0.0802625482729251
EE,2011,0.0258855030919859
EE,2012,0.0258855030919859
EE,2013,0.0258855030919859
EE,2014,0.0258855030919859
EE,2015,0.0258855030919859
EE,2016,0.0743856738832904
EE,2017,0.0539504859987754
EE,2018,0.0305915027594799
EE,2019,0.0272091706519678
EE,2020,0.0258855030919859
EE,2021,0.0258855030919859
EE,2022,0.0258855030919859
EE,2023,0.0258855030919859
EE,2024,0.0258855030919859
EL,2005,0.0023264660406187
EL,2006,0.0322311204528623
EL,2008,0.0189419974315464
EL,2009,0.0603626709728643
EL,2010,0.0077566361158256
EL,2013,0.0806605106262727
EL,2014,0.0027776109083788
EL,2018,0.0414634184207099
FI,1990,0.1212432707515078
FI,1991,0.1817786081045549
FI,1993,0.3760784552659484
FI,1994,0.0736264795643978
FI,1996,0.4991646146719017
FI,1997,0.1212432707515078
FI,1998,0.2198905183103774
FI,1999,0.2083766673498964
FI,2000,0.1670989943039998
FI,2001,0.1786239613138036
FI,2002,0.2176727938934894
FI,2003,0.2245447808372394
FI,2004,0.1271498062748855
FI,2005,0.1212432707515078
FI,2006,0.2217901406934312
FI,2007,0.3484989243856863
FI,2008,0.2377430027879943
FI,2009,0.4246372357452887
FI,2010,0.1844458659442256
FI,2011,0.1212432707515078
FI,2012,0.2687207090300919
FI,2013,0.1363051188894179
FI,2014,0.2676044767417035
FI,2015,0.1212432707515078
FI,2016,0.2741596030046718
FI,2017,0.1212432707515078
FI,2018,0.1212432707515078
FI,2019,0.1212432707515078
FI,2020,0.1212432707515078
FI,2021,0.1212432707515078
FI,2022,0.1212432707515078
FI,2023,0.1212432707515078
FI,2024,0.1212432707515078
FR,2000,1.9344054906180377
FR,2001,1.390320717658872
FR,2002,0.8745170465078367
FR,2005,0.5025349882222159
FR,2008,0.1730089221564812
FR,2010,0.3522732020541781
FR,2013,0.0675739870454137
FR,2014,0.2229170687811068
FR,2015,0.3062085788928126
FR,2016,0.3288623102762766
FR,2017,0.1282634270391129
FR,2018,0.2839615166733917
FR,2019,0.1238351563512232
FR,2020,0.2716057019199889
HR,1990,0.015364413063572
HR,1992,0.0122624505198434
HR,1995,0.04814870852172
HR,1996,0.015364413063572
HR,1997,0.015364413063572
HR,1998,0.015364413063572
HR,1999,0.0282101046391521
HR,2000,0.015364413063572
HR,2001,0.0605985013190344
HR,2002,0.015364413063572
HR,2003,0.0211713940809591
HR,2004,0.015364413063572
HR,2005,0.0214550172786243
HR,2006,0.015364413063572
HR,2007,0.015364413063572
HR,2008,0.0301762902080743
HR,2009,0.015364413063572
HR,2010,0.0440258302851304
HR,2011,0.0225323627864088
HR,2012,0.015364413063572
HR,2013,0.0578164315679872
HR,2014,0.015364413063572
HR,2015,0.015364413063572
HR,2016,0.0271572359610355
HR,2017,0.015364413063572
HR,2018,0.015364413063572
HR,2019,0.0209588291246233
HR,2020,0.0481132733382353
HR,2021,0.015364413063572
HR,2022,0.015364413063572
HR,2023,0.015364413063572
HR,2024,0.015364413063572
HU,1990,0.0293400175173677
HU,1992,0.2880638394666118
HU,1995,0.336019787614831
HU,1996,0.0293400175173677
HU,1997,0.0293400175173677
HU,1998,0.2807726793917917
HU,1999,0.0293400175173677
HU,2000,0.0293400175173677
HU,2001,0.2104795657344954
HU,2002,0.0293400175173677
HU,2003,0.0293400175173677
HU,2004,0.0293400175173677
