year,opex_specific_variable
2025,1.0
2026,0.9768421052631578
2027,0.953684210526316
2028,0.9305263157894738
2029,0.9073684210526316
2030,0.8842105263157896
2031,0.8631578947368421
2032,0.8421052631578948
2033,0.8210526315789473
2034,0.8000000000000002
2035,0.7789473684210526
2036,0.7578947368421053
2037,0.736842105263158
2038,0.7157894736842106
2039,0.6947368421052633
2040,0.673684210526316
2041,0.650526315789474
2042,0.6273684210526318
2043,0.6042105263157896
2044,0.5810526315789475
2045,0.5578947368421054
2046,0.5347368421052633
2047,0.5115789473684211
2048,0.488421052631579
2049,0.465263157894737
2050,0.4421052631578949
