node,year_construction,capacity_existing
AT,2010,2.0717461262444004
AT,2013,0.8340202875506026
AT,2014,0.10223788403574
AT,2017,0.5712238803356233
AT,2022,0.5626451317720508
BE,2010,1.5484638578690335
BE,2011,0.8642214620606525
BE,2012,1.3242879774767276
BE,2013,0.3486614547474473
BE,2014,1.03537310587441
BE,2015,1.1254030583557264
BE,2017,1.4717676677018003
BE,2020,2.488965636660803
BE,2023,2.3329321861826244
BG,2010,0.0834311402564635
BG,2011,0.1534269893246976
BG,2013,0.4277412522760007
BG,2015,0.1561592682160511
BG,2019,0.0198875121855372
BG,2022,0.300569340584193
CH,2010,2.807036694646632
CH,2013,1.1300253064685128
CH,2014,0.1385234843381033
CH,2017,0.7739589193137316
CH,2022,0.7623354574874904
CZ,2010,0.4943056169127178
CZ,2011,0.1225120167356346
CZ,2012,0.1974145450563121
CZ,2013,1.619095996028716
CZ,2020,0.6040260986318132
CZ,2023,0.4426633737572866
DE,2010,7.300644262214822
DE,2011,6.300437399732214
DE,2013,0.8269747355908098
DE,2014,6.516976030441894
DE,2019,15.105571466922187
DE,2020,7.199215367813804
DE,2021,17.849921142089023
DK,2010,1.5631273535600343
DK,2011,0.7941960333826821
DK,2019,0.2310362525764568
EE,2011,0.139298596455643
EE,2014,0.0338576631043247
EE,2015,0.015731102658533
EE,2017,0.0087711465857065
EE,2020,0.048216769298171
EE,2021,0.1479348162853674
EL,2010,1.0222308383298082
EL,2011,0.402168513396772
EL,2015,2.2326840361367624
EL,2016,2.1144183748036034
EL,2018,0.00682246674785
EL,2019,0.5491430412967298
EL,2020,2.00222463318004
EL,2021,0.6038602444753196
EL,2022,0.1663315338450945
EL,2023,0.8861673131106046
ES,2010,2.4459532354594478
ES,2011,0.5553638126330123
ES,2012,0.5518614607485977
ES,2013,2.918757920795516
ES,2014,1.4966504579484008
ES,2015,1.4805512665049048
ES,2016,2.4510869423637702
ES,2020,1.1646794987560178
ES,2023,0.0206084361402402
ES,2024,0.8257083474600506
FI,2010,0.6070984324451458
FI,2015,0.9454265442214048
FI,2019,0.3616915555696599
