node,year,capacity_limit
AL,2030,2.6412671999999997
AT,2030,3.6232677
BA,2030,2.4778
BE,2030,0.1
BG,2030,1.66569
CY,2030,0.1
CZ,2030,0.672802
DE,2030,1.0647
DK,2030,0.1
EE,2030,0.1
EL,2030,3.5668100000000003
ES,2030,14.838447000000002
FI,2030,4.207590400000001
FR,2030,13.037700000000001
HR,2030,2.532517
HU,2030,0.1
IE,2030,0.1
IT,2030,11.436090900000002
LT,2030,0.1
LU,2030,0.1
LV,2030,0.1
ME,2030,1.37592
MK,2030,0.94718
MT,2030,0.1
NL,2030,0.1
NO,2030,35.9449259
PL,2030,0.5557240000000001
PT,2030,4.89515
RO,2030,3.3304101999999998
RS,2030,0.564551
SE,2030,20.30236
SI,2030,0.02782
SK,2030,0.027664
UK,2030,0.1
