year,opex_specific_variable
2025,1.0
2026,1.005846140944823
2027,1.0116922818896463
2028,1.0175384228344695
2029,1.0233845637792929
2030,1.029230704724116
2031,1.032749560260968
2032,1.0362684157978204
2033,1.0397872713346723
2034,1.043306126871525
2035,1.0468249824083766
2036,1.050343837945229
2037,1.053862693482081
2038,1.057381549018933
2039,1.0609004045557855
2040,1.0644192600926377
2041,1.0679381156294898
2042,1.071456971166342
2043,1.074975826703194
2044,1.0784946822400463
2045,1.0820135377768985
2046,1.0855323933137506
2047,1.0890512488506028
2048,1.092570104387455
2049,1.096088959924307
2050,1.0996078154611597
