node,year_construction,capacity_existing
AT,2001.0,0.009
AT,2003.0,0.084
AT,2004.0,0.069
AT,2005.0,0.02
AT,2012.0,0.066
AT,2015.0,0.021
AT,2017.0,0.013
AT,2025.0,2.58732
BA,2025.0,0.7738
BE,1970.0,0.012
BE,2000.0,0.0054
BE,2001.0,0.0045
BE,2003.0,0.08460000000000001
BE,2004.0,0.033600000000000005
BE,2005.0,0.0565
BE,2007.0,0.034
BE,2008.0,0.12118
BE,2009.0,0.046900000000000004
BE,2011.0,0.013
BE,2012.0,0.0207
BE,2014.0,0.04
BE,2017.0,0.019
BE,2018.0,0.017
BE,2025.0,1.9273500000000001
BG,2008.0,0.035
BG,2010.0,0.016
BG,2025.0,1.5548
CH,2025.0,0.15521
CZ,2008.0,0.042
CZ,2009.0,0.034
CZ,2025.0,0.74
DE,1949.0,0.00636
DE,1988.0,0.20222
DE,1989.0,0.1511
DE,1990.0,1.17105
DE,1991.0,2.05313
DE,1992.0,2.35085
DE,1993.0,4.88235
DE,1994.0,5.3551
DE,1995.0,5.73698
DE,1996.0,3.77086
DE,1997.0,3.78978
DE,1998.0,2.59249
DE,1999.0,5.84194
DE,2000.0,4.47213
DE,2001.0,7.59407
DE,2002.0,4.89274
DE,2003.0,3.4183000000000003
DE,2004.0,2.04609
DE,2005.0,2.43588
DE,2006.0,1.0882
DE,2007.0,2.98751
DE,2008.0,0.72279
DE,2009.0,3.27706
DE,2010.0,1.37402
DE,2011.0,2.85209
DE,2012.0,1.58429
DE,2013.0,1.18316
DE,2014.0,2.65728
DE,2015.0,1.1668
DE,2016.0,2.5156
DE,2017.0,2.35297
DE,2018.0,0.51651
DE,2019.0,0.46658
DE,2020.0,0.75741
DE,2021.0,1.9219
DE,2022.0,0.33637999999999996
DE,2023.0,1.61518
DE,2024.0,1.16556
DE,2025.0,3.1684
DK,1995.0,0.023399999999999997
DK,1996.0,0.09140000000000001
DK,2002.0,0.0165
DK,2003.0,0.207
DK,2008.0,0.011
DK,2010.0,0.011
DK,2012.0,0.026
DK,2014.0,0.015
DK,2018.0,0.021
DK,2020.0,0.085
DK,2021.0,0.011
DK,2025.0,2.0151
EE,1970.0,0.006
EE,2002.0,0.0087
EE,2005.0,0.093
EE,2007.0,0.024
EE,2009.0,0.057
EE,2010.0,0.02305
EE,2011.0,0.024
EE,2012.0,0.0781
EE,2014.0,0.03
EE,2025.0,0.185
EL,1998.0,0.01
EL,2000.0,0.0114
EL,2005.0,0.026
EL,2006.0,0.07155
EL,2007.0,0.016
EL,2009.0,0.012
EL,2011.0,0.08199999999999999
EL,2012.0,0.012
EL,2014.0,0.051000000000000004
EL,2015.0,0.024
EL,2016.0,0.023
EL,2020.0,0.022
EL,2025.0,6.29775
ES,1970.0,0.021
ES,1997.0,0.0132
ES,1998.0,0.0846
ES,1999.0,0.12214
ES,2000.0,0.3299
ES,2001.0,0.27522
ES,2002.0,0.1935
ES,2003.0,0.29463
ES,2004.0,0.76212
ES,2005.0,1.17955
ES,2006.0,1.26
ES,2007.0,1.34672
ES,2008.0,0.53354
ES,2009.0,1.24786
ES,2010.0,0.33136
ES,2011.0,0.0875
ES,2012.0,0.24198
ES,2013.0,0.10600000000000001
ES,2019.0,0.12
ES,2020.0,0.074
ES,2021.0,0.061
ES,2022.0,0.039
ES,2025.0,31.05209
FI,2008.0,0.003
FI,2010.0,0.045
FI,2012.0,0.259
FI,2013.0,0.19
FI,2014.0,0.502
FI,2015.0,0.642
FI,2016.0,0.441
FI,2017.0,0.36000000000000004
FI,2019.0,0.132
FI,2020.0,0.15
FI,2021.0,0.46499999999999997
FI,2022.0,0.212
FI,2025.0,0.6142
FR,1970.0,0.0838
FR,1991.0,0.0086
FR,1999.0,0.003
FR,2000.0,0.0426
FR,2001.0,0.07150000000000001
FR,2002.0,0.12435
FR,2003.0,0.10110000000000001
FR,2004.0,0.15635
FR,2005.0,0.34925
FR,2006.0,0.7311
FR,2007.0,1.09795
FR,2008.0,0.99684
FR,2009.0,0.593
FR,2010.0,0.23
FR,2011.0,0.1945
FR,2012.0,0.053000000000000005
FR,2013.0,0.0605
FR,2014.0,0.0123
FR,2015.0,0.22065
FR,2016.0,0.3276
FR,2017.0,0.2503
FR,2018.0,0.1158
FR,2019.0,0.1038
FR,2020.0,0.09
FR,2021.0,0.012
FR,2023.0,0.06459999999999999
FR,2025.0,13.302975
HR,2013.0,0.015
