edge,opex_specific_fixed
BE-NO,6.208288001771595
BE-UK,6.208288001771595
DE-NO,6.208288001771595
DE-SE,6.208288001771595
DE-UK,6.208288001771595
DK-NL,6.208288001771595
DK-NO,6.208288001771595
DK-SE,6.208288001771595
DK-UK,6.208288001771595
EE-FI,6.208288001771595
EL-IT,6.208288001771595
FI-EE,6.208288001771595
FR-NO,6.208288001771595
FR-UK,6.208288001771595
IT-EL,6.208288001771595
LT-SE,6.208288001771595
NL-DK,6.208288001771595
NL-NO,6.208288001771595
NL-UK,6.208288001771595
NO-BE,6.208288001771595
NO-DE,6.208288001771595
NO-DK,6.208288001771595
NO-FR,6.208288001771595
NO-NL,6.208288001771595
NO-UK,6.208288001771595
PL-SE,6.208288001771595
SE-DE,6.208288001771595
SE-DK,6.208288001771595
SE-LT,6.208288001771595
SE-PL,6.208288001771595
UK-BE,6.208288001771595
UK-DE,6.208288001771595
UK-DK,6.208288001771595
UK-FR,6.208288001771595
UK-NL,6.208288001771595
UK-NO,6.208288001771595
