time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.002484324361893,0.0039343044929782,0.0001820484155941,0.0021389457771702,8.198840584836497e-05,0.0003300726024264,0.0180864190848782,0.0024300212627234,0.0001234455846724,0.0004896822903348,0.0029204496616151,0.0012593487046992,0.0156947554375091,0.0003644095139566,0.0003081678738144,0.0019400326661492,0.0006535934046964,0.0039362569711002,1.709994349691474e-05,0.0002008346366277,0.0010009225703666,0.000106570335394,6.446294249531677e-05,0.0088213833414723,0.0056452993968312,0.0009064018376787,0.001586104082295,0.0002958735765982,0.0112802149793752,0.0002587905289734,0.0001691811086647,0.0156220700650387
1,0.0077110316778702,0.0122115884065255,0.0005650554819188,0.0066390198067525,0.0002544817433714,0.0010245040190193,0.0561379796623894,0.0075424816590696,0.0003831596342664,0.0015199125004701,0.0090647099870564,0.0039088606561911,0.0487145552374,0.00113108149199,0.000956514484797,0.0060216184223949,0.0020286720709129,0.012217648654084,5.307608298540488e-05,0.0006233655591856,0.0031067383009967,0.0003307809739943,0.0002000849000455,0.0273804690853234,0.0175223022998719,0.0028133577846873,0.0049230684247915,0.0009183545259987,0.0350123745406847,0.0008032533905221,0.0005251169727358,0.0484889489445041
2,0.0140556483787095,0.0222592514151174,0.0010299816548682,0.012101587943259,0.0004638686563687,0.0018674632468748,0.1023281625324136,0.0137484158451841,0.00069842237941,0.0027704925314111,0.016523129660937,0.0071250609827567,0.0887967639021858,0.0020617323859146,0.0017435321016815,0.0109761903143056,0.0036978581460499,0.0222702980185201,9.674694527621354e-05,0.001136269111234,0.0056629544511922,0.000602946694432,0.0003647142325975,0.0499090474510576,0.0319396068128302,0.0051281812132293,0.0089737562512918,0.0016739742285691,0.0638204647582864,0.0014641681798023,0.0009571818447653,0.0883855293414371
3,0.0121360255973987,0.0192192375388378,0.0008893139179026,0.0104488371572402,0.0004005166987564,0.0016124180938251,0.0883528931834425,0.0118707527483094,0.0006030367042445,0.0023921179139296,0.0142665154328996,0.0061519696665677,0.0766695189469473,0.0017801553038525,0.001505412603231,0.0094771385159368,0.0031928303772871,0.0192287754739118,8.353391979559904e-05,0.0009810853720812,0.0048895474847445,0.0005206004248496,0.0003149040971488,0.0430928165736766,0.0275775172661901,0.0044278098594243,0.0077481829821139,0.001445354461063,0.0551043091770597,0.0012642022644713,0.0008264565999696,0.0763144479447913
4,0.0104397834132229,0.0165329807244109,0.0007650152527082,0.0089884118953246,0.0003445368135423,0.0013870517605618,0.0760038829321903,0.0102115875291853,0.0005187507666336,0.0020577735865742,0.0122724964598623,0.0052921139930234,0.065953484176375,0.0015313444805277,0.001295002338215,0.0081525267633499,0.002746571136203,0.016541185550248,7.185845343886794e-05,0.0008439598872142,0.0042061395075124,0.0004478365373114,0.000270890213916,0.0370697695126281,0.0237230306596543,0.0038089385652936,0.0066652259036621,0.0012433384725282,0.0474024258046292,0.0010875057674907,0.0007109434497205,0.0656480411522914
5,0.029772449505921,0.0471491902002909,0.0021816906616729,0.0256333899564454,0.0009825591660387,0.0039556307701865,0.2167498766292895,0.0291216744691169,0.0014793871093338,0.0058684129522555,0.0349990288783248,0.0150921901729594,0.1880878845526257,0.0043671285522013,0.0036931218013318,0.0232495907051174,0.0078327439593674,0.0471725889388731,0.0002049278315364,0.0024068270511515,0.0119951795114507,0.0012771520410207,0.0007725318520736,0.1057165457678911,0.0676539641183928,0.01086243139515,0.0190080669117136,0.0035457854274285,0.1351834873258935,0.0031013776118197,0.0020274872687072,0.1872168140857857
6,0.1036779701601579,0.1641897934427329,0.007597401727884,0.0892643327341777,0.003421610972147,0.0137748749519061,0.7547980637911633,0.1014117463201164,0.0051517377683797,0.0204358443140675,0.1218787278809497,0.0525562279345652,0.6549870906072456,0.0152078526031478,0.0128607278967811,0.080963118969491,0.0272763245204245,0.1642712759462141,0.0007136296124643,0.0083814045310689,0.0417713652753561,0.0044474852891294,0.0026902231974944,0.3681415892695898,0.2355945106796858,0.0378267444144681,0.0661926655945121,0.0123476516658848,0.4707556750522897,0.0108000698911147,0.0070604121606899,0.6519537218597238
7,0.3040237864913352,0.4814677855727596,0.0222785114064158,0.2617574436936278,0.0100334827354887,0.0403932449184127,2.213358971396054,0.2973783443417444,0.0151068816348714,0.0599257755424092,0.3573954262981201,0.1541151258621811,1.9206747111440048,0.0445952879446698,0.0377126132598293,0.2374150840070383,0.0799847011805471,0.4817067236924285,0.0020926371976477,0.0245775099349934,0.1224897499276726,0.0130417418076079,0.0078887717587993,1.0795330942704884,0.690853950002741,0.110922600527011,0.1941024192594749,0.0362080759098517,1.3804371615357998,0.0316699694023289,0.0207038509334869,1.911779704316408
8,0.3767291646459718,0.5966077811084072,0.0276062774184742,0.3243550915558901,0.0124329270845989,0.0500530356228804,2.7426698613908207,0.3684945067640636,0.0187195974512109,0.0742566482096533,0.4428642967428441,0.1909707898037216,2.3799919994304344,0.0552599708346203,0.0467313477473481,0.2941914095095776,0.0991125398705078,0.5969038597779869,0.0025930782340262,0.0304550669990159,0.1517824039378618,0.0161605924109119,0.0097753219544876,1.3376966503369074,0.8560673310485205,0.1374490434421672,0.2405207931500723,0.0448670097441377,1.710560034507234,0.0392436435812988,0.0256550467880892,2.368969807613293
9,0.2631793792918458,0.416784470775841,0.0192854804920138,0.2265913544178315,0.0086855235537191,0.0349665703723296,1.9160028462399723,0.2574267263161254,0.0130773311443318,0.0518749818652207,0.309380747935539,0.1334103611825436,1.6626395721666043,0.0386040853449926,0.0326460710977238,0.2055192955939142,0.0692390692599314,0.4169913084932096,0.0018114995708589,0.0212756175557174,0.1060337308722292,0.0112896347796411,0.0068289461124615,0.9345020432577572,0.5980404225648416,0.096020582774263,0.1680255180336363,0.0313436624590504,1.194980825405724,0.0274152328200616,0.0179223694978264,1.654939574733178
10,0.2056795275467762,0.3257247329508546,0.0150719578668482,0.1770853128700562,0.0067878964751426,0.0273270181480919,1.497391479732569,0.2011837233946027,0.0102201749186292,0.0405412528528855,0.2417867472697603,0.1042626520805101,1.2993834190352038,0.0301698030312952,0.025513505266658,0.1606171111629042,0.0541116066596121,0.325886380432894,0.0014157202471105,0.0166272866016347,0.0828673117495183,0.0088230573151297,0.0053369470428605,0.7303305421037892,0.4673795944727427,0.0750418522641012,0.1313150340955736,0.0244956489505743,0.9338995032903064,0.0214255089026644,0.0140066615429771,1.293365729357236
11,0.2207737255314894,0.3496286852125102,0.0161780432355426,0.1900810679873836,0.0072860396521403,0.0293324652977376,1.607280508190036,0.2159479879202944,0.0109702026219216,0.0435164526912389,0.2595307448221641,0.1119141725389893,1.39474123524037,0.0323838735591001,0.027385864194998,0.1724043148021881,0.0580826936896781,0.3498021955139888,0.0015196156710048,0.017847512838573,0.0889486929396016,0.0094705547862368,0.0057286094326944,0.7839272900557236,0.5016791682666495,0.0805489466683137,0.1409518469891523,0.0262933104846806,1.002435561149946,0.0229978621512225,0.0150345680388556,1.3882819255310204
12,0.2316190779112083,0.3668039459191863,0.0169727781129896,0.1994186653761746,0.0076439611724201,0.0307734018111474,1.6862370209834403,0.2265562793691463,0.0115091060300389,0.0456541675058785,0.2722800082328856,0.117411876736117,1.4632569072855417,0.0339747083349467,0.0287311753125364,0.180873554252274,0.0609359647422517,0.3669859797909246,0.0015942657109682,0.0187242592239044,0.0933182342712208,0.0099357890601112,0.0060100233001905,0.8224371611024927,0.5263238009027014,0.0845058564334137,0.1478760063087881,0.0275849506775941,1.0516794957370883,0.0241276157865781,0.0157731305098458,1.456480288576858
13,0.206985581594748,0.3277930676610178,0.0151676639967564,0.1782097951774053,0.0068309992563202,0.027500543258233,1.5068998358963024,0.2024612293255991,0.0102850724851622,0.0407986876497751,0.2433220802403486,0.1049247143694808,1.3076344345569717,0.030361379674073,0.0256755146665672,0.1616370212663059,0.054455212480585,0.3279557415959609,0.0014247099952959,0.0167328689861912,0.0833935147666386,0.0088790832592738,0.0053708363724028,0.7349681021577676,0.4703474300107823,0.0755183640301764,0.1321488775698643,0.0246511950170749,0.9398297154082516,0.0215615597433385,0.0140956030979533,1.3015785328699765
14,0.2533835335947598,0.4012712631087072,0.0185676522502942,0.2181573579924908,0.0083622381627452,0.0336650735421246,1.8446869692611336,0.2478450011213777,0.0125905775150609,0.049944134094175,0.2978652330172336,0.128444670800367,1.6007541739160367,0.0371671959339216,0.0314309459767895,0.1978696259547923,0.0666619097556224,0.4014704020832292,0.0017440734285668,0.0204837140743473,0.1020870308340059,0.0108694213093631,0.0065747647150763,0.8997187792953735,0.5757806554211214,0.0924465838723282,0.1617714108453782,0.0301770145177999,1.1505022351447824,0.0263948056453429,0.0172552778487797,1.593340779433528
15,0.2704412669570925,0.4282847715043305,0.0198176232202174,0.2328436716249242,0.0089251825138195,0.0359314001654769,1.96887096027355,0.2645298814856909,0.0134381729017176,0.0533063641108798,0.3179174662884099,0.1370915426599619,1.708516653544924,0.0396692847992556,0.0335468715390852,0.2111901731590923,0.0711495773869921,0.4284973164783714,0.0018614841343327,0.0218626739775164,0.1089595111685162,0.0116011487735262,0.0070173766789982,0.960287683756422,0.6145421043441217,0.0986700710720714,0.172661832778881,0.0322085256425091,1.2279538362075963,0.0281716991571719,0.0184169000128631,1.7006041906951923
