node,total_energy_demand
AT,0.018146161386509724
BE,0.02692728599247942
BG,0.005017379591247175
CH,0.015678486628565712
CY,0.0021362171006555093
CZ,0.009068186512527837
DE,0.5751468689249686
DK,0.01781996985899575
EE,0.0028961692533801525
EL,0.010728015225988137
ES,0.01171095984130423
FI,0.015234000491607261
FR,0.11676367110819284
HR,0.008628585184297844
HU,0.008972706305775773
IE,0.01439961777035931
IS,2.91116823756378e-05
IT,0.015843138258045314
LI,0.000125562720016191
LT,0.007078603394596185
LU,0.004223502581052498
LV,0.002936702646624511
MT,0.0008054093390614817
NL,0.03756191082352489
NO,0.0002599221594034953
PL,0.02824258099466143
PT,0.01932520089567592
RO,0.00927890718876476
SE,0.0005924359712588288
SI,0.0010366259813003747
SK,0.004687566538771157
UK,0.11441120999837552
