time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0015994878861271,0.0011782776314006,0.0063658205082416,0.0012663613439102,0.000808218811845,0.005850578208153,0.0146411727744499,0.001547772814766,0.0019866805548724,0.004604777178073,0.0045420995416896,0.0054737629072895,0.0134111978942249,0.0039117104477642,0.0043701029394728,0.0006733963077347,8.951974317990444e-05,0.0059844879488341,6.950922302832037e-06,0.0089041337883661,5.455890961144986e-06,0.0034372371522875,0.0004389451283577,0.0007664698191288,0.0010551535422512,0.0286180276007756,0.0079290547322994,0.0072307975638396,0.0030600247959715,0.0004246429403917,0.0027754090917342,0.0067798921413954
1,0.0014905690790372,0.0010980415788828,0.0059323332765348,0.0011801271385,0.0007531823032116,0.0054521769418821,0.0136441667409431,0.001442375599762,0.0018513954564468,0.0042912100410535,0.0042328005041319,0.0051010212745921,0.0124979482916774,0.0036453384174745,0.0040725161911418,0.0006275406790843,8.342380227112046e-05,0.0055769679581644,6.477591950057693e-06,0.0082977974485857,5.084366337386073e-06,0.0032031748792567,0.0004090546989438,0.0007142762519915,0.000983301753866,0.0266692529619824,0.0073891174246881,0.0067384088112941,0.0028516491944221,0.0003957264334848,0.0025864146954153,0.0063182082670481
2,0.0017249883776565,0.0012707287360207,0.0068653013794015,0.0013657237538997,0.0008716340205687,0.0063096316634639,0.0157899619560984,0.0016692155907406,0.0021425613141523,0.0049660814456727,0.0048984859388619,0.0059032503334454,0.0144634796541068,0.0042186346753079,0.004712993980846,0.0007262329489796,9.654372371024042e-05,0.006454048353539,7.496311969833787e-06,0.0096027781337068,5.883976102203802e-06,0.0037069328191674,0.0004733860452544,0.0008266092799384,0.0011379439712004,0.0308634816374399,0.0085511915267684,0.0077981470613146,0.0033001232795658,0.0004579616658449,0.002993175795833,0.0073118622823646
3,0.0012567723745566,0.0009258130615092,0.0050018430433478,0.0009950234490905,0.000635045181732,0.0045969995340153,0.011504070542599,0.0012161380730414,0.0015610029060476,0.0036181310271774,0.0035688830631306,0.0043009228556341,0.0105376371833516,0.003073564776985,0.0034337394461901,0.0005291105259563,7.033872602706544e-05,0.0047022170003254,5.46157754844939e-06,0.0069962826612399,4.286880255881556e-06,0.0027007548698942,0.0003448942102349,0.0006022415692968,0.0008290702507461,0.0224861637370942,0.0062301296748359,0.0056814851197457,0.0024043662114547,0.0003336564916581,0.0021807339116712,0.0053271932971063
4,0.0012890316985685,0.0009495771926521,0.0051302323035343,0.0010205640994847,0.0006513457694076,0.0047149971129348,0.0117993615170054,0.0012473543799365,0.0016010713381275,0.003711002627068,0.0036604905470514,0.0044113206227709,0.0108081213689527,0.0031524582377419,0.003521878010985,0.0005426919415256,7.214420791020638e-05,0.0048229153422519,5.601767453414406e-06,0.0071758659762596,4.396917572085015e-06,0.0027700789003937,0.0003537470894858,0.0006177001410404,0.0008503511496495,0.0230633473675319,0.0063900470758592,0.0058273196981128,0.0024660824221456,0.0003422209167608,0.002236709841175,0.005463933774638
5,0.0030025812500002,0.0022118794109184,0.0119500081649219,0.0023772314000805,0.0015171997683703,0.0109827880422369,0.027484616314926,0.00290550098765,0.003729424796235,0.0086441527536595,0.0085264934094209,0.0102754250375532,0.025175690098375,0.0073431180990845,0.0082036189585675,0.0012641090595062,0.0001680477262179,0.0112341652987005,1.3048369517337225e-05,0.016714965703914,1.024187556783861e-05,0.0064524301276529,0.0008239939943384,0.001438827969607,0.0019807491318398,0.0537221655952237,0.0148845335284615,0.0135737553100831,0.005744321764866,0.0007971457250935,0.0052100371451384,0.0127273092827658
6,0.0133086213069245,0.0098039196962596,0.0529671372861568,0.0105368247612283,0.0067248262354907,0.0486800372007716,0.121822631877636,0.0128783233930893,0.0165302778420208,0.0383142855893257,0.0377927730888089,0.0455447260894194,0.1115885625608754,0.0325475881769169,0.036361666504736,0.0056030286486402,0.0007448536320954,0.0497942400925158,5.783550689229321e-05,0.0740873036197127,4.539602164137813e-05,0.0285997086934173,0.0036522655398017,0.0063774515921292,0.0087794593733889,0.2381177720651747,0.0659741081312953,0.0601642234110195,0.0254610938617301,0.0035332634484755,0.0230929342410473,0.0564124416284898
7,0.0348902947177012,0.0257022601892806,0.1388602912087836,0.027623666856968,0.0176300131974995,0.1276210965533951,0.319373993103647,0.0337622123503482,0.0433362894902953,0.1004459203760057,0.099078707016908,0.1194014676238497,0.2925440393174214,0.0853277674414065,0.095326873574569,0.0146890738232267,0.0019527314021504,0.1305421254392381,0.0001516233600823,0.1942295748385786,0.000119011619427,0.0749778840453256,0.0095748927054289,0.0167193250499575,0.0230165032076049,0.6242569424192496,0.1729597697126395,0.1577283955912027,0.0667495939800025,0.0092629131289845,0.0605411532107703,0.1478926080148548
8,0.0437797014679311,0.032250724370262,0.1742393448968564,0.0346616701931751,0.0221218169954474,0.160136609716943,0.4007446250548596,0.0423642044171453,0.0543775806986926,0.1260376973973246,0.1243221431668842,0.1498227701915319,0.3670788914557847,0.1070677165594302,0.1196144114210795,0.0184315802438609,0.0024502515248124,0.1638018631530662,0.000190254209478,0.2437157057994718,0.0001493335958291,0.0940808728261088,0.0120143996381458,0.0209791022218304,0.0288806858015273,0.783306154319547,0.2170267446935556,0.1979146959883732,0.0837561654664823,0.0116229333914047,0.0759659279331655,0.1855729302544188
9,0.0336373390355829,0.0247792587297628,0.1338736382642218,0.0266316651949178,0.016996896584689,0.1230380576487789,0.3079048592766684,0.0325497675674214,0.0417800271944872,0.0968387772521366,0.0955206622959274,0.1151136062422526,0.2820384038879031,0.0822635367743051,0.0919035620528341,0.0141615701532009,0.0018826062878236,0.1258541886032698,0.0001461783688005,0.1872545391904572,0.0001147377579992,0.0722853310987855,0.0092310459045346,0.0161189124282808,0.0221899507605763,0.6018390669202157,0.1667485603206653,0.1520641645754886,0.0643525295890874,0.0089302699188358,0.0583670419706337,0.1425815928728273
