node,total_energy_demand
AT,0.023068285519256396
BE,0.03938921077709249
BG,0.0013933153423804627
CH,0.019266399019965772
CY,0.0005421862678781024
CZ,0.002417592583351056
DE,0.38654464461827814
DK,0.021979471384641562
EE,0.0008900685498123214
EL,0.0034555260078501736
ES,0.03202075862006545
FI,0.028848139041444173
FR,0.14024953159357031
HR,0.0025246972393005917
HU,0.002127052771817534
IE,0.015944588290806146
IS,0.013037413139847319
IT,0.042235036676761345
LI,0.00014958934114807842
LT,0.001418311007590482
LU,0.00788459245552813
LV,0.0007699156302023579
MT,0.0013762967218291344
NL,0.0833875780140246
NO,0.0873602992652022
PL,0.0061446704265952405
PT,0.037868152839960104
RO,0.0019379915343044774
SE,0.2216713365277969
SI,0.0027964176697274994
SK,0.0012485308266394792
UK,0.14468033694808677
