year,opex_specific_fixed
2025,2.056049122938816
2026,2.1487788817411047
2027,2.241508640543393
2028,2.334238399345682
2029,2.4269681581479707
2030,2.51969791695026
2031,2.51969791695026
2032,2.51969791695026
2033,2.51969791695026
2034,2.51969791695026
2035,2.51969791695026
2036,2.51969791695026
2037,2.51969791695026
2038,2.51969791695026
2039,2.51969791695026
2040,2.51969791695026
2041,2.51969791695026
2042,2.51969791695026
2043,2.51969791695026
2044,2.51969791695026
2045,2.51969791695026
2046,2.51969791695026
2047,2.51969791695026
2048,2.51969791695026
2049,2.51969791695026
2050,2.51969791695026
