year,opex_specific_variable
2025,1.0
2026,0.9998918357003688
2027,0.9997836714007372
2028,0.999675507101106
2029,0.9995673428014744
2030,0.9994591785018432
2031,1.000111722310128
2032,1.0007642661184135
2033,1.001416809926699
2034,1.002069353734984
2035,1.0027218975432697
2036,1.0032606335175651
2037,1.0037993694918608
2038,1.0043381054661566
2039,1.004876841440452
2040,1.0054155774147475
2041,1.004694908795596
2042,1.0039742401764444
2043,1.0032535715572926
2044,1.0025329029381411
2045,1.0018122343189892
2046,0.9916743249042512
2047,0.9815364154895132
2048,0.9713985060747756
2049,0.961260596660038
2050,0.9511226872452996
