node,year,capacity_lower_limit
CH,2025,0.0
SK,2025,0.0
BG,2025,0.0
PL,2025,0.0
RO,2025,0.0
LT,2025,0.0
EL,2025,0.0
DK,2025,0.0
BE,2025,0.0
MK,2025,0.0
LU,2025,0.0
PT,2025,0.0
ES,2025,0.0
IE,2025,0.0
UK,2025,0.0
IT,2025,0.0
IS,2025,0.0
HU,2025,0.0
AT,2025,0.0
SI,2025,0.0
CZ,2025,0.0
HR,2025,0.0
UA,2025,0.0
AL,2025,0.0
NO,2025,0.0
BA,2025,0.0
NL,2025,0.0
MD,2025,0.0
FI,2025,0.0
EE,2025,0.0
RS,2025,0.0
ME,2025,0.0
SE,2025,0.0
LV,2025,0.0
DE,2025,0.0
FR,2025,0.0
AL,2030,0.0
AT,2030,0.0474305999999999
BA,2030,0.0
BE,2030,0.4160505999999999
BG,2030,1.12
CY,2030,0.0
CZ,2030,0.4461099999999999
DE,2030,2.24028
DK,2030,0.1119999999999999
EE,2030,0.0
EL,2030,3.92
ES,2030,1.75
FI,2030,0.7
FR,2030,0.3289999999999999
HR,2030,0.049
HU,2030,0.2661119999999999
IE,2030,1.575
IT,2030,10.43602
LT,2030,0.84
LU,2030,0.0174999999999999
LV,2030,0.0559999999999999
ME,2030,0.0
MK,2030,0.0
MT,2030,0.0
NL,2030,6.531699999999999
NO,2030,0.0
PL,2030,0.0
PT,2030,0.0
RO,2030,0.2799999999999999
RS,2030,0.0
SE,2030,0.1784551999999999
SI,2030,0.4247599999999999
SK,2030,0.1862
UK,2030,10.8545794
