edge,capex_per_distance_transport
BE-NO,1231.5133389135158
BE-UK,1231.5133389135158
DE-NO,1231.5133389135158
DE-SE,1231.5133389135158
DE-UK,1231.5133389135158
DK-NL,1231.5133389135158
DK-NO,1231.5133389135158
DK-SE,1231.5133389135158
DK-UK,1231.5133389135158
EE-FI,1231.5133389135158
EL-IT,1231.5133389135158
FI-EE,1231.5133389135158
FR-NO,1231.5133389135158
FR-UK,1231.5133389135158
IT-EL,1231.5133389135158
LT-SE,1231.5133389135158
NL-DK,1231.5133389135158
NL-NO,1231.5133389135158
NL-UK,1231.5133389135158
NO-BE,1231.5133389135158
NO-DE,1231.5133389135158
NO-DK,1231.5133389135158
NO-FR,1231.5133389135158
NO-NL,1231.5133389135158
NO-UK,1231.5133389135158
PL-SE,1231.5133389135158
SE-DE,1231.5133389135158
SE-DK,1231.5133389135158
SE-LT,1231.5133389135158
SE-PL,1231.5133389135158
UK-BE,1231.5133389135158
UK-DE,1231.5133389135158
UK-DK,1231.5133389135158
UK-FR,1231.5133389135158
UK-NL,1231.5133389135158
UK-NO,1231.5133389135158
