edge,capex_per_distance_transport
BE-NO,892.1594124434533
BE-UK,892.1594124434533
DE-NO,892.1594124434533
DE-SE,892.1594124434533
DE-UK,892.1594124434533
DK-NL,892.1594124434533
DK-NO,892.1594124434533
DK-SE,892.1594124434533
DK-UK,892.1594124434533
EE-FI,892.1594124434533
EL-IT,892.1594124434533
FI-EE,892.1594124434533
FR-NO,892.1594124434533
FR-UK,892.1594124434533
IT-EL,892.1594124434533
LT-SE,892.1594124434533
NL-DK,892.1594124434533
NL-NO,892.1594124434533
NL-UK,892.1594124434533
NO-BE,892.1594124434533
NO-DE,892.1594124434533
NO-DK,892.1594124434533
NO-FR,892.1594124434533
NO-NL,892.1594124434533
NO-UK,892.1594124434533
PL-SE,892.1594124434533
SE-DE,892.1594124434533
SE-DK,892.1594124434533
SE-LT,892.1594124434533
SE-PL,892.1594124434533
UK-BE,892.1594124434533
UK-DE,892.1594124434533
UK-DK,892.1594124434533
UK-FR,892.1594124434533
UK-NL,892.1594124434533
UK-NO,892.1594124434533
