node,year_construction,capacity_existing
DE,2019,0.0029927682520547
DE,2020,0.0005816364872146
DE,2021,0.0021612984011415
DE,2022,0.0017457814803652
DE,2023,0.0011222880945205
AT,2019,0.000332457137557
AT,2020,0.0002079764650684
AT,2021,0.000478084264041
AT,2022,0.0011013596452054
AT,2023,0.0004364453700913
CH,2019,0.000332457137557
CH,2020,0.0002079764650684
CH,2021,0.000478084264041
CH,2022,0.0011013596452054
CH,2023,0.0004364453700913
SE,2019,0.0004017099576864
SE,2020,0.0003879029945966
SE,2021,0.0005265539713089
SE,2022,0.0005957341232115
SE,2023,0.0011222880945205
DK,2019,0.0004017099576864
DK,2020,0.0003879029945966
DK,2021,0.0005265539713089
DK,2022,0.0005957341232115
DK,2023,0.0011222880945205
FI,2019,0.0004017099576864
FI,2020,0.0003879029945966
FI,2021,0.0005265539713089
FI,2022,0.0005957341232115
FI,2023,0.0011222880945205
ES,2019,0.0004352826784627
ES,2020,0.0002117552128614
ES,2021,0.0005033001387366
ES,2022,0.0007572029231354
ES,2023,0.0013671800187975
FR,2019,0.0004352826784627
FR,2020,0.0002117552128614
FR,2021,0.0005033001387366
FR,2022,0.0007572029231354
FR,2023,0.0013671800187975
UK,2019,0.0004352826784627
UK,2020,0.0002117552128614
UK,2021,0.0005033001387366
UK,2022,0.0007572029231354
UK,2023,0.0013671800187975
